Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:40 2016 UTC-Fri Oct 21 01:14:40 2016 UTC (0.001 )  Time stamp start 1477012480165279425 end 1477012480164279250  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:52 2016 UTC-Fri Oct 21 01:14:52 2016 UTC (0.001 )  Time stamp start 1477012492701543015 end 1477012492700543015  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:53 2016 UTC-Fri Oct 21 01:14:53 2016 UTC (0.001 )  Time stamp start 1477012493455340825 end 1477012493454340825  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:54 2016 UTC-Fri Oct 21 01:14:54 2016 UTC (0.001 )  Time stamp start 1477012494073714280 end 1477012494072714280  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:54 2016 UTC-Fri Oct 21 01:14:54 2016 UTC (0.001 )  Time stamp start 1477012494860365085 end 1477012494859364910  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:56 2016 UTC-Fri Oct 21 01:14:56 2016 UTC (0.001 )  Time stamp start 1477012496392639735 end 1477012496391639735  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:56 2016 UTC-Fri Oct 21 01:14:56 2016 UTC (0.001 )  Time stamp start 1477012496893820710 end 1477012496892820710  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:57 2016 UTC-Fri Oct 21 01:14:57 2016 UTC (0.001 )  Time stamp start 1477012497611526455 end 1477012497610526455  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:58 2016 UTC-Fri Oct 21 01:14:58 2016 UTC (0.001 )  Time stamp start 1477012498114280375 end 1477012498113280375  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:58 2016 UTC-Fri Oct 21 01:14:58 2016 UTC (0.001 )  Time stamp start 1477012498825135070 end 1477012498824135070  Run 311071, LB 145, lumi 11.96
