Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310738 to 310738
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310738 to run 310738  lasting from Sun Oct 16 18:18:32 2016 UTC to Mon Oct 17 10:22:54 2016 UTC
Event Veto ['NoiseBurst'], Sun Oct 16 19:54:07 2016 UTC-Sun Oct 16 19:54:07 2016 UTC (0.021 )  Time stamp start 1476647647441817015 end 1476647647420379150  Run 310738, LB 101, lumi 287.66
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:08 2016 UTC-Sun Oct 16 19:54:08 2016 UTC (0.001 )  Time stamp start 1476647648170231525 end 1476647648169231400  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:09 2016 UTC-Sun Oct 16 19:54:09 2016 UTC (0.001 )  Time stamp start 1476647649357134550 end 1476647649356134400  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:10 2016 UTC-Sun Oct 16 19:54:10 2016 UTC (0.001 )  Time stamp start 1476647650620195865 end 1476647650619195865  Run 310738, LB 101, lumi 13.42
Event Veto ['NoiseBurst'], Sun Oct 16 19:54:12 2016 UTC-Sun Oct 16 19:54:12 2016 UTC (0.010 )  Time stamp start 1476647652082937290 end 1476647652072923115  Run 310738, LB 101, lumi 134.37
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:13 2016 UTC-Sun Oct 16 19:54:13 2016 UTC (0.001 )  Time stamp start 1476647653119275565 end 1476647653118275265  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:14 2016 UTC-Sun Oct 16 19:54:14 2016 UTC (0.001 )  Time stamp start 1476647654039056040 end 1476647654038056040  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:14 2016 UTC-Sun Oct 16 19:54:14 2016 UTC (0.001 )  Time stamp start 1476647654895448270 end 1476647654894448270  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:16 2016 UTC-Sun Oct 16 19:54:16 2016 UTC (0.001 )  Time stamp start 1476647656051097150 end 1476647656050097150  Run 310738, LB 101, lumi 13.42
Event Veto ['NoiseBurst'], Sun Oct 16 19:54:17 2016 UTC-Sun Oct 16 19:54:17 2016 UTC (0.010 )  Time stamp start 1476647657468507120 end 1476647657458506995  Run 310738, LB 101, lumi 134.19
