Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:36 2016 UTC-Thu Oct 13 04:58:36 2016 UTC (0.010 )  Time stamp start 1476334716646175380 end 1476334716636175380  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:37 2016 UTC-Thu Oct 13 04:58:37 2016 UTC (0.017 )  Time stamp start 1476334717994597500 end 1476334717977531050  Run 310473, LB 90, lumi 216.64
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:38 2016 UTC-Thu Oct 13 04:58:38 2016 UTC (0.019 )  Time stamp start 1476334718790826830 end 1476334718771754440  Run 310473, LB 90, lumi 242.10
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:39 2016 UTC-Thu Oct 13 04:58:39 2016 UTC (0.010 )  Time stamp start 1476334719571463225 end 1476334719561463225  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:40 2016 UTC-Thu Oct 13 04:58:40 2016 UTC (0.010 )  Time stamp start 1476334720212347605 end 1476334720202347605  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:41 2016 UTC-Thu Oct 13 04:58:41 2016 UTC (0.010 )  Time stamp start 1476334721496104265 end 1476334721486104265  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:42 2016 UTC-Thu Oct 13 04:58:42 2016 UTC (0.010 )  Time stamp start 1476334722484673585 end 1476334722474673585  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:43 2016 UTC-Thu Oct 13 04:58:43 2016 UTC (0.010 )  Time stamp start 1476334723710046660 end 1476334723700046660  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:44 2016 UTC-Thu Oct 13 04:58:44 2016 UTC (0.010 )  Time stamp start 1476334724723433910 end 1476334724713433910  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:45 2016 UTC-Thu Oct 13 04:58:45 2016 UTC (0.010 )  Time stamp start 1476334725444165125 end 1476334725434165125  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:46 2016 UTC-Thu Oct 13 04:58:46 2016 UTC (0.010 )  Time stamp start 1476334726388421780 end 1476334726378421780  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:46 2016 UTC-Thu Oct 13 04:58:46 2016 UTC (0.010 )  Time stamp start 1476334726968617455 end 1476334726958617455  Run 310473, LB 90, lumi 126.94
Event Veto ['NoiseBurst'], Thu Oct 13 04:58:48 2016 UTC-Thu Oct 13 04:58:48 2016 UTC (0.010 )  Time stamp start 1476334728096104185 end 1476334728086103590  Run 310473, LB 90, lumi 126.95
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:49 2016 UTC-Thu Oct 13 04:58:49 2016 UTC (0.010 )  Time stamp start 1476334729384466730 end 1476334729374466730  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:50 2016 UTC-Thu Oct 13 04:58:50 2016 UTC (0.010 )  Time stamp start 1476334730737325310 end 1476334730727325310  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:51 2016 UTC-Thu Oct 13 04:58:51 2016 UTC (0.020 )  Time stamp start 1476334731475750615 end 1476334731455343535  Run 310473, LB 90, lumi 259.04
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:53 2016 UTC-Thu Oct 13 04:58:53 2016 UTC (0.010 )  Time stamp start 1476334733491190390 end 1476334733481190390  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:54 2016 UTC-Thu Oct 13 04:58:54 2016 UTC (0.012 )  Time stamp start 1476334734227203460 end 1476334734215002180  Run 310473, LB 90, lumi 154.88
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:55 2016 UTC-Thu Oct 13 04:58:55 2016 UTC (0.010 )  Time stamp start 1476334735650137890 end 1476334735640137890  Run 310473, LB 90, lumi 126.94
