Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328333 to 328333
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328333 to run 328333  lasting from Thu Jun 29 05:05:29 2017 UTC to Thu Jun 29 11:56:28 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:47 2017 UTC-Thu Jun 29 06:11:47 2017 UTC (0.001 )  Time stamp start 1498716707176288805 end 1498716707175288805  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:48 2017 UTC-Thu Jun 29 06:11:48 2017 UTC (0.001 )  Time stamp start 1498716708286853050 end 1498716708285853050  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:50 2017 UTC-Thu Jun 29 06:11:50 2017 UTC (0.001 )  Time stamp start 1498716710509316160 end 1498716710508316160  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:51 2017 UTC-Thu Jun 29 06:11:51 2017 UTC (0.001 )  Time stamp start 1498716711844247035 end 1498716711843247035  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:52 2017 UTC-Thu Jun 29 06:11:52 2017 UTC (0.001 )  Time stamp start 1498716712307667050 end 1498716712306667050  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:53 2017 UTC-Thu Jun 29 06:11:53 2017 UTC (0.001 )  Time stamp start 1498716713527610470 end 1498716713526610470  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:54 2017 UTC-Thu Jun 29 06:11:54 2017 UTC (0.001 )  Time stamp start 1498716714965395980 end 1498716714964395980  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:55 2017 UTC-Thu Jun 29 06:11:55 2017 UTC (0.001 )  Time stamp start 1498716715177920665 end 1498716715176920665  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:56 2017 UTC-Thu Jun 29 06:11:56 2017 UTC (0.001 )  Time stamp start 1498716716281527325 end 1498716716280527325  Run 328333, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:11:56 2017 UTC-Thu Jun 29 06:11:56 2017 UTC (0.001 )  Time stamp start 1498716716308896690 end 1498716716307896690  Run 328333, LB 74, lumi 15.18
