Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:22 2017 UTC-Wed Jun 28 17:35:22 2017 UTC (0.001 )  Time stamp start 1498671322752245745 end 1498671322751245745  Run 328263, LB 108, lumi 7.86
Event Veto ['NoiseBurst'], Wed Jun 28 17:35:24 2017 UTC-Wed Jun 28 17:35:24 2017 UTC (0.000 )  Time stamp start 1498671324106344265 end 1498671324106343490  Run 328263, LB 108, lumi 0.01
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:24 2017 UTC-Wed Jun 28 17:35:24 2017 UTC (0.001 )  Time stamp start 1498671324902096280 end 1498671324901096280  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:26 2017 UTC-Wed Jun 28 17:35:26 2017 UTC (0.001 )  Time stamp start 1498671326815579900 end 1498671326814579900  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:28 2017 UTC-Wed Jun 28 17:35:28 2017 UTC (0.001 )  Time stamp start 1498671328093593160 end 1498671328092593160  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:29 2017 UTC-Wed Jun 28 17:35:29 2017 UTC (0.001 )  Time stamp start 1498671329596674395 end 1498671329595674395  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:30 2017 UTC-Wed Jun 28 17:35:30 2017 UTC (0.001 )  Time stamp start 1498671330735461555 end 1498671330734461555  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:31 2017 UTC-Wed Jun 28 17:35:31 2017 UTC (0.001 )  Time stamp start 1498671331588271070 end 1498671331587271070  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:33 2017 UTC-Wed Jun 28 17:35:33 2017 UTC (0.001 )  Time stamp start 1498671333276026175 end 1498671333275026175  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:35:34 2017 UTC-Wed Jun 28 17:35:34 2017 UTC (0.001 )  Time stamp start 1498671334336909090 end 1498671334335909090  Run 328263, LB 108, lumi 7.86
