Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:27 2016 UTC-Wed Oct 19 04:10:27 2016 UTC (0.001 )  Time stamp start 1476850227832053815 end 1476850227831053815  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:28 2016 UTC-Wed Oct 19 04:10:28 2016 UTC (0.001 )  Time stamp start 1476850228955624810 end 1476850228954624810  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:29 2016 UTC-Wed Oct 19 04:10:29 2016 UTC (0.001 )  Time stamp start 1476850229691819950 end 1476850229690819950  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:31 2016 UTC-Wed Oct 19 04:10:31 2016 UTC (0.001 )  Time stamp start 1476850231367840925 end 1476850231366840925  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:31 2016 UTC-Wed Oct 19 04:10:31 2016 UTC (0.001 )  Time stamp start 1476850231986807980 end 1476850231985807980  Run 310872, LB 153, lumi 12.25
Event Veto ['NoiseBurst'], Wed Oct 19 04:10:32 2016 UTC-Wed Oct 19 04:10:33 2016 UTC (0.007 )  Time stamp start 1476850233002358480 end 1476850232994883015  Run 310872, LB 153, lumi 91.59
Event Veto ['NoiseBurst'], Wed Oct 19 04:10:35 2016 UTC-Wed Oct 19 04:10:35 2016 UTC (0.010 )  Time stamp start 1476850235265604695 end 1476850235255604270  Run 310872, LB 153, lumi 122.52
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:36 2016 UTC-Wed Oct 19 04:10:36 2016 UTC (0.001 )  Time stamp start 1476850236553681850 end 1476850236552681850  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:37 2016 UTC-Wed Oct 19 04:10:37 2016 UTC (0.001 )  Time stamp start 1476850237064302560 end 1476850237063302560  Run 310872, LB 153, lumi 12.25
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:37 2016 UTC-Wed Oct 19 04:10:37 2016 UTC (0.001 )  Time stamp start 1476850237667543015 end 1476850237666543015  Run 310872, LB 153, lumi 12.25
