Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:23 2017 UTC-Wed Jun 28 17:32:23 2017 UTC (0.001 )  Time stamp start 1498671143787503640 end 1498671143786503640  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:24 2017 UTC-Wed Jun 28 17:32:24 2017 UTC (0.001 )  Time stamp start 1498671144274647645 end 1498671144273647645  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:25 2017 UTC-Wed Jun 28 17:32:25 2017 UTC (0.001 )  Time stamp start 1498671145239967635 end 1498671145238967635  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:26 2017 UTC-Wed Jun 28 17:32:26 2017 UTC (0.001 )  Time stamp start 1498671146560506310 end 1498671146559506310  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:26 2017 UTC-Wed Jun 28 17:32:26 2017 UTC (0.001 )  Time stamp start 1498671146873315230 end 1498671146872315230  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:27 2017 UTC-Wed Jun 28 17:32:27 2017 UTC (0.001 )  Time stamp start 1498671147683086170 end 1498671147682086170  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:29 2017 UTC-Wed Jun 28 17:32:29 2017 UTC (0.001 )  Time stamp start 1498671149110180645 end 1498671149109180645  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:29 2017 UTC-Wed Jun 28 17:32:29 2017 UTC (0.001 )  Time stamp start 1498671149880556940 end 1498671149879556940  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:30 2017 UTC-Wed Jun 28 17:32:30 2017 UTC (0.001 )  Time stamp start 1498671150275020995 end 1498671150274020995  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:30 2017 UTC-Wed Jun 28 17:32:30 2017 UTC (0.001 )  Time stamp start 1498671150299302755 end 1498671150298302755  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:30 2017 UTC-Wed Jun 28 17:32:30 2017 UTC (0.001 )  Time stamp start 1498671150323000570 end 1498671150322000570  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:30 2017 UTC-Wed Jun 28 17:32:30 2017 UTC (0.001 )  Time stamp start 1498671150863555225 end 1498671150862555225  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:32 2017 UTC-Wed Jun 28 17:32:32 2017 UTC (0.001 )  Time stamp start 1498671152175017370 end 1498671152174017370  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:33 2017 UTC-Wed Jun 28 17:32:33 2017 UTC (0.001 )  Time stamp start 1498671153557097420 end 1498671153556097420  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:34 2017 UTC-Wed Jun 28 17:32:34 2017 UTC (0.001 )  Time stamp start 1498671154107152570 end 1498671154106152570  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:35 2017 UTC-Wed Jun 28 17:32:35 2017 UTC (0.001 )  Time stamp start 1498671155459615045 end 1498671155458615045  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:35 2017 UTC-Wed Jun 28 17:32:35 2017 UTC (0.001 )  Time stamp start 1498671155880763190 end 1498671155879763190  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:35 2017 UTC-Wed Jun 28 17:32:35 2017 UTC (0.001 )  Time stamp start 1498671155896241880 end 1498671155895241880  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:37 2017 UTC-Wed Jun 28 17:32:37 2017 UTC (0.001 )  Time stamp start 1498671157162450975 end 1498671157161450975  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:38 2017 UTC-Wed Jun 28 17:32:38 2017 UTC (0.001 )  Time stamp start 1498671158183602430 end 1498671158182602430  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:39 2017 UTC-Wed Jun 28 17:32:39 2017 UTC (0.001 )  Time stamp start 1498671159094211135 end 1498671159093211135  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:39 2017 UTC-Wed Jun 28 17:32:39 2017 UTC (0.001 )  Time stamp start 1498671159578287120 end 1498671159577287120  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:41 2017 UTC-Wed Jun 28 17:32:41 2017 UTC (0.001 )  Time stamp start 1498671161044012355 end 1498671161043012355  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:42 2017 UTC-Wed Jun 28 17:32:42 2017 UTC (0.001 )  Time stamp start 1498671162031520810 end 1498671162030520810  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:43 2017 UTC-Wed Jun 28 17:32:43 2017 UTC (0.001 )  Time stamp start 1498671163562095665 end 1498671163561095665  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:44 2017 UTC-Wed Jun 28 17:32:44 2017 UTC (0.001 )  Time stamp start 1498671164039046540 end 1498671164038046540  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:45 2017 UTC-Wed Jun 28 17:32:45 2017 UTC (0.001 )  Time stamp start 1498671165649567555 end 1498671165648567555  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:47 2017 UTC-Wed Jun 28 17:32:47 2017 UTC (0.001 )  Time stamp start 1498671167135132895 end 1498671167134132895  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:47 2017 UTC-Wed Jun 28 17:32:47 2017 UTC (0.001 )  Time stamp start 1498671167880749170 end 1498671167879749170  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:49 2017 UTC-Wed Jun 28 17:32:49 2017 UTC (0.001 )  Time stamp start 1498671169360798395 end 1498671169359798395  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:50 2017 UTC-Wed Jun 28 17:32:50 2017 UTC (0.001 )  Time stamp start 1498671170419074435 end 1498671170418074435  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:51 2017 UTC-Wed Jun 28 17:32:51 2017 UTC (0.001 )  Time stamp start 1498671171534986780 end 1498671171533986780  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:52 2017 UTC-Wed Jun 28 17:32:52 2017 UTC (0.001 )  Time stamp start 1498671172088558760 end 1498671172087558760  Run 328263, LB 105, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:32:53 2017 UTC-Wed Jun 28 17:32:53 2017 UTC (0.001 )  Time stamp start 1498671173057584510 end 1498671173056584510  Run 328263, LB 105, lumi 7.88
