Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310691 to 310691
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310691 to run 310691  lasting from Sat Oct 15 19:43:20 2016 UTC to Sun Oct 16 09:08:14 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:34 2016 UTC-Sat Oct 15 21:34:34 2016 UTC (0.001 )  Time stamp start 1476567274870262290 end 1476567274869262290  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:36 2016 UTC-Sat Oct 15 21:34:36 2016 UTC (0.002 )  Time stamp start 1476567276136539555 end 1476567276134834470  Run 310691, LB 117, lumi 21.09
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:36 2016 UTC-Sat Oct 15 21:34:36 2016 UTC (0.001 )  Time stamp start 1476567276780717565 end 1476567276779717565  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:37 2016 UTC-Sat Oct 15 21:34:37 2016 UTC (0.001 )  Time stamp start 1476567277765369560 end 1476567277764369560  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:38 2016 UTC-Sat Oct 15 21:34:38 2016 UTC (0.001 )  Time stamp start 1476567278948858870 end 1476567278947858870  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:40 2016 UTC-Sat Oct 15 21:34:40 2016 UTC (0.001 )  Time stamp start 1476567280020604540 end 1476567280019604540  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:41 2016 UTC-Sat Oct 15 21:34:41 2016 UTC (0.001 )  Time stamp start 1476567281305473475 end 1476567281304473475  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:42 2016 UTC-Sat Oct 15 21:34:42 2016 UTC (0.001 )  Time stamp start 1476567282569399080 end 1476567282568399080  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:43 2016 UTC-Sat Oct 15 21:34:43 2016 UTC (0.001 )  Time stamp start 1476567283408413205 end 1476567283407413205  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:51 2016 UTC-Sat Oct 15 21:34:51 2016 UTC (0.001 )  Time stamp start 1476567291278508070 end 1476567291277508070  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:51 2016 UTC-Sat Oct 15 21:34:51 2016 UTC (0.001 )  Time stamp start 1476567291691212500 end 1476567291690212500  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:52 2016 UTC-Sat Oct 15 21:34:52 2016 UTC (0.001 )  Time stamp start 1476567292588418860 end 1476567292587418860  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:53 2016 UTC-Sat Oct 15 21:34:53 2016 UTC (0.001 )  Time stamp start 1476567293640282235 end 1476567293639282235  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:54 2016 UTC-Sat Oct 15 21:34:54 2016 UTC (0.001 )  Time stamp start 1476567294237435065 end 1476567294236435065  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:54 2016 UTC-Sat Oct 15 21:34:54 2016 UTC (0.001 )  Time stamp start 1476567294673447450 end 1476567294672447450  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:55 2016 UTC-Sat Oct 15 21:34:55 2016 UTC (0.001 )  Time stamp start 1476567295145639585 end 1476567295144639585  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:55 2016 UTC-Sat Oct 15 21:34:55 2016 UTC (0.001 )  Time stamp start 1476567295795070350 end 1476567295794070350  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:56 2016 UTC-Sat Oct 15 21:34:56 2016 UTC (0.001 )  Time stamp start 1476567296396821300 end 1476567296395821300  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:56 2016 UTC-Sat Oct 15 21:34:56 2016 UTC (0.001 )  Time stamp start 1476567296664730920 end 1476567296663730920  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:57 2016 UTC-Sat Oct 15 21:34:57 2016 UTC (0.001 )  Time stamp start 1476567297009861490 end 1476567297008861490  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:57 2016 UTC-Sat Oct 15 21:34:57 2016 UTC (0.001 )  Time stamp start 1476567297247228360 end 1476567297246228360  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:57 2016 UTC-Sat Oct 15 21:34:57 2016 UTC (0.001 )  Time stamp start 1476567297606256010 end 1476567297605256010  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:57 2016 UTC-Sat Oct 15 21:34:57 2016 UTC (0.001 )  Time stamp start 1476567297934372915 end 1476567297933372915  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:58 2016 UTC-Sat Oct 15 21:34:58 2016 UTC (0.000 )  Time stamp start 1476567298448557870 end 1476567298448529005  Run 310691, LB 118, lumi 0.36
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:59 2016 UTC-Sat Oct 15 21:34:59 2016 UTC (0.001 )  Time stamp start 1476567299727858545 end 1476567299726858545  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:01 2016 UTC-Sat Oct 15 21:35:01 2016 UTC (0.001 )  Time stamp start 1476567301067563965 end 1476567301066563965  Run 310691, LB 118, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:08 2016 UTC-Sat Oct 15 21:35:08 2016 UTC (0.001 )  Time stamp start 1476567308506318620 end 1476567308505318620  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:09 2016 UTC-Sat Oct 15 21:35:09 2016 UTC (0.002 )  Time stamp start 1476567309544369365 end 1476567309542678775  Run 310691, LB 119, lumi 21.23
Event Veto ['NoiseBurst'], Sat Oct 15 21:35:10 2016 UTC-Sat Oct 15 21:35:10 2016 UTC (0.015 )  Time stamp start 1476567310544853885 end 1476567310529605495  Run 310691, LB 119, lumi 191.45
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:11 2016 UTC-Sat Oct 15 21:35:11 2016 UTC (0.001 )  Time stamp start 1476567311651049560 end 1476567311650049560  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:15 2016 UTC-Sat Oct 15 21:35:15 2016 UTC (0.001 )  Time stamp start 1476567315170055975 end 1476567315169055975  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:16 2016 UTC-Sat Oct 15 21:35:16 2016 UTC (0.001 )  Time stamp start 1476567316926671545 end 1476567316925671545  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:26 2016 UTC-Sat Oct 15 21:35:26 2016 UTC (0.001 )  Time stamp start 1476567326281054980 end 1476567326280054980  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:26 2016 UTC-Sat Oct 15 21:35:26 2016 UTC (0.001 )  Time stamp start 1476567326973189885 end 1476567326972189885  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:34 2016 UTC-Sat Oct 15 21:35:34 2016 UTC (0.001 )  Time stamp start 1476567334011785295 end 1476567334010505195  Run 310691, LB 119, lumi 16.07
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:34 2016 UTC-Sat Oct 15 21:35:34 2016 UTC (0.001 )  Time stamp start 1476567334771748860 end 1476567334770748860  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:35 2016 UTC-Sat Oct 15 21:35:35 2016 UTC (0.001 )  Time stamp start 1476567335347489735 end 1476567335346489735  Run 310691, LB 119, lumi 12.56
Event Veto ['NoiseBurst'], Sat Oct 15 21:35:38 2016 UTC-Sat Oct 15 21:35:38 2016 UTC (0.020 )  Time stamp start 1476567338513766250 end 1476567338494236340  Run 310691, LB 119, lumi 245.21
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:38 2016 UTC-Sat Oct 15 21:35:38 2016 UTC (0.001 )  Time stamp start 1476567338902709080 end 1476567338901709080  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:39 2016 UTC-Sat Oct 15 21:35:39 2016 UTC (0.001 )  Time stamp start 1476567339936764515 end 1476567339935764515  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:41 2016 UTC-Sat Oct 15 21:35:41 2016 UTC (0.001 )  Time stamp start 1476567341947677455 end 1476567341946677455  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:43 2016 UTC-Sat Oct 15 21:35:43 2016 UTC (0.002 )  Time stamp start 1476567343081075535 end 1476567343079008490  Run 310691, LB 119, lumi 25.95
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:44 2016 UTC-Sat Oct 15 21:35:44 2016 UTC (0.001 )  Time stamp start 1476567344101460830 end 1476567344100690380  Run 310691, LB 119, lumi 9.67
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:48 2016 UTC-Sat Oct 15 21:35:48 2016 UTC (0.001 )  Time stamp start 1476567348075795125 end 1476567348074795125  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:50 2016 UTC-Sat Oct 15 21:35:50 2016 UTC (0.001 )  Time stamp start 1476567350566157600 end 1476567350565157600  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:51 2016 UTC-Sat Oct 15 21:35:51 2016 UTC (0.001 )  Time stamp start 1476567351391922505 end 1476567351390922505  Run 310691, LB 119, lumi 12.56
Event Veto ['NoiseBurst'], Sat Oct 15 21:35:52 2016 UTC-Sat Oct 15 21:35:52 2016 UTC (0.017 )  Time stamp start 1476567352664967665 end 1476567352648390675  Run 310691, LB 119, lumi 208.13
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:35:53 2016 UTC-Sat Oct 15 21:35:53 2016 UTC (0.001 )  Time stamp start 1476567353726474220 end 1476567353725474220  Run 310691, LB 119, lumi 12.56
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:07 2016 UTC-Sat Oct 15 21:36:07 2016 UTC (0.001 )  Time stamp start 1476567367650075235 end 1476567367649075235  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:08 2016 UTC-Sat Oct 15 21:36:08 2016 UTC (0.001 )  Time stamp start 1476567368780554325 end 1476567368779554325  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:09 2016 UTC-Sat Oct 15 21:36:09 2016 UTC (0.000 )  Time stamp start 1476567369346393625 end 1476567369346393450  Run 310691, LB 120, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:12 2016 UTC-Sat Oct 15 21:36:12 2016 UTC (0.001 )  Time stamp start 1476567372834996665 end 1476567372833996665  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:13 2016 UTC-Sat Oct 15 21:36:13 2016 UTC (0.001 )  Time stamp start 1476567373729807155 end 1476567373728806130  Run 310691, LB 120, lumi 12.64
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:15 2016 UTC-Sat Oct 15 21:36:15 2016 UTC (0.001 )  Time stamp start 1476567375569785870 end 1476567375568785870  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:16 2016 UTC-Sat Oct 15 21:36:16 2016 UTC (0.001 )  Time stamp start 1476567376588664565 end 1476567376587664440  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:18 2016 UTC-Sat Oct 15 21:36:18 2016 UTC (0.001 )  Time stamp start 1476567378839951465 end 1476567378838951465  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:46 2016 UTC-Sat Oct 15 21:36:46 2016 UTC (0.001 )  Time stamp start 1476567406603987360 end 1476567406602987360  Run 310691, LB 120, lumi 12.63
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:36:51 2016 UTC-Sat Oct 15 21:36:51 2016 UTC (0.001 )  Time stamp start 1476567411510597555 end 1476567411509597555  Run 310691, LB 120, lumi 12.63
