Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:58 2016 UTC-Fri Oct 14 18:32:58 2016 UTC (0.001 )  Time stamp start 1476469978477317735 end 1476469978476317735  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:59 2016 UTC-Fri Oct 14 18:32:59 2016 UTC (0.001 )  Time stamp start 1476469979904344790 end 1476469979903344790  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:01 2016 UTC-Fri Oct 14 18:33:01 2016 UTC (0.001 )  Time stamp start 1476469981371058985 end 1476469981370058985  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:02 2016 UTC-Fri Oct 14 18:33:02 2016 UTC (0.001 )  Time stamp start 1476469982975931390 end 1476469982974931390  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:04 2016 UTC-Fri Oct 14 18:33:04 2016 UTC (0.002 )  Time stamp start 1476469984737927890 end 1476469984736025645  Run 310634, LB 36, lumi 23.77
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:06 2016 UTC-Fri Oct 14 18:33:06 2016 UTC (0.001 )  Time stamp start 1476469986737989925 end 1476469986736989625  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:08 2016 UTC-Fri Oct 14 18:33:08 2016 UTC (0.001 )  Time stamp start 1476469988726222940 end 1476469988725222940  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:10 2016 UTC-Fri Oct 14 18:33:10 2016 UTC (0.001 )  Time stamp start 1476469990877417295 end 1476469990876417295  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:12 2016 UTC-Fri Oct 14 18:33:12 2016 UTC (0.001 )  Time stamp start 1476469992160667680 end 1476469992159667680  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:12 2016 UTC-Fri Oct 14 18:33:12 2016 UTC (0.001 )  Time stamp start 1476469992998265390 end 1476469992997265390  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:14 2016 UTC-Fri Oct 14 18:33:14 2016 UTC (0.001 )  Time stamp start 1476469994698759360 end 1476469994697759360  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:16 2016 UTC-Fri Oct 14 18:33:16 2016 UTC (0.001 )  Time stamp start 1476469996185139380 end 1476469996184139380  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:17 2016 UTC-Fri Oct 14 18:33:17 2016 UTC (0.001 )  Time stamp start 1476469997106435770 end 1476469997105435770  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:19 2016 UTC-Fri Oct 14 18:33:19 2016 UTC (0.001 )  Time stamp start 1476469999430509410 end 1476469999429509410  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:20 2016 UTC-Fri Oct 14 18:33:20 2016 UTC (0.001 )  Time stamp start 1476470000976312885 end 1476470000975312885  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:22 2016 UTC-Fri Oct 14 18:33:22 2016 UTC (0.001 )  Time stamp start 1476470002497523640 end 1476470002496523490  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:24 2016 UTC-Fri Oct 14 18:33:24 2016 UTC (0.001 )  Time stamp start 1476470004195065070 end 1476470004194065070  Run 310634, LB 36, lumi 12.50
Event Veto ['NoiseBurst'], Fri Oct 14 18:33:28 2016 UTC-Fri Oct 14 18:33:28 2016 UTC (0.010 )  Time stamp start 1476470008602052680 end 1476470008592052530  Run 310634, LB 36, lumi 124.95
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:29 2016 UTC-Fri Oct 14 18:33:29 2016 UTC (0.001 )  Time stamp start 1476470009449426355 end 1476470009448426355  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:30 2016 UTC-Fri Oct 14 18:33:30 2016 UTC (0.001 )  Time stamp start 1476470010848847280 end 1476470010847847280  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:31 2016 UTC-Fri Oct 14 18:33:31 2016 UTC (0.001 )  Time stamp start 1476470011965032030 end 1476470011964032030  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:33 2016 UTC-Fri Oct 14 18:33:33 2016 UTC (0.001 )  Time stamp start 1476470013631889085 end 1476470013630889085  Run 310634, LB 36, lumi 12.50
