Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:06 2016 UTC-Sun Oct  9 12:45:06 2016 UTC (0.010 )  Time stamp start 1476017106849690200 end 1476017106839690200  Run 310249, LB 183, lumi 135.42
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:15 2016 UTC-Sun Oct  9 12:45:15 2016 UTC (0.010 )  Time stamp start 1476017115588236715 end 1476017115578236715  Run 310249, LB 183, lumi 135.42
Event Veto ['NoiseBurst'], Sun Oct  9 12:45:32 2016 UTC-Sun Oct  9 12:45:32 2016 UTC (0.000 )  Time stamp start 1476017132345947340 end 1476017132345922740  Run 310249, LB 184, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:46 2016 UTC-Sun Oct  9 12:45:46 2016 UTC (0.010 )  Time stamp start 1476017146322829745 end 1476017146312829745  Run 310249, LB 184, lumi 135.33
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:55 2016 UTC-Sun Oct  9 12:45:55 2016 UTC (0.010 )  Time stamp start 1476017155644790175 end 1476017155634790175  Run 310249, LB 185, lumi 135.36
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:00 2016 UTC-Sun Oct  9 12:46:00 2016 UTC (0.009 )  Time stamp start 1476017160897615360 end 1476017160888172730  Run 310249, LB 185, lumi 127.82
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:05 2016 UTC-Sun Oct  9 12:46:05 2016 UTC (0.023 )  Time stamp start 1476017165153849965 end 1476017165130438315  Run 310249, LB 185, lumi 316.91
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:07 2016 UTC-Sun Oct  9 12:46:07 2016 UTC (0.003 )  Time stamp start 1476017167533044980 end 1476017167530303495  Run 310249, LB 185, lumi 37.11
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:17 2016 UTC-Sun Oct  9 12:46:17 2016 UTC (0.004 )  Time stamp start 1476017177658051850 end 1476017177653551850  Run 310249, LB 185, lumi 60.91
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:22 2016 UTC-Sun Oct  9 12:46:22 2016 UTC (0.010 )  Time stamp start 1476017182292674400 end 1476017182282674400  Run 310249, LB 185, lumi 135.36
Event Veto ['NoiseBurst'], Sun Oct  9 12:46:24 2016 UTC-Sun Oct  9 12:46:24 2016 UTC (0.000 )  Time stamp start 1476017184731505180 end 1476017184731504935  Run 310249, LB 185, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:45 2016 UTC-Sun Oct  9 12:46:45 2016 UTC (0.010 )  Time stamp start 1476017205238917995 end 1476017205228917995  Run 310249, LB 185, lumi 135.36
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:46 2016 UTC-Sun Oct  9 12:46:46 2016 UTC (0.021 )  Time stamp start 1476017206823827390 end 1476017206803165660  Run 310249, LB 185, lumi 279.68
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:52 2016 UTC-Sun Oct  9 12:46:52 2016 UTC (0.010 )  Time stamp start 1476017212721953260 end 1476017212711953260  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:56 2016 UTC-Sun Oct  9 12:46:56 2016 UTC (0.010 )  Time stamp start 1476017216932807630 end 1476017216922807630  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:02 2016 UTC-Sun Oct  9 12:47:02 2016 UTC (0.019 )  Time stamp start 1476017222428318010 end 1476017222409446025  Run 310249, LB 186, lumi 253.79
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:04 2016 UTC-Sun Oct  9 12:47:04 2016 UTC (0.001 )  Time stamp start 1476017224596091745 end 1476017224595091745  Run 310249, LB 186, lumi 13.45
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:11 2016 UTC-Sun Oct  9 12:47:11 2016 UTC (0.001 )  Time stamp start 1476017231460207490 end 1476017231459207490  Run 310249, LB 186, lumi 13.45
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:26 2016 UTC-Sun Oct  9 12:47:26 2016 UTC (0.010 )  Time stamp start 1476017246011682240 end 1476017246001682115  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:31 2016 UTC-Sun Oct  9 12:47:31 2016 UTC (0.010 )  Time stamp start 1476017251321605400 end 1476017251311605400  Run 310249, LB 186, lumi 134.48
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:35 2016 UTC-Sun Oct  9 12:47:35 2016 UTC (0.010 )  Time stamp start 1476017255022641405 end 1476017255012616855  Run 310249, LB 186, lumi 134.81
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:36 2016 UTC-Sun Oct  9 12:47:36 2016 UTC (0.000 )  Time stamp start 1476017256945883080 end 1476017256945874120  Run 310249, LB 186, lumi 0.12
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:48 2016 UTC-Sun Oct  9 12:47:48 2016 UTC (0.010 )  Time stamp start 1476017268076473385 end 1476017268066473385  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:05 2016 UTC-Sun Oct  9 12:48:05 2016 UTC (0.001 )  Time stamp start 1476017285045808765 end 1476017285044808765  Run 310249, LB 187, lumi 13.40
Event Veto ['NoiseBurst'], Sun Oct  9 12:48:12 2016 UTC-Sun Oct  9 12:48:12 2016 UTC (0.014 )  Time stamp start 1476017292131195390 end 1476017292117076120  Run 310249, LB 187, lumi 189.20
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:19 2016 UTC-Sun Oct  9 12:48:19 2016 UTC (0.010 )  Time stamp start 1476017299152278110 end 1476017299142278110  Run 310249, LB 188, lumi 133.77
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:31 2016 UTC-Sun Oct  9 12:48:31 2016 UTC (0.018 )  Time stamp start 1476017311281731785 end 1476017311263868810  Run 310249, LB 188, lumi 238.96
