Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:56 2016 UTC-Sun Oct  9 12:41:56 2016 UTC (0.010 )  Time stamp start 1476016916831307370 end 1476016916821307370  Run 310249, LB 180, lumi 136.66
Event Veto ['NoiseBurst'], Sun Oct  9 12:42:00 2016 UTC-Sun Oct  9 12:42:00 2016 UTC (0.000 )  Time stamp start 1476016920683454295 end 1476016920683453245  Run 310249, LB 180, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:42:03 2016 UTC-Sun Oct  9 12:42:03 2016 UTC (0.010 )  Time stamp start 1476016923826524905 end 1476016923816524905  Run 310249, LB 180, lumi 136.66
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:42:08 2016 UTC-Sun Oct  9 12:42:08 2016 UTC (0.010 )  Time stamp start 1476016928172721575 end 1476016928162721575  Run 310249, LB 180, lumi 136.66
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:42:48 2016 UTC-Sun Oct  9 12:42:48 2016 UTC (0.010 )  Time stamp start 1476016968456068005 end 1476016968446068005  Run 310249, LB 180, lumi 136.66
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:43:14 2016 UTC-Sun Oct  9 12:43:14 2016 UTC (0.019 )  Time stamp start 1476016994115736570 end 1476016994096477075  Run 310249, LB 181, lumi 262.17
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:43:25 2016 UTC-Sun Oct  9 12:43:25 2016 UTC (0.010 )  Time stamp start 1476017005146142345 end 1476017005136142345  Run 310249, LB 181, lumi 136.13
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:43:33 2016 UTC-Sun Oct  9 12:43:33 2016 UTC (0.010 )  Time stamp start 1476017013441774605 end 1476017013431774605  Run 310249, LB 181, lumi 136.13
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:04 2016 UTC-Sun Oct  9 12:44:04 2016 UTC (0.004 )  Time stamp start 1476017044318319155 end 1476017044313819155  Run 310249, LB 182, lumi 61.04
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:08 2016 UTC-Sun Oct  9 12:44:08 2016 UTC (0.010 )  Time stamp start 1476017048777750540 end 1476017048767750540  Run 310249, LB 182, lumi 135.64
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:11 2016 UTC-Sun Oct  9 12:44:11 2016 UTC (0.010 )  Time stamp start 1476017051250944945 end 1476017051240944445  Run 310249, LB 182, lumi 135.64
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:23 2016 UTC-Sun Oct  9 12:44:23 2016 UTC (0.001 )  Time stamp start 1476017063083001465 end 1476017063082001465  Run 310249, LB 183, lumi 13.54
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:31 2016 UTC-Sun Oct  9 12:44:31 2016 UTC (0.010 )  Time stamp start 1476017071211162820 end 1476017071201162820  Run 310249, LB 183, lumi 135.42
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:45 2016 UTC-Sun Oct  9 12:44:45 2016 UTC (0.004 )  Time stamp start 1476017085344293695 end 1476017085339793695  Run 310249, LB 183, lumi 60.94
Event Veto ['NoiseBurst'], Sun Oct  9 12:44:54 2016 UTC-Sun Oct  9 12:44:54 2016 UTC (0.010 )  Time stamp start 1476017094858379985 end 1476017094848379485  Run 310249, LB 183, lumi 135.42
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:44:58 2016 UTC-Sun Oct  9 12:44:58 2016 UTC (0.004 )  Time stamp start 1476017098518430485 end 1476017098513930485  Run 310249, LB 183, lumi 60.94
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:10 2016 UTC-Sun Oct  9 12:45:10 2016 UTC (0.010 )  Time stamp start 1476017110314288830 end 1476017110304288830  Run 310249, LB 183, lumi 135.42
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:23 2016 UTC-Sun Oct  9 12:45:23 2016 UTC (0.010 )  Time stamp start 1476017123095972315 end 1476017123085972315  Run 310249, LB 184, lumi 135.33
Event Veto ['NoiseBurst'], Sun Oct  9 12:45:30 2016 UTC-Sun Oct  9 12:45:30 2016 UTC (0.010 )  Time stamp start 1476017130646098845 end 1476017130636098095  Run 310249, LB 184, lumi 135.34
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:38 2016 UTC-Sun Oct  9 12:45:38 2016 UTC (0.010 )  Time stamp start 1476017138856503120 end 1476017138846503120  Run 310249, LB 184, lumi 135.33
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:45 2016 UTC-Sun Oct  9 12:45:45 2016 UTC (0.004 )  Time stamp start 1476017145867716025 end 1476017145863216025  Run 310249, LB 184, lumi 60.90
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:45:56 2016 UTC-Sun Oct  9 12:45:56 2016 UTC (0.001 )  Time stamp start 1476017156527015015 end 1476017156526015015  Run 310249, LB 185, lumi 13.54
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:06 2016 UTC-Sun Oct  9 12:46:06 2016 UTC (0.001 )  Time stamp start 1476017166001654360 end 1476017166000654360  Run 310249, LB 185, lumi 13.54
