Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628943685580 end 1500017628943585455  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628997037695 end 1500017628996937695  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629041952170 end 1500017629041852170  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629105801540 end 1500017629105701540  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629142563635 end 1500017629142463635  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629193395450 end 1500017629193295325  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629247406365 end 1500017629247306365  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629294181190 end 1500017629294081190  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629346422025 end 1500017629346322025  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629385935615 end 1500017629385835615  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629429797120 end 1500017629429696995  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629460562750 end 1500017629460462750  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629502385505 end 1500017629502285505  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629536509930 end 1500017629536409810  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629593367330 end 1500017629593267130  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629646818400 end 1500017629646718400  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629722380865 end 1500017629722280865  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629762344590 end 1500017629762244590  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629818393605 end 1500017629818293605  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629868947220 end 1500017629868847220  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629908471335 end 1500017629908371335  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629960717385 end 1500017629960617260  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630020477825 end 1500017630020377825  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630071135785 end 1500017630071035535  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630129491075 end 1500017630129391075  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630159377895 end 1500017630159277895  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630194050440 end 1500017630193950290  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630251778815 end 1500017630251678690  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630282464080 end 1500017630282364080  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630343958275 end 1500017630343858075  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630391844230 end 1500017630391744230  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630458878635 end 1500017630458778635  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630498805055 end 1500017630498705055  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630539634945 end 1500017630539534720  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630573479300 end 1500017630573379300  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630598846195 end 1500017630598746195  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630650866840 end 1500017630650766640  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630691876820 end 1500017630691776695  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630740052755 end 1500017630739952505  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630805372320 end 1500017630805272320  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630829059880 end 1500017630828959880  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630857338420 end 1500017630857238420  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630873528085 end 1500017630873428085  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630901562535 end 1500017630901462535  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630967233630 end 1500017630967133405  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631016025675 end 1500017631015925675  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631069645360 end 1500017631069545360  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631102241930 end 1500017631102141930  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631166272740 end 1500017631166172740  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631212458750 end 1500017631212358750  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631245077380 end 1500017631244977380  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631302849565 end 1500017631302749340  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631340664535 end 1500017631340564535  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631397643515 end 1500017631397543515  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631441980005 end 1500017631441880005  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631478967055 end 1500017631478867055  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631514923140 end 1500017631514823140  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631563675290 end 1500017631563575290  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631653502290 end 1500017631653402290  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:51 2017 UTC-Fri Jul 14 07:33:51 2017 UTC (0.000 )  Time stamp start 1500017631696432610 end 1500017631696332610  Run 329716, LB 259, lumi 0.71
