Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:09 2016 UTC-Fri Oct 21 01:09:09 2016 UTC (0.001 )  Time stamp start 1477012149643789700 end 1477012149642789700  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:10 2016 UTC-Fri Oct 21 01:09:10 2016 UTC (0.001 )  Time stamp start 1477012150723807685 end 1477012150722807685  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:12 2016 UTC-Fri Oct 21 01:09:12 2016 UTC (0.001 )  Time stamp start 1477012152046819730 end 1477012152045819730  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:13 2016 UTC-Fri Oct 21 01:09:13 2016 UTC (0.001 )  Time stamp start 1477012153321528170 end 1477012153320528170  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:14 2016 UTC-Fri Oct 21 01:09:14 2016 UTC (0.001 )  Time stamp start 1477012154085860760 end 1477012154084860760  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:14 2016 UTC-Fri Oct 21 01:09:14 2016 UTC (0.001 )  Time stamp start 1477012154747012705 end 1477012154746012705  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:15 2016 UTC-Fri Oct 21 01:09:15 2016 UTC (0.001 )  Time stamp start 1477012155649693430 end 1477012155648693430  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:16 2016 UTC-Fri Oct 21 01:09:16 2016 UTC (0.001 )  Time stamp start 1477012156998550730 end 1477012156997550730  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:17 2016 UTC-Fri Oct 21 01:09:17 2016 UTC (0.001 )  Time stamp start 1477012157599773590 end 1477012157598773590  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:18 2016 UTC-Fri Oct 21 01:09:18 2016 UTC (0.001 )  Time stamp start 1477012158620699345 end 1477012158619699345  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:20 2016 UTC-Fri Oct 21 01:09:20 2016 UTC (0.001 )  Time stamp start 1477012160672189790 end 1477012160671189790  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:21 2016 UTC-Fri Oct 21 01:09:21 2016 UTC (0.001 )  Time stamp start 1477012161584628625 end 1477012161583628625  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:22 2016 UTC-Fri Oct 21 01:09:22 2016 UTC (0.001 )  Time stamp start 1477012162229136885 end 1477012162228136885  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:09:22 2016 UTC-Fri Oct 21 01:09:22 2016 UTC (0.001 )  Time stamp start 1477012162960014150 end 1477012162959014150  Run 311071, LB 138, lumi 11.24
