Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:49 2016 UTC-Wed Oct 19 04:07:49 2016 UTC (0.001 )  Time stamp start 1476850069449338280 end 1476850069448338280  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:51 2016 UTC-Wed Oct 19 04:07:51 2016 UTC (0.001 )  Time stamp start 1476850071362901955 end 1476850071361901955  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:52 2016 UTC-Wed Oct 19 04:07:52 2016 UTC (0.001 )  Time stamp start 1476850072310063210 end 1476850072309063210  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:53 2016 UTC-Wed Oct 19 04:07:53 2016 UTC (0.001 )  Time stamp start 1476850073168546940 end 1476850073167546940  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:53 2016 UTC-Wed Oct 19 04:07:53 2016 UTC (0.001 )  Time stamp start 1476850073806342295 end 1476850073805342295  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:55 2016 UTC-Wed Oct 19 04:07:55 2016 UTC (0.001 )  Time stamp start 1476850075226654490 end 1476850075225654490  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:56 2016 UTC-Wed Oct 19 04:07:56 2016 UTC (0.001 )  Time stamp start 1476850076837220790 end 1476850076836220790  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:58 2016 UTC-Wed Oct 19 04:07:58 2016 UTC (0.001 )  Time stamp start 1476850078249134290 end 1476850078248134290  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:59 2016 UTC-Wed Oct 19 04:07:59 2016 UTC (0.001 )  Time stamp start 1476850079453361920 end 1476850079452361920  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:00 2016 UTC-Wed Oct 19 04:08:00 2016 UTC (0.001 )  Time stamp start 1476850080140905010 end 1476850080139905010  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:01 2016 UTC-Wed Oct 19 04:08:01 2016 UTC (0.001 )  Time stamp start 1476850081765706360 end 1476850081764706360  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:02 2016 UTC-Wed Oct 19 04:08:02 2016 UTC (0.001 )  Time stamp start 1476850082478083495 end 1476850082477083495  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:03 2016 UTC-Wed Oct 19 04:08:03 2016 UTC (0.001 )  Time stamp start 1476850083951355930 end 1476850083950355930  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:05 2016 UTC-Wed Oct 19 04:08:05 2016 UTC (0.000 )  Time stamp start 1476850085813583580 end 1476850085813582530  Run 310872, LB 150, lumi 0.01
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:22 2016 UTC-Wed Oct 19 04:08:22 2016 UTC (0.001 )  Time stamp start 1476850102119210155 end 1476850102118210155  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:23 2016 UTC-Wed Oct 19 04:08:23 2016 UTC (0.001 )  Time stamp start 1476850103478338245 end 1476850103477338245  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:24 2016 UTC-Wed Oct 19 04:08:24 2016 UTC (0.001 )  Time stamp start 1476850104140259345 end 1476850104139259345  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:25 2016 UTC-Wed Oct 19 04:08:25 2016 UTC (0.001 )  Time stamp start 1476850105370263135 end 1476850105369263135  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:26 2016 UTC-Wed Oct 19 04:08:26 2016 UTC (0.001 )  Time stamp start 1476850106929012840 end 1476850106928012540  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:27 2016 UTC-Wed Oct 19 04:08:27 2016 UTC (0.001 )  Time stamp start 1476850107736348950 end 1476850107735348950  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:28 2016 UTC-Wed Oct 19 04:08:28 2016 UTC (0.001 )  Time stamp start 1476850108809190075 end 1476850108808190075  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:29 2016 UTC-Wed Oct 19 04:08:29 2016 UTC (0.000 )  Time stamp start 1476850109393398230 end 1476850109393397930  Run 310872, LB 151, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 19 04:08:54 2016 UTC-Wed Oct 19 04:08:54 2016 UTC (0.000 )  Time stamp start 1476850134392296305 end 1476850134392295935  Run 310872, LB 151, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:55 2016 UTC-Wed Oct 19 04:08:55 2016 UTC (0.001 )  Time stamp start 1476850135087772750 end 1476850135086772750  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:56 2016 UTC-Wed Oct 19 04:08:56 2016 UTC (0.001 )  Time stamp start 1476850136353451435 end 1476850136352451435  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:59 2016 UTC-Wed Oct 19 04:08:59 2016 UTC (0.001 )  Time stamp start 1476850139631973660 end 1476850139630973660  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:01 2016 UTC-Wed Oct 19 04:09:01 2016 UTC (0.001 )  Time stamp start 1476850141433354710 end 1476850141432354535  Run 310872, LB 151, lumi 12.62
