Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:57 2016 UTC-Fri Oct 21 01:14:57 2016 UTC (0.001 )  Time stamp start 1477012497904188160 end 1477012497903188160  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:58 2016 UTC-Fri Oct 21 01:14:58 2016 UTC (0.001 )  Time stamp start 1477012498487545495 end 1477012498486545195  Run 311071, LB 145, lumi 11.97
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:59 2016 UTC-Fri Oct 21 01:14:59 2016 UTC (0.001 )  Time stamp start 1477012499209255285 end 1477012499208255285  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:59 2016 UTC-Fri Oct 21 01:14:59 2016 UTC (0.001 )  Time stamp start 1477012499743051795 end 1477012499742051795  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:00 2016 UTC-Fri Oct 21 01:15:00 2016 UTC (0.002 )  Time stamp start 1477012500284962255 end 1477012500283129100  Run 311071, LB 145, lumi 21.93
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:01 2016 UTC-Fri Oct 21 01:15:01 2016 UTC (0.001 )  Time stamp start 1477012501444747985 end 1477012501443747860  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:01 2016 UTC-Fri Oct 21 01:15:01 2016 UTC (0.001 )  Time stamp start 1477012501861516165 end 1477012501860516165  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:02 2016 UTC-Fri Oct 21 01:15:02 2016 UTC (0.001 )  Time stamp start 1477012502542067015 end 1477012502541067015  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:03 2016 UTC-Fri Oct 21 01:15:03 2016 UTC (0.001 )  Time stamp start 1477012503335263020 end 1477012503334263020  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:05 2016 UTC-Fri Oct 21 01:15:05 2016 UTC (0.001 )  Time stamp start 1477012505795953015 end 1477012505794953015  Run 311071, LB 145, lumi 11.96
Event Veto ['NoiseBurst'], Fri Oct 21 01:15:06 2016 UTC-Fri Oct 21 01:15:06 2016 UTC (0.000 )  Time stamp start 1477012506705207830 end 1477012506705187070  Run 311071, LB 145, lumi 0.25
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:07 2016 UTC-Fri Oct 21 01:15:07 2016 UTC (0.001 )  Time stamp start 1477012507600356260 end 1477012507599356260  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:08 2016 UTC-Fri Oct 21 01:15:08 2016 UTC (0.001 )  Time stamp start 1477012508460558200 end 1477012508459558200  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:16 2016 UTC-Fri Oct 21 01:15:16 2016 UTC (0.001 )  Time stamp start 1477012516239201865 end 1477012516238201865  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:17 2016 UTC-Fri Oct 21 01:15:17 2016 UTC (0.001 )  Time stamp start 1477012517576736590 end 1477012517575736590  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:17 2016 UTC-Fri Oct 21 01:15:17 2016 UTC (0.001 )  Time stamp start 1477012517916375670 end 1477012517915375670  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:18 2016 UTC-Fri Oct 21 01:15:18 2016 UTC (0.001 )  Time stamp start 1477012518503713120 end 1477012518502713120  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:19 2016 UTC-Fri Oct 21 01:15:19 2016 UTC (0.001 )  Time stamp start 1477012519315101110 end 1477012519314101110  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:20 2016 UTC-Fri Oct 21 01:15:20 2016 UTC (0.001 )  Time stamp start 1477012520005154450 end 1477012520004154450  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:21 2016 UTC-Fri Oct 21 01:15:21 2016 UTC (0.001 )  Time stamp start 1477012521007263100 end 1477012521006263100  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:22 2016 UTC-Fri Oct 21 01:15:22 2016 UTC (0.001 )  Time stamp start 1477012522536749960 end 1477012522535749960  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:24 2016 UTC-Fri Oct 21 01:15:24 2016 UTC (0.001 )  Time stamp start 1477012524091657850 end 1477012524090657850  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:24 2016 UTC-Fri Oct 21 01:15:24 2016 UTC (0.001 )  Time stamp start 1477012524466283960 end 1477012524465283960  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:25 2016 UTC-Fri Oct 21 01:15:25 2016 UTC (0.001 )  Time stamp start 1477012525626895505 end 1477012525625895505  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:26 2016 UTC-Fri Oct 21 01:15:26 2016 UTC (0.001 )  Time stamp start 1477012526346709485 end 1477012526345709485  Run 311071, LB 145, lumi 11.96
Event Veto ['NoiseBurst'], Fri Oct 21 01:15:27 2016 UTC-Fri Oct 21 01:15:27 2016 UTC (0.012 )  Time stamp start 1477012527194697550 end 1477012527182583375  Run 311071, LB 145, lumi 144.92
