Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629556384020 end 1500017629556284020  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629601707685 end 1500017629601607485  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629655140645 end 1500017629655040645  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629736177775 end 1500017629736077775  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629766201350 end 1500017629766101350  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629830378690 end 1500017629830278690  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629885044065 end 1500017629884944065  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629912270860 end 1500017629912170860  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629980837090 end 1500017629980737090  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630024621570 end 1500017630024521370  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630077541340 end 1500017630077441340  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630133740685 end 1500017630133640685  Run 329716, LB 259, lumi 0.71
