Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357539 to 357539
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357539 to run 357539  lasting from Sun Aug  5 02:14:29 2018 UTC to Sun Aug  5 18:21:34 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:17:22 2018 UTC-Sun Aug  5 08:17:22 2018 UTC (0.001 )  Time stamp start 1533457042005670820 end 1533457042004670820  Run 357539, LB 373, lumi 15.92
Event Veto ['NoiseBurst'], Sun Aug  5 08:21:36 2018 UTC-Sun Aug  5 08:21:36 2018 UTC (0.001 )  Time stamp start 1533457296144984340 end 1533457296143983715  Run 357539, LB 377, lumi 15.76
Event Veto ['NoiseBurst'], Sun Aug  5 08:24:10 2018 UTC-Sun Aug  5 08:24:10 2018 UTC (0.037 )  Time stamp start 1533457450195258885 end 1533457450158681550  Run 357539, LB 379, lumi 573.14
Event Veto ['NoiseBurst'], Sun Aug  5 08:25:09 2018 UTC-Sun Aug  5 08:25:09 2018 UTC (0.002 )  Time stamp start 1533457509694461760 end 1533457509692762295  Run 357539, LB 380, lumi 26.63
Event Veto ['NoiseBurst'], Sun Aug  5 08:26:23 2018 UTC-Sun Aug  5 08:26:23 2018 UTC (0.001 )  Time stamp start 1533457583124399215 end 1533457583123398465  Run 357539, LB 382, lumi 15.59
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:30:22 2018 UTC-Sun Aug  5 08:30:22 2018 UTC (0.001 )  Time stamp start 1533457822340944670 end 1533457822339944670  Run 357539, LB 386, lumi 15.44
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:31:49 2018 UTC-Sun Aug  5 08:31:49 2018 UTC (0.001 )  Time stamp start 1533457909166265035 end 1533457909165265035  Run 357539, LB 387, lumi 15.40
Event Veto ['MiniNoiseBurst'], Sun Aug  5 08:33:11 2018 UTC-Sun Aug  5 08:33:11 2018 UTC (0.001 )  Time stamp start 1533457991769438015 end 1533457991768438015  Run 357539, LB 389, lumi 15.38
Event Veto ['NoiseBurst'], Sun Aug  5 08:34:16 2018 UTC-Sun Aug  5 08:34:16 2018 UTC (0.001 )  Time stamp start 1533458056021557040 end 1533458056020556420  Run 357539, LB 390, lumi 15.41
Event Veto ['NoiseBurst'], Sun Aug  5 08:34:50 2018 UTC-Sun Aug  5 08:34:50 2018 UTC (0.001 )  Time stamp start 1533458090141392905 end 1533458090139951155  Run 357539, LB 390, lumi 22.21
