Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303059 to 303059
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303059 to run 303059  lasting from Thu Jun 30 15:29:51 2016 UTC to Thu Jun 30 20:18:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:58:24 2016 UTC-Thu Jun 30 16:58:24 2016 UTC (0.001 )  Time stamp start 1467305904948294280 end 1467305904947294280  Run 303059, LB 94, lumi 10.28
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:59:18 2016 UTC-Thu Jun 30 16:59:18 2016 UTC (0.001 )  Time stamp start 1467305958967464455 end 1467305958966463060  Run 303059, LB 95, lumi 10.30
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:59:33 2016 UTC-Thu Jun 30 16:59:33 2016 UTC (0.001 )  Time stamp start 1467305973261948585 end 1467305973260948585  Run 303059, LB 95, lumi 10.28
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:59:45 2016 UTC-Thu Jun 30 16:59:45 2016 UTC (0.001 )  Time stamp start 1467305985431267485 end 1467305985430267085  Run 303059, LB 95, lumi 10.29
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:00:05 2016 UTC-Thu Jun 30 17:00:05 2016 UTC (0.001 )  Time stamp start 1467306005783655350 end 1467306005782655350  Run 303059, LB 95, lumi 10.28
Event Veto ['NoiseBurst'], Thu Jun 30 17:00:09 2016 UTC-Thu Jun 30 17:00:09 2016 UTC (0.010 )  Time stamp start 1467306009628599920 end 1467306009618599495  Run 303059, LB 95, lumi 102.84
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:00:16 2016 UTC-Thu Jun 30 17:00:16 2016 UTC (0.001 )  Time stamp start 1467306016091982040 end 1467306016090980445  Run 303059, LB 96, lumi 10.10
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:00:37 2016 UTC-Thu Jun 30 17:00:37 2016 UTC (0.001 )  Time stamp start 1467306037982500750 end 1467306037981500750  Run 303059, LB 96, lumi 10.08
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:00:43 2016 UTC-Thu Jun 30 17:00:43 2016 UTC (0.001 )  Time stamp start 1467306043616357605 end 1467306043615356455  Run 303059, LB 96, lumi 10.10
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:01:11 2016 UTC-Thu Jun 30 17:01:11 2016 UTC (0.001 )  Time stamp start 1467306071569823645 end 1467306071568823645  Run 303059, LB 97, lumi 9.50
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:01:23 2016 UTC-Thu Jun 30 17:01:23 2016 UTC (0.001 )  Time stamp start 1467306083969216420 end 1467306083968215170  Run 303059, LB 97, lumi 9.51
Event Veto ['NoiseBurst'], Thu Jun 30 17:01:53 2016 UTC-Thu Jun 30 17:01:53 2016 UTC (0.010 )  Time stamp start 1467306113115052910 end 1467306113104880425  Run 303059, LB 97, lumi 96.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:01:56 2016 UTC-Thu Jun 30 17:01:56 2016 UTC (0.001 )  Time stamp start 1467306116677049205 end 1467306116676048805  Run 303059, LB 97, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:02:25 2016 UTC-Thu Jun 30 17:02:25 2016 UTC (0.001 )  Time stamp start 1467306145944561880 end 1467306145943561880  Run 303059, LB 98, lumi 0.00
