Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303266 to 303266
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303266 to run 303266  lasting from Sun Jul  3 20:11:15 2016 UTC to Mon Jul  4 08:28:25 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:43:01 2016 UTC-Sun Jul  3 20:43:01 2016 UTC (0.001 )  Time stamp start 1467578581324224700 end 1467578581323224700  Run 303266, LB 59, lumi 9.33
Event Veto ['NoiseBurst'], Sun Jul  3 20:43:09 2016 UTC-Sun Jul  3 20:43:09 2016 UTC (0.010 )  Time stamp start 1467578589511670600 end 1467578589501393070  Run 303266, LB 59, lumi 95.84
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:43:14 2016 UTC-Sun Jul  3 20:43:14 2016 UTC (0.001 )  Time stamp start 1467578594544446945 end 1467578594543446645  Run 303266, LB 60, lumi 9.33
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:43:18 2016 UTC-Sun Jul  3 20:43:18 2016 UTC (0.001 )  Time stamp start 1467578598767583155 end 1467578598766582660  Run 303266, LB 60, lumi 9.33
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:43:26 2016 UTC-Sun Jul  3 20:43:26 2016 UTC (0.001 )  Time stamp start 1467578606835438060 end 1467578606834437935  Run 303266, LB 60, lumi 9.33
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:43:38 2016 UTC-Sun Jul  3 20:43:38 2016 UTC (0.001 )  Time stamp start 1467578618480547760 end 1467578618479547635  Run 303266, LB 60, lumi 9.33
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:06 2016 UTC-Sun Jul  3 20:44:06 2016 UTC (0.001 )  Time stamp start 1467578646196742585 end 1467578646195742585  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:15 2016 UTC-Sun Jul  3 20:44:15 2016 UTC (0.001 )  Time stamp start 1467578655923154855 end 1467578655922154855  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:24 2016 UTC-Sun Jul  3 20:44:24 2016 UTC (0.001 )  Time stamp start 1467578664057520840 end 1467578664056520840  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:28 2016 UTC-Sun Jul  3 20:44:28 2016 UTC (0.001 )  Time stamp start 1467578668225438895 end 1467578668224437875  Run 303266, LB 62, lumi 9.33
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:36 2016 UTC-Sun Jul  3 20:44:36 2016 UTC (0.001 )  Time stamp start 1467578676718047990 end 1467578676717047440  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:40 2016 UTC-Sun Jul  3 20:44:40 2016 UTC (0.001 )  Time stamp start 1467578680880319495 end 1467578680879319220  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:44 2016 UTC-Sun Jul  3 20:44:44 2016 UTC (0.001 )  Time stamp start 1467578684983658955 end 1467578684982658705  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:49 2016 UTC-Sun Jul  3 20:44:49 2016 UTC (0.001 )  Time stamp start 1467578689029458665 end 1467578689028458665  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:44:56 2016 UTC-Sun Jul  3 20:44:56 2016 UTC (0.001 )  Time stamp start 1467578696590105845 end 1467578696589105720  Run 303266, LB 62, lumi 9.32
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:00 2016 UTC-Sun Jul  3 20:45:00 2016 UTC (0.001 )  Time stamp start 1467578700528442970 end 1467578700527442725  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:04 2016 UTC-Sun Jul  3 20:45:04 2016 UTC (0.001 )  Time stamp start 1467578704652155085 end 1467578704651154785  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:08 2016 UTC-Sun Jul  3 20:45:08 2016 UTC (0.001 )  Time stamp start 1467578708419646345 end 1467578708418645420  Run 303266, LB 63, lumi 9.32
Event Veto ['NoiseBurst'], Sun Jul  3 20:45:16 2016 UTC-Sun Jul  3 20:45:16 2016 UTC (0.010 )  Time stamp start 1467578716300933480 end 1467578716290932855  Run 303266, LB 63, lumi 93.10
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:19 2016 UTC-Sun Jul  3 20:45:19 2016 UTC (0.001 )  Time stamp start 1467578719394813795 end 1467578719393813795  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:19 2016 UTC-Sun Jul  3 20:45:19 2016 UTC (0.001 )  Time stamp start 1467578719697231770 end 1467578719696231770  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:44 2016 UTC-Sun Jul  3 20:45:44 2016 UTC (0.001 )  Time stamp start 1467578744435634225 end 1467578744434633850  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:48 2016 UTC-Sun Jul  3 20:45:48 2016 UTC (0.001 )  Time stamp start 1467578748886399945 end 1467578748885399695  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:45:52 2016 UTC-Sun Jul  3 20:45:52 2016 UTC (0.001 )  Time stamp start 1467578752645847790 end 1467578752644847790  Run 303266, LB 63, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:08 2016 UTC-Sun Jul  3 20:46:08 2016 UTC (0.001 )  Time stamp start 1467578768720958815 end 1467578768719958815  Run 303266, LB 64, lumi 9.30
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:16 2016 UTC-Sun Jul  3 20:46:16 2016 UTC (0.001 )  Time stamp start 1467578776998771835 end 1467578776997771710  Run 303266, LB 64, lumi 9.30
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:36 2016 UTC-Sun Jul  3 20:46:36 2016 UTC (0.001 )  Time stamp start 1467578796701865235 end 1467578796700864860  Run 303266, LB 64, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:49 2016 UTC-Sun Jul  3 20:46:49 2016 UTC (0.001 )  Time stamp start 1467578809123730985 end 1467578809122730435  Run 303266, LB 64, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:53 2016 UTC-Sun Jul  3 20:46:53 2016 UTC (0.001 )  Time stamp start 1467578813771933625 end 1467578813770933225  Run 303266, LB 64, lumi 9.31
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:46:58 2016 UTC-Sun Jul  3 20:46:58 2016 UTC (0.001 )  Time stamp start 1467578818152884905 end 1467578818151884905  Run 303266, LB 64, lumi 9.30
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:47:06 2016 UTC-Sun Jul  3 20:47:06 2016 UTC (0.001 )  Time stamp start 1467578826901915460 end 1467578826900915460  Run 303266, LB 65, lumi 9.29
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:47:11 2016 UTC-Sun Jul  3 20:47:11 2016 UTC (0.001 )  Time stamp start 1467578831077644895 end 1467578831076644770  Run 303266, LB 65, lumi 9.30
