Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362445 to 362445
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362445 to run 362445  lasting from Mon Oct  1 20:29:17 2018 UTC to Tue Oct  2 05:04:34 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:37:05 2018 UTC-Tue Oct  2 00:37:05 2018 UTC (0.001 )  Time stamp start 1538440625522200160 end 1538440625521200160  Run 362445, LB 287, lumi 16.31
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:39:37 2018 UTC-Tue Oct  2 00:39:37 2018 UTC (0.001 )  Time stamp start 1538440777247105820 end 1538440777246104625  Run 362445, LB 289, lumi 16.25
Event Veto ['NoiseBurst'], Tue Oct  2 00:39:39 2018 UTC-Tue Oct  2 00:39:39 2018 UTC (0.001 )  Time stamp start 1538440779699953790 end 1538440779698953290  Run 362445, LB 290, lumi 16.19
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:42:28 2018 UTC-Tue Oct  2 00:42:28 2018 UTC (0.001 )  Time stamp start 1538440948439498040 end 1538440948438498040  Run 362445, LB 292, lumi 16.11
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:44:11 2018 UTC-Tue Oct  2 00:44:11 2018 UTC (0.001 )  Time stamp start 1538441051381041750 end 1538441051380041750  Run 362445, LB 294, lumi 16.08
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:44:48 2018 UTC-Tue Oct  2 00:44:48 2018 UTC (0.001 )  Time stamp start 1538441088171318865 end 1538441088170318865  Run 362445, LB 295, lumi 16.07
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:45:42 2018 UTC-Tue Oct  2 00:45:42 2018 UTC (0.001 )  Time stamp start 1538441142258688420 end 1538441142257688420  Run 362445, LB 296, lumi 16.04
Event Veto ['NoiseBurst'], Tue Oct  2 00:47:34 2018 UTC-Tue Oct  2 00:47:34 2018 UTC (0.001 )  Time stamp start 1538441254056880555 end 1538441254055723940  Run 362445, LB 297, lumi 18.52
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:49:28 2018 UTC-Tue Oct  2 00:49:28 2018 UTC (0.001 )  Time stamp start 1538441368507622595 end 1538441368506622320  Run 362445, LB 299, lumi 15.95
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:49:58 2018 UTC-Tue Oct  2 00:49:58 2018 UTC (0.001 )  Time stamp start 1538441398785582570 end 1538441398784582570  Run 362445, LB 301, lumi 15.90
