Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349944 to 349944
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349944 to run 349944  lasting from Wed May  9 16:58:10 2018 UTC to Thu May 10 10:37:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:48 2018 UTC-Wed May  9 20:50:48 2018 UTC (0.001 )  Time stamp start 1525899048674213015 end 1525899048673213015  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:50:50 2018 UTC-Wed May  9 20:50:50 2018 UTC (0.001 )  Time stamp start 1525899050348594525 end 1525899050347594525  Run 349944, LB 241, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:51:01 2018 UTC-Wed May  9 20:51:01 2018 UTC (0.001 )  Time stamp start 1525899061903911595 end 1525899061902911595  Run 349944, LB 242, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed May  9 20:51:39 2018 UTC-Wed May  9 20:51:39 2018 UTC (0.001 )  Time stamp start 1525899099326494250 end 1525899099325494250  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:51:52 2018 UTC-Wed May  9 20:51:52 2018 UTC (0.001 )  Time stamp start 1525899112671794170 end 1525899112670794170  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:51:55 2018 UTC-Wed May  9 20:51:55 2018 UTC (0.001 )  Time stamp start 1525899115356154695 end 1525899115355154245  Run 349944, LB 244, lumi 19.19
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:00 2018 UTC-Wed May  9 20:52:00 2018 UTC (0.001 )  Time stamp start 1525899120169191625 end 1525899120168191450  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:02 2018 UTC-Wed May  9 20:52:02 2018 UTC (0.001 )  Time stamp start 1525899122519852060 end 1525899122518852060  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:05 2018 UTC-Wed May  9 20:52:05 2018 UTC (0.001 )  Time stamp start 1525899125683771325 end 1525899125682304120  Run 349944, LB 244, lumi 28.14
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:13 2018 UTC-Wed May  9 20:52:13 2018 UTC (0.001 )  Time stamp start 1525899133621797880 end 1525899133620797880  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:16 2018 UTC-Wed May  9 20:52:16 2018 UTC (0.001 )  Time stamp start 1525899136573689260 end 1525899136572689260  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:23 2018 UTC-Wed May  9 20:52:23 2018 UTC (0.001 )  Time stamp start 1525899143381859305 end 1525899143380859305  Run 349944, LB 244, lumi 19.18
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:29 2018 UTC-Wed May  9 20:52:29 2018 UTC (0.001 )  Time stamp start 1525899149644854510 end 1525899149643854510  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:32 2018 UTC-Wed May  9 20:52:32 2018 UTC (0.001 )  Time stamp start 1525899152617589090 end 1525899152616589090  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:38 2018 UTC-Wed May  9 20:52:38 2018 UTC (0.001 )  Time stamp start 1525899158924899225 end 1525899158923899225  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:42 2018 UTC-Wed May  9 20:52:42 2018 UTC (0.001 )  Time stamp start 1525899162339699040 end 1525899162338699040  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:43 2018 UTC-Wed May  9 20:52:43 2018 UTC (0.001 )  Time stamp start 1525899163489549825 end 1525899163488549825  Run 349944, LB 245, lumi 19.16
Event Veto ['NoiseBurst'], Wed May  9 20:52:44 2018 UTC-Wed May  9 20:52:44 2018 UTC (0.001 )  Time stamp start 1525899164459458655 end 1525899164458377935  Run 349944, LB 245, lumi 20.70
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:44 2018 UTC-Wed May  9 20:52:44 2018 UTC (0.001 )  Time stamp start 1525899164871706115 end 1525899164870706115  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:56 2018 UTC-Wed May  9 20:52:56 2018 UTC (0.001 )  Time stamp start 1525899176674767750 end 1525899176673767750  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:59 2018 UTC-Wed May  9 20:52:59 2018 UTC (0.001 )  Time stamp start 1525899179237196980 end 1525899179236196980  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:52:59 2018 UTC-Wed May  9 20:52:59 2018 UTC (0.001 )  Time stamp start 1525899179717469190 end 1525899179716469190  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:04 2018 UTC-Wed May  9 20:53:04 2018 UTC (0.001 )  Time stamp start 1525899184744945720 end 1525899184743945720  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:09 2018 UTC-Wed May  9 20:53:09 2018 UTC (0.001 )  Time stamp start 1525899189479000560 end 1525899189478000560  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:12 2018 UTC-Wed May  9 20:53:12 2018 UTC (0.001 )  Time stamp start 1525899192102970590 end 1525899192101970590  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:12 2018 UTC-Wed May  9 20:53:12 2018 UTC (0.001 )  Time stamp start 1525899192338672615 end 1525899192337672615  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:14 2018 UTC-Wed May  9 20:53:14 2018 UTC (0.001 )  Time stamp start 1525899194420758355 end 1525899194419758355  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:22 2018 UTC-Wed May  9 20:53:22 2018 UTC (0.001 )  Time stamp start 1525899202637006510 end 1525899202636006185  Run 349944, LB 245, lumi 19.16
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:26 2018 UTC-Wed May  9 20:53:26 2018 UTC (0.001 )  Time stamp start 1525899206406943640 end 1525899206405797530  Run 349944, LB 246, lumi 21.86
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:26 2018 UTC-Wed May  9 20:53:26 2018 UTC (0.001 )  Time stamp start 1525899206619586815 end 1525899206618586515  Run 349944, LB 246, lumi 19.08
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:28 2018 UTC-Wed May  9 20:53:28 2018 UTC (0.001 )  Time stamp start 1525899208784638900 end 1525899208783638900  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:33 2018 UTC-Wed May  9 20:53:33 2018 UTC (0.001 )  Time stamp start 1525899213068591470 end 1525899213067591295  Run 349944, LB 246, lumi 19.08
