Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309390 to 309390
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309390 to run 309390  lasting from Mon Sep 26 13:01:35 2016 UTC to Tue Sep 27 07:15:36 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:03 2016 UTC-Mon Sep 26 14:38:03 2016 UTC (0.011 )  Time stamp start 1474900683518138020 end 1474900683507592045  Run 309390, LB 102, lumi 118.11
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:07 2016 UTC-Mon Sep 26 14:38:07 2016 UTC (0.029 )  Time stamp start 1474900687565693890 end 1474900687536404620  Run 309390, LB 102, lumi 328.03
Event Veto ['NoiseBurst'], Mon Sep 26 14:38:12 2016 UTC-Mon Sep 26 14:38:12 2016 UTC (0.010 )  Time stamp start 1474900692977719085 end 1474900692967718710  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:15 2016 UTC-Mon Sep 26 14:38:15 2016 UTC (0.019 )  Time stamp start 1474900695108670710 end 1474900695089222315  Run 309390, LB 102, lumi 217.81
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:18 2016 UTC-Mon Sep 26 14:38:18 2016 UTC (0.010 )  Time stamp start 1474900698861185430 end 1474900698851185430  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:22 2016 UTC-Mon Sep 26 14:38:22 2016 UTC (0.010 )  Time stamp start 1474900702632988545 end 1474900702622988545  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:26 2016 UTC-Mon Sep 26 14:38:26 2016 UTC (0.010 )  Time stamp start 1474900706672381835 end 1474900706662381835  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:29 2016 UTC-Mon Sep 26 14:38:29 2016 UTC (0.010 )  Time stamp start 1474900709664716580 end 1474900709654716580  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:30 2016 UTC-Mon Sep 26 14:38:30 2016 UTC (0.010 )  Time stamp start 1474900710703888390 end 1474900710693888015  Run 309390, LB 102, lumi 112.00
Event Veto ['NoiseBurst'], Mon Sep 26 14:38:37 2016 UTC-Mon Sep 26 14:38:37 2016 UTC (0.010 )  Time stamp start 1474900717101611315 end 1474900717091611065  Run 309390, LB 102, lumi 112.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:38 2016 UTC-Mon Sep 26 14:38:38 2016 UTC (0.010 )  Time stamp start 1474900718572889890 end 1474900718562889890  Run 309390, LB 102, lumi 112.00
Event Veto ['NoiseBurst'], Mon Sep 26 14:38:43 2016 UTC-Mon Sep 26 14:38:43 2016 UTC (0.019 )  Time stamp start 1474900723754354405 end 1474900723735103120  Run 309390, LB 103, lumi 205.77
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:47 2016 UTC-Mon Sep 26 14:38:47 2016 UTC (0.010 )  Time stamp start 1474900727771276705 end 1474900727761276705  Run 309390, LB 103, lumi 106.88
