Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302831 to 302831
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302831 to run 302831  lasting from Sun Jun 26 04:30:12 2016 UTC to Sun Jun 26 06:30:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:56:30 2016 UTC-Sun Jun 26 04:56:30 2016 UTC (0.001 )  Time stamp start 1466916990746494095 end 1466916990745494095  Run 302831, LB 28, lumi 3.98
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:56:49 2016 UTC-Sun Jun 26 04:56:49 2016 UTC (0.001 )  Time stamp start 1466917009419367775 end 1466917009418367650  Run 302831, LB 29, lumi 3.98
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:57:09 2016 UTC-Sun Jun 26 04:57:09 2016 UTC (0.001 )  Time stamp start 1466917029329441665 end 1466917029328441115  Run 302831, LB 29, lumi 3.98
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:57:36 2016 UTC-Sun Jun 26 04:57:36 2016 UTC (0.001 )  Time stamp start 1466917056610853555 end 1466917056609853555  Run 302831, LB 29, lumi 3.98
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:57:50 2016 UTC-Sun Jun 26 04:57:50 2016 UTC (0.001 )  Time stamp start 1466917070236724825 end 1466917070235724825  Run 302831, LB 30, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:58:23 2016 UTC-Sun Jun 26 04:58:23 2016 UTC (0.001 )  Time stamp start 1466917103940080735 end 1466917103939080735  Run 302831, LB 30, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:58:35 2016 UTC-Sun Jun 26 04:58:35 2016 UTC (0.001 )  Time stamp start 1466917115649890460 end 1466917115648889085  Run 302831, LB 30, lumi 3.98
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:58:35 2016 UTC-Sun Jun 26 04:58:35 2016 UTC (0.001 )  Time stamp start 1466917115765531445 end 1466917115764531145  Run 302831, LB 30, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:59:35 2016 UTC-Sun Jun 26 04:59:35 2016 UTC (0.001 )  Time stamp start 1466917175927302150 end 1466917175926302150  Run 302831, LB 31, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:59:48 2016 UTC-Sun Jun 26 04:59:48 2016 UTC (0.001 )  Time stamp start 1466917188844748550 end 1466917188843747455  Run 302831, LB 32, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:00:02 2016 UTC-Sun Jun 26 05:00:02 2016 UTC (0.001 )  Time stamp start 1466917202553663565 end 1466917202552663565  Run 302831, LB 32, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:00:16 2016 UTC-Sun Jun 26 05:00:16 2016 UTC (0.001 )  Time stamp start 1466917216319318255 end 1466917216318318255  Run 302831, LB 32, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:00:43 2016 UTC-Sun Jun 26 05:00:43 2016 UTC (0.001 )  Time stamp start 1466917243579417450 end 1466917243578416950  Run 302831, LB 32, lumi 3.97
