Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335083 to 335083
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335083 to run 335083  lasting from Sat Sep  9 03:41:29 2017 UTC to Sat Sep  9 16:54:52 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:13:25 2017 UTC-Sat Sep  9 08:13:25 2017 UTC (0.001 )  Time stamp start 1504944805484570775 end 1504944805483570775  Run 335083, LB 288, lumi 9.65
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:13:41 2017 UTC-Sat Sep  9 08:13:41 2017 UTC (0.001 )  Time stamp start 1504944821214070060 end 1504944821213070060  Run 335083, LB 288, lumi 9.65
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:15:35 2017 UTC-Sat Sep  9 08:15:35 2017 UTC (0.001 )  Time stamp start 1504944935748405080 end 1504944935747405080  Run 335083, LB 290, lumi 9.63
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:15:44 2017 UTC-Sat Sep  9 08:15:44 2017 UTC (0.001 )  Time stamp start 1504944944900951305 end 1504944944899951305  Run 335083, LB 290, lumi 9.63
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:15:53 2017 UTC-Sat Sep  9 08:15:53 2017 UTC (0.001 )  Time stamp start 1504944953599591125 end 1504944953598591125  Run 335083, LB 290, lumi 9.63
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:16:18 2017 UTC-Sat Sep  9 08:16:18 2017 UTC (0.001 )  Time stamp start 1504944978684045895 end 1504944978683045895  Run 335083, LB 291, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:20:00 2017 UTC-Sat Sep  9 08:20:00 2017 UTC (0.001 )  Time stamp start 1504945200537086625 end 1504945200536086625  Run 335083, LB 294, lumi 9.57
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:22:48 2017 UTC-Sat Sep  9 08:22:48 2017 UTC (0.001 )  Time stamp start 1504945368921641810 end 1504945368920641810  Run 335083, LB 297, lumi 9.52
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:28:36 2017 UTC-Sat Sep  9 08:28:36 2017 UTC (0.001 )  Time stamp start 1504945716597424045 end 1504945716596424045  Run 335083, LB 303, lumi 9.51
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:32:20 2017 UTC-Sat Sep  9 08:32:20 2017 UTC (0.001 )  Time stamp start 1504945940163136005 end 1504945940162136005  Run 335083, LB 307, lumi 9.46
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:32:40 2017 UTC-Sat Sep  9 08:32:40 2017 UTC (0.001 )  Time stamp start 1504945960773959810 end 1504945960772959810  Run 335083, LB 307, lumi 9.46
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:32:43 2017 UTC-Sat Sep  9 08:32:43 2017 UTC (0.001 )  Time stamp start 1504945963689088040 end 1504945963688087090  Run 335083, LB 308, lumi 9.46
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:33:32 2017 UTC-Sat Sep  9 08:33:32 2017 UTC (0.001 )  Time stamp start 1504946012261960945 end 1504946012260960945  Run 335083, LB 308, lumi 9.45
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:35:37 2017 UTC-Sat Sep  9 08:35:37 2017 UTC (0.001 )  Time stamp start 1504946137735057855 end 1504946137734057855  Run 335083, LB 310, lumi 9.42
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:35:38 2017 UTC-Sat Sep  9 08:35:38 2017 UTC (0.001 )  Time stamp start 1504946138980042245 end 1504946138979042120  Run 335083, LB 310, lumi 9.42
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:35:40 2017 UTC-Sat Sep  9 08:35:40 2017 UTC (0.001 )  Time stamp start 1504946140469248515 end 1504946140468092895  Run 335083, LB 310, lumi 10.89
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:36:55 2017 UTC-Sat Sep  9 08:36:55 2017 UTC (0.001 )  Time stamp start 1504946215700522270 end 1504946215699522270  Run 335083, LB 312, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:37:17 2017 UTC-Sat Sep  9 08:37:17 2017 UTC (0.001 )  Time stamp start 1504946237353027400 end 1504946237352027400  Run 335083, LB 312, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:37:29 2017 UTC-Sat Sep  9 08:37:29 2017 UTC (0.001 )  Time stamp start 1504946249094198675 end 1504946249093198675  Run 335083, LB 312, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:09 2017 UTC-Sat Sep  9 08:38:09 2017 UTC (0.001 )  Time stamp start 1504946289027433895 end 1504946289026433895  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:10 2017 UTC-Sat Sep  9 08:38:10 2017 UTC (0.001 )  Time stamp start 1504946290465103835 end 1504946290464103835  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:11 2017 UTC-Sat Sep  9 08:38:11 2017 UTC (0.001 )  Time stamp start 1504946291614455835 end 1504946291613455835  Run 335083, LB 313, lumi 9.38
Event Veto ['DataCorruption'], Sat Sep  9 08:38:13 2017 UTC-Sat Sep  9 08:38:13 2017 UTC (0.500 )  Time stamp start 1504946293732264765 end 1504946293232186740  Run 335083, LB 313, lumi 4692.95
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:14 2017 UTC-Sat Sep  9 08:38:14 2017 UTC (0.001 )  Time stamp start 1504946294556504095 end 1504946294555503170  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:15 2017 UTC-Sat Sep  9 08:38:15 2017 UTC (0.001 )  Time stamp start 1504946295920779115 end 1504946295919779115  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:17 2017 UTC-Sat Sep  9 08:38:17 2017 UTC (0.001 )  Time stamp start 1504946297525444210 end 1504946297524444210  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:20 2017 UTC-Sat Sep  9 08:38:20 2017 UTC (0.001 )  Time stamp start 1504946300309319975 end 1504946300308319550  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:21 2017 UTC-Sat Sep  9 08:38:21 2017 UTC (0.001 )  Time stamp start 1504946301693433750 end 1504946301692432930  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:23 2017 UTC-Sat Sep  9 08:38:23 2017 UTC (0.001 )  Time stamp start 1504946303232155165 end 1504946303231155165  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:26 2017 UTC-Sat Sep  9 08:38:26 2017 UTC (0.001 )  Time stamp start 1504946306412162965 end 1504946306411162840  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:28 2017 UTC-Sat Sep  9 08:38:28 2017 UTC (0.001 )  Time stamp start 1504946308086217910 end 1504946308085217785  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:30 2017 UTC-Sat Sep  9 08:38:30 2017 UTC (0.001 )  Time stamp start 1504946310829834410 end 1504946310828834285  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:32 2017 UTC-Sat Sep  9 08:38:32 2017 UTC (0.001 )  Time stamp start 1504946312484345415 end 1504946312483345415  Run 335083, LB 313, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:34 2017 UTC-Sat Sep  9 08:38:34 2017 UTC (0.001 )  Time stamp start 1504946314396415150 end 1504946314395415150  Run 335083, LB 313, lumi 9.38
Event Veto ['DataCorruption'], Sat Sep  9 08:38:38 2017 UTC-Sat Sep  9 08:38:38 2017 UTC (0.500 )  Time stamp start 1504946318856804095 end 1504946318356315460  Run 335083, LB 313, lumi 4696.81
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:39 2017 UTC-Sat Sep  9 08:38:39 2017 UTC (0.001 )  Time stamp start 1504946319556873025 end 1504946319555872900  Run 335083, LB 313, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:49 2017 UTC-Sat Sep  9 08:38:49 2017 UTC (0.001 )  Time stamp start 1504946329207828195 end 1504946329206828195  Run 335083, LB 314, lumi 9.37
Event Veto ['NoiseBurst'], Sat Sep  9 08:38:49 2017 UTC-Sat Sep  9 08:38:49 2017 UTC (0.001 )  Time stamp start 1504946329477134625 end 1504946329476113220  Run 335083, LB 314, lumi 9.57
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:53 2017 UTC-Sat Sep  9 08:38:53 2017 UTC (0.001 )  Time stamp start 1504946333245589475 end 1504946333244589475  Run 335083, LB 314, lumi 9.37
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:38:56 2017 UTC-Sat Sep  9 08:38:56 2017 UTC (0.001 )  Time stamp start 1504946336128615935 end 1504946336127615660  Run 335083, LB 314, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:39:04 2017 UTC-Sat Sep  9 08:39:04 2017 UTC (0.001 )  Time stamp start 1504946344928622165 end 1504946344927622015  Run 335083, LB 314, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sat Sep  9 08:39:25 2017 UTC-Sat Sep  9 08:39:25 2017 UTC (0.001 )  Time stamp start 1504946365234141490 end 1504946365233141490  Run 335083, LB 314, lumi 9.37
