Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350067 to 350067
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350067 to run 350067  lasting from Fri May 11 15:39:44 2018 UTC to Fri May 11 22:05:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:46 2018 UTC-Fri May 11 17:07:46 2018 UTC (0.001 )  Time stamp start 1526058466934717515 end 1526058466933717390  Run 350067, LB 98, lumi 18.19
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:55 2018 UTC-Fri May 11 17:07:55 2018 UTC (0.001 )  Time stamp start 1526058475063549245 end 1526058475062549245  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:07:58 2018 UTC-Fri May 11 17:07:58 2018 UTC (0.001 )  Time stamp start 1526058478024328435 end 1526058478023328435  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:01 2018 UTC-Fri May 11 17:08:01 2018 UTC (0.001 )  Time stamp start 1526058481656519940 end 1526058481655519940  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:03 2018 UTC-Fri May 11 17:08:03 2018 UTC (0.001 )  Time stamp start 1526058483633146510 end 1526058483632146510  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:04 2018 UTC-Fri May 11 17:08:04 2018 UTC (0.001 )  Time stamp start 1526058484455108545 end 1526058484454108545  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:15 2018 UTC-Fri May 11 17:08:15 2018 UTC (0.001 )  Time stamp start 1526058495081664035 end 1526058495080664035  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:16 2018 UTC-Fri May 11 17:08:16 2018 UTC (0.001 )  Time stamp start 1526058496939307195 end 1526058496938307195  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:22 2018 UTC-Fri May 11 17:08:22 2018 UTC (0.001 )  Time stamp start 1526058502926362760 end 1526058502925362760  Run 350067, LB 99, lumi 18.16
Event Veto ['MiniNoiseBurst'], Fri May 11 17:08:47 2018 UTC-Fri May 11 17:08:47 2018 UTC (0.001 )  Time stamp start 1526058527333211445 end 1526058527331941775  Run 350067, LB 99, lumi 23.06
