Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349268 to 349268
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349268 to run 349268  lasting from Mon Apr 30 20:02:10 2018 UTC to Tue May  1 07:14:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:15 2018 UTC-Mon Apr 30 20:07:15 2018 UTC (0.001 )  Time stamp start 1525118835954317500 end 1525118835953317500  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:16 2018 UTC-Mon Apr 30 20:07:16 2018 UTC (0.001 )  Time stamp start 1525118836480171850 end 1525118836479171675  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:17 2018 UTC-Mon Apr 30 20:07:17 2018 UTC (0.001 )  Time stamp start 1525118837160406565 end 1525118837159406565  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:17 2018 UTC-Mon Apr 30 20:07:17 2018 UTC (0.001 )  Time stamp start 1525118837356780430 end 1525118837355780430  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:19 2018 UTC-Mon Apr 30 20:07:19 2018 UTC (0.001 )  Time stamp start 1525118839100460220 end 1525118839099460220  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:20 2018 UTC-Mon Apr 30 20:07:20 2018 UTC (0.001 )  Time stamp start 1525118840470571890 end 1525118840469571890  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:21 2018 UTC-Mon Apr 30 20:07:21 2018 UTC (0.001 )  Time stamp start 1525118841248268285 end 1525118841247268285  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:21 2018 UTC-Mon Apr 30 20:07:21 2018 UTC (0.001 )  Time stamp start 1525118841422103395 end 1525118841421103095  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:21 2018 UTC-Mon Apr 30 20:07:21 2018 UTC (0.001 )  Time stamp start 1525118841740869335 end 1525118841739869210  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:22 2018 UTC-Mon Apr 30 20:07:22 2018 UTC (0.001 )  Time stamp start 1525118842355927910 end 1525118842354927910  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:25 2018 UTC-Mon Apr 30 20:07:25 2018 UTC (0.001 )  Time stamp start 1525118845788631925 end 1525118845787631925  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:26 2018 UTC-Mon Apr 30 20:07:26 2018 UTC (0.001 )  Time stamp start 1525118846183430725 end 1525118846182430425  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:26 2018 UTC-Mon Apr 30 20:07:26 2018 UTC (0.001 )  Time stamp start 1525118846484317415 end 1525118846483317415  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:26 2018 UTC-Mon Apr 30 20:07:26 2018 UTC (0.001 )  Time stamp start 1525118846734427455 end 1525118846733427455  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:27 2018 UTC-Mon Apr 30 20:07:27 2018 UTC (0.001 )  Time stamp start 1525118847467095925 end 1525118847466095800  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:27 2018 UTC-Mon Apr 30 20:07:27 2018 UTC (0.001 )  Time stamp start 1525118847995493025 end 1525118847994493025  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:28 2018 UTC-Mon Apr 30 20:07:28 2018 UTC (0.001 )  Time stamp start 1525118848548240975 end 1525118848547240975  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:29 2018 UTC-Mon Apr 30 20:07:29 2018 UTC (0.001 )  Time stamp start 1525118849022292600 end 1525118849021292600  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:29 2018 UTC-Mon Apr 30 20:07:29 2018 UTC (0.001 )  Time stamp start 1525118849521439005 end 1525118849520439005  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:30 2018 UTC-Mon Apr 30 20:07:30 2018 UTC (0.002 )  Time stamp start 1525118850640839695 end 1525118850639321695  Run 349268, LB 9, lumi 17.05
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:31 2018 UTC-Mon Apr 30 20:07:31 2018 UTC (0.001 )  Time stamp start 1525118851359551795 end 1525118851358551795  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:32 2018 UTC-Mon Apr 30 20:07:32 2018 UTC (0.001 )  Time stamp start 1525118852169459595 end 1525118852168459420  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:32 2018 UTC-Mon Apr 30 20:07:32 2018 UTC (0.001 )  Time stamp start 1525118852834102720 end 1525118852833102720  Run 349268, LB 9, lumi 11.23
