Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310015 to 310015
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310015 to run 310015  lasting from Thu Oct  6 08:50:51 2016 UTC to Thu Oct  6 12:28:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:14 2016 UTC-Thu Oct  6 10:47:14 2016 UTC (0.010 )  Time stamp start 1475750834818616350 end 1475750834808616350  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:15 2016 UTC-Thu Oct  6 10:47:15 2016 UTC (0.010 )  Time stamp start 1475750835285524885 end 1475750835275524885  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:15 2016 UTC-Thu Oct  6 10:47:15 2016 UTC (0.010 )  Time stamp start 1475750835787064195 end 1475750835777064195  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:17 2016 UTC-Thu Oct  6 10:47:17 2016 UTC (0.010 )  Time stamp start 1475750837862773075 end 1475750837852773075  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:18 2016 UTC-Thu Oct  6 10:47:18 2016 UTC (0.010 )  Time stamp start 1475750838329680835 end 1475750838319680835  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:18 2016 UTC-Thu Oct  6 10:47:18 2016 UTC (0.013 )  Time stamp start 1475750838428082610 end 1475750838414953240  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:19 2016 UTC-Thu Oct  6 10:47:19 2016 UTC (0.017 )  Time stamp start 1475750839128048895 end 1475750839111397975  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:19 2016 UTC-Thu Oct  6 10:47:19 2016 UTC (0.010 )  Time stamp start 1475750839942381730 end 1475750839932381730  Run 310015, LB 121, lumi 0.00
Event Veto ['NoiseBurst'], Thu Oct  6 10:47:20 2016 UTC-Thu Oct  6 10:47:20 2016 UTC (0.010 )  Time stamp start 1475750840418959425 end 1475750840408825915  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:20 2016 UTC-Thu Oct  6 10:47:20 2016 UTC (0.010 )  Time stamp start 1475750840755348365 end 1475750840745348190  Run 310015, LB 121, lumi 0.00
