Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303499 to 303499
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303499 to run 303499  lasting from Fri Jul  8 13:21:38 2016 UTC to Sat Jul  9 12:38:34 2016 UTC
Event Veto ['DataCorruption'], Fri Jul  8 13:45:09 2016 UTC-Fri Jul  8 13:45:17 2016 UTC (7.695 )  Time stamp start 1467985517255558355 end 1467985509560577150  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:17 2016 UTC-Fri Jul  8 13:45:18 2016 UTC (1.238 )  Time stamp start 1467985518714125015 end 1467985517476337610  Run 303499, LB 27, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:18 2016 UTC-Fri Jul  8 13:45:23 2016 UTC (4.465 )  Time stamp start 1467985523224635055 end 1467985518760057520  Run 303499, LBs 27-28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:24 2016 UTC-Fri Jul  8 13:45:25 2016 UTC (1.065 )  Time stamp start 1467985525304225590 end 1467985524239074055  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:25 2016 UTC-Fri Jul  8 13:45:26 2016 UTC (1.054 )  Time stamp start 1467985526368195385 end 1467985525314051935  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:26 2016 UTC-Fri Jul  8 13:45:30 2016 UTC (3.568 )  Time stamp start 1467985530094913750 end 1467985526526855160  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:30 2016 UTC-Fri Jul  8 13:45:31 2016 UTC (1.570 )  Time stamp start 1467985531947475615 end 1467985530377924090  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:32 2016 UTC-Fri Jul  8 13:45:33 2016 UTC (1.172 )  Time stamp start 1467985533341811455 end 1467985532170001595  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:33 2016 UTC-Fri Jul  8 13:45:35 2016 UTC (1.773 )  Time stamp start 1467985535199177685 end 1467985533426457435  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:35 2016 UTC-Fri Jul  8 13:45:38 2016 UTC (2.969 )  Time stamp start 1467985538347210010 end 1467985535378521275  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:38 2016 UTC-Fri Jul  8 13:45:38 2016 UTC (0.558 )  Time stamp start 1467985538978040400 end 1467985538420401575  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:39 2016 UTC-Fri Jul  8 13:45:42 2016 UTC (3.181 )  Time stamp start 1467985542312240695 end 1467985539131464365  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:42 2016 UTC-Fri Jul  8 13:45:43 2016 UTC (0.850 )  Time stamp start 1467985543395301695 end 1467985542544998455  Run 303499, LB 28, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:45:43 2016 UTC-Fri Jul  8 13:45:46 2016 UTC (2.763 )  Time stamp start 1467985546431937400 end 1467985543668721375  Run 303499, LB 28, lumi 0.00
