Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331462 to 331462
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331462 to run 331462  lasting from Tue Aug  1 21:31:30 2017 UTC to Wed Aug  2 08:35:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:58:04 2017 UTC-Wed Aug  2 04:58:04 2017 UTC (0.001 )  Time stamp start 1501649884748969625 end 1501649884747969350  Run 331462, LB 461, lumi 15.51
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:58:38 2017 UTC-Wed Aug  2 04:58:38 2017 UTC (0.001 )  Time stamp start 1501649918409879130 end 1501649918408878630  Run 331462, LB 462, lumi 15.47
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:58:39 2017 UTC-Wed Aug  2 04:58:39 2017 UTC (0.001 )  Time stamp start 1501649919492879625 end 1501649919491879625  Run 331462, LB 462, lumi 15.46
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:59:46 2017 UTC-Wed Aug  2 04:59:46 2017 UTC (0.001 )  Time stamp start 1501649986159069620 end 1501649986158069620  Run 331462, LB 463, lumi 15.44
Event Veto ['NoiseBurst'], Wed Aug  2 04:59:56 2017 UTC-Wed Aug  2 04:59:56 2017 UTC (0.001 )  Time stamp start 1501649996820777985 end 1501649996819777860  Run 331462, LB 463, lumi 15.44
Event Veto ['NoiseBurst'], Wed Aug  2 05:01:27 2017 UTC-Wed Aug  2 05:01:27 2017 UTC (0.001 )  Time stamp start 1501650087999871000 end 1501650087998781180  Run 331462, LB 465, lumi 16.78
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:02:01 2017 UTC-Wed Aug  2 05:02:01 2017 UTC (0.001 )  Time stamp start 1501650121767419640 end 1501650121766419640  Run 331462, LB 465, lumi 15.40
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:02:07 2017 UTC-Wed Aug  2 05:02:07 2017 UTC (0.001 )  Time stamp start 1501650127913917100 end 1501650127912917100  Run 331462, LB 465, lumi 15.40
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:02:13 2017 UTC-Wed Aug  2 05:02:13 2017 UTC (0.001 )  Time stamp start 1501650133779762060 end 1501650133778762060  Run 331462, LB 465, lumi 15.40
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:02:19 2017 UTC-Wed Aug  2 05:02:19 2017 UTC (0.001 )  Time stamp start 1501650139591595005 end 1501650139590595005  Run 331462, LB 465, lumi 15.40
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:02:28 2017 UTC-Wed Aug  2 05:02:28 2017 UTC (0.001 )  Time stamp start 1501650148307275480 end 1501650148306275105  Run 331462, LB 466, lumi 15.38
Event Veto ['NoiseBurst'], Wed Aug  2 05:02:36 2017 UTC-Wed Aug  2 05:02:36 2017 UTC (0.001 )  Time stamp start 1501650156087684195 end 1501650156086683695  Run 331462, LB 466, lumi 15.39
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:03:24 2017 UTC-Wed Aug  2 05:03:24 2017 UTC (0.001 )  Time stamp start 1501650204090837125 end 1501650204089837125  Run 331462, LB 467, lumi 15.36
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:04:47 2017 UTC-Wed Aug  2 05:04:47 2017 UTC (0.001 )  Time stamp start 1501650287604037255 end 1501650287603037255  Run 331462, LB 468, lumi 15.31
Event Veto ['NoiseBurst'], Wed Aug  2 05:05:26 2017 UTC-Wed Aug  2 05:05:26 2017 UTC (0.001 )  Time stamp start 1501650326975654555 end 1501650326974653805  Run 331462, LB 469, lumi 15.31
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:05:49 2017 UTC-Wed Aug  2 05:05:49 2017 UTC (0.001 )  Time stamp start 1501650349750472120 end 1501650349749471745  Run 331462, LB 469, lumi 15.30
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:06:04 2017 UTC-Wed Aug  2 05:06:04 2017 UTC (0.001 )  Time stamp start 1501650364656235430 end 1501650364655235430  Run 331462, LB 469, lumi 15.30
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:07:37 2017 UTC-Wed Aug  2 05:07:37 2017 UTC (0.001 )  Time stamp start 1501650457003420030 end 1501650457002420030  Run 331462, LB 471, lumi 15.24
Event Veto ['NoiseBurst'], Wed Aug  2 05:08:00 2017 UTC-Wed Aug  2 05:08:00 2017 UTC (0.001 )  Time stamp start 1501650480081551540 end 1501650480080507575  Run 331462, LB 471, lumi 15.91
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:08:01 2017 UTC-Wed Aug  2 05:08:01 2017 UTC (0.001 )  Time stamp start 1501650481872161325 end 1501650481871161325  Run 331462, LB 471, lumi 15.24
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:08:16 2017 UTC-Wed Aug  2 05:08:16 2017 UTC (0.001 )  Time stamp start 1501650496059151495 end 1501650496058151495  Run 331462, LB 471, lumi 15.24
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:08:29 2017 UTC-Wed Aug  2 05:08:29 2017 UTC (0.001 )  Time stamp start 1501650509774451680 end 1501650509773451680  Run 331462, LB 472, lumi 15.20
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:08:52 2017 UTC-Wed Aug  2 05:08:52 2017 UTC (0.001 )  Time stamp start 1501650532473195345 end 1501650532472195345  Run 331462, LB 472, lumi 15.20
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:08:55 2017 UTC-Wed Aug  2 05:08:55 2017 UTC (0.001 )  Time stamp start 1501650535333066400 end 1501650535332066025  Run 331462, LB 472, lumi 15.20
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:09:17 2017 UTC-Wed Aug  2 05:09:17 2017 UTC (0.001 )  Time stamp start 1501650557834217500 end 1501650557833217500  Run 331462, LB 472, lumi 15.20
Event Veto ['NoiseBurst'], Wed Aug  2 05:09:24 2017 UTC-Wed Aug  2 05:09:24 2017 UTC (0.001 )  Time stamp start 1501650564217749435 end 1501650564216607315  Run 331462, LB 473, lumi 17.31
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:10:00 2017 UTC-Wed Aug  2 05:10:00 2017 UTC (0.001 )  Time stamp start 1501650600553498665 end 1501650600552133060  Run 331462, LB 473, lumi 20.70
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:10:29 2017 UTC-Wed Aug  2 05:10:29 2017 UTC (0.001 )  Time stamp start 1501650629788457620 end 1501650629787457620  Run 331462, LB 474, lumi 15.15
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:10:32 2017 UTC-Wed Aug  2 05:10:32 2017 UTC (0.001 )  Time stamp start 1501650632926076915 end 1501650632925076915  Run 331462, LB 474, lumi 15.15
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:11:17 2017 UTC-Wed Aug  2 05:11:17 2017 UTC (0.001 )  Time stamp start 1501650677711902755 end 1501650677710902755  Run 331462, LB 474, lumi 15.15
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:11:19 2017 UTC-Wed Aug  2 05:11:19 2017 UTC (0.001 )  Time stamp start 1501650679142551635 end 1501650679141551635  Run 331462, LB 474, lumi 15.15
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:11:59 2017 UTC-Wed Aug  2 05:11:59 2017 UTC (0.001 )  Time stamp start 1501650719758462105 end 1501650719757462105  Run 331462, LB 475, lumi 15.12
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:12:08 2017 UTC-Wed Aug  2 05:12:08 2017 UTC (0.001 )  Time stamp start 1501650728987527775 end 1501650728986527130  Run 331462, LB 475, lumi 15.13
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:12:47 2017 UTC-Wed Aug  2 05:12:47 2017 UTC (0.001 )  Time stamp start 1501650767071697865 end 1501650767070697865  Run 331462, LB 476, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:13:21 2017 UTC-Wed Aug  2 05:13:21 2017 UTC (0.001 )  Time stamp start 1501650801051266900 end 1501650801050266900  Run 331462, LB 477, lumi 15.03
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:13:42 2017 UTC-Wed Aug  2 05:13:42 2017 UTC (0.001 )  Time stamp start 1501650822138129275 end 1501650822137129275  Run 331462, LB 477, lumi 15.03
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:14:23 2017 UTC-Wed Aug  2 05:14:23 2017 UTC (0.001 )  Time stamp start 1501650863775871790 end 1501650863774871790  Run 331462, LB 478, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:15:04 2017 UTC-Wed Aug  2 05:15:04 2017 UTC (0.001 )  Time stamp start 1501650904951077995 end 1501650904950077995  Run 331462, LB 478, lumi 15.01
