Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['NoiseBurst'], Sun Jun 26 15:38:15 2016 UTC-Sun Jun 26 15:38:15 2016 UTC (0.010 )  Time stamp start 1466955495922168340 end 1466955495912167565  Run 302872, LB 181, lumi 103.66
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:38:48 2016 UTC-Sun Jun 26 15:38:48 2016 UTC (0.001 )  Time stamp start 1466955528003800920 end 1466955528002800920  Run 302872, LB 182, lumi 10.23
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:38:53 2016 UTC-Sun Jun 26 15:38:53 2016 UTC (0.001 )  Time stamp start 1466955533922991675 end 1466955533921991675  Run 302872, LB 182, lumi 10.23
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:04 2016 UTC-Sun Jun 26 15:39:04 2016 UTC (0.001 )  Time stamp start 1466955544279443845 end 1466955544278443470  Run 302872, LB 182, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:07 2016 UTC-Sun Jun 26 15:39:07 2016 UTC (0.001 )  Time stamp start 1466955547559882495 end 1466955547558881575  Run 302872, LB 182, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:16 2016 UTC-Sun Jun 26 15:39:16 2016 UTC (0.001 )  Time stamp start 1466955556013152670 end 1466955556012152295  Run 302872, LB 182, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:31 2016 UTC-Sun Jun 26 15:39:31 2016 UTC (0.001 )  Time stamp start 1466955571728120510 end 1466955571727120015  Run 302872, LB 182, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:37 2016 UTC-Sun Jun 26 15:39:37 2016 UTC (0.001 )  Time stamp start 1466955577644625645 end 1466955577643625645  Run 302872, LB 182, lumi 10.23
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:43 2016 UTC-Sun Jun 26 15:39:43 2016 UTC (0.001 )  Time stamp start 1466955583542111605 end 1466955583541111105  Run 302872, LB 182, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:47 2016 UTC-Sun Jun 26 15:39:47 2016 UTC (0.001 )  Time stamp start 1466955587993731770 end 1466955587992730600  Run 302872, LB 183, lumi 10.05
