Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307861 to 307861
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307861 to run 307861  lasting from Mon Sep  5 18:26:18 2016 UTC to Tue Sep  6 07:15:16 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:26:05 2016 UTC-Mon Sep  5 20:26:05 2016 UTC (0.010 )  Time stamp start 1473107165161032585 end 1473107165151032585  Run 307861, LB 128, lumi 113.58
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:26:40 2016 UTC-Mon Sep  5 20:26:40 2016 UTC (0.010 )  Time stamp start 1473107200993776660 end 1473107200983776660  Run 307861, LB 129, lumi 113.12
Event Veto ['NoiseBurst'], Mon Sep  5 20:26:57 2016 UTC-Mon Sep  5 20:26:57 2016 UTC (0.010 )  Time stamp start 1473107217566361070 end 1473107217556360820  Run 307861, LB 129, lumi 113.12
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:28:12 2016 UTC-Mon Sep  5 20:28:12 2016 UTC (0.010 )  Time stamp start 1473107292827178395 end 1473107292817178395  Run 307861, LB 131, lumi 112.90
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:29:35 2016 UTC-Mon Sep  5 20:29:35 2016 UTC (0.010 )  Time stamp start 1473107375120393115 end 1473107375110393115  Run 307861, LB 132, lumi 112.55
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:29:55 2016 UTC-Mon Sep  5 20:29:55 2016 UTC (0.010 )  Time stamp start 1473107395020838040 end 1473107395010838040  Run 307861, LB 133, lumi 112.30
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:30:08 2016 UTC-Mon Sep  5 20:30:08 2016 UTC (0.010 )  Time stamp start 1473107408599619605 end 1473107408589619605  Run 307861, LB 133, lumi 112.30
Event Veto ['NoiseBurst'], Mon Sep  5 20:30:15 2016 UTC-Mon Sep  5 20:30:15 2016 UTC (0.010 )  Time stamp start 1473107415194438420 end 1473107415184259475  Run 307861, LB 133, lumi 114.31
Event Veto ['NoiseBurst'], Mon Sep  5 20:30:25 2016 UTC-Mon Sep  5 20:30:25 2016 UTC (0.010 )  Time stamp start 1473107425805409555 end 1473107425795176785  Run 307861, LB 133, lumi 114.92
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:30:29 2016 UTC-Mon Sep  5 20:30:29 2016 UTC (0.017 )  Time stamp start 1473107429288542985 end 1473107429271286010  Run 307861, LB 133, lumi 193.80
