Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337107 to 337107
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337107 to run 337107  lasting from Tue Oct  3 10:22:14 2017 UTC to Tue Oct  3 22:23:08 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:48 2017 UTC-Tue Oct  3 11:47:48 2017 UTC (0.001 )  Time stamp start 1507031268592877520 end 1507031268591877520  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:54 2017 UTC-Tue Oct  3 11:47:54 2017 UTC (0.001 )  Time stamp start 1507031274120969830 end 1507031274119969830  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:47:55 2017 UTC-Tue Oct  3 11:47:55 2017 UTC (0.001 )  Time stamp start 1507031275479345370 end 1507031275478345370  Run 337107, LB 92, lumi 16.88
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:48:05 2017 UTC-Tue Oct  3 11:48:05 2017 UTC (0.001 )  Time stamp start 1507031285043852175 end 1507031285042852175  Run 337107, LB 92, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:48:09 2017 UTC-Tue Oct  3 11:48:09 2017 UTC (0.001 )  Time stamp start 1507031289851162025 end 1507031289850162025  Run 337107, LB 93, lumi 16.87
Event Veto ['NoiseBurst'], Tue Oct  3 11:48:18 2017 UTC-Tue Oct  3 11:48:18 2017 UTC (0.001 )  Time stamp start 1507031298299373180 end 1507031298298373055  Run 337107, LB 93, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:48:25 2017 UTC-Tue Oct  3 11:48:25 2017 UTC (0.001 )  Time stamp start 1507031305725631895 end 1507031305724631895  Run 337107, LB 93, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:48:31 2017 UTC-Tue Oct  3 11:48:31 2017 UTC (0.001 )  Time stamp start 1507031311121024495 end 1507031311120024495  Run 337107, LB 93, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:48:37 2017 UTC-Tue Oct  3 11:48:37 2017 UTC (0.001 )  Time stamp start 1507031317816936610 end 1507031317815936610  Run 337107, LB 93, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:22 2017 UTC-Tue Oct  3 11:49:22 2017 UTC (0.001 )  Time stamp start 1507031362862216445 end 1507031362861216445  Run 337107, LB 94, lumi 16.86
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:25 2017 UTC-Tue Oct  3 11:49:25 2017 UTC (0.001 )  Time stamp start 1507031365998842470 end 1507031365997842470  Run 337107, LB 94, lumi 16.86
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:26 2017 UTC-Tue Oct  3 11:49:26 2017 UTC (0.001 )  Time stamp start 1507031366932476650 end 1507031366931476650  Run 337107, LB 94, lumi 16.86
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:41 2017 UTC-Tue Oct  3 11:49:41 2017 UTC (0.001 )  Time stamp start 1507031381746304365 end 1507031381745303095  Run 337107, LB 94, lumi 16.88
