Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 18 00:33:30 2018 UTC-Fri May 18 00:33:30 2018 UTC (0.001 )  Time stamp start 1526603610832042295 end 1526603610831042295  Run 350531, LB 80, lumi 18.88
Event Veto ['MiniNoiseBurst'], Fri May 18 00:34:39 2018 UTC-Fri May 18 00:34:39 2018 UTC (0.001 )  Time stamp start 1526603679227348435 end 1526603679226348435  Run 350531, LB 82, lumi 18.85
Event Veto ['MiniNoiseBurst'], Fri May 18 00:34:39 2018 UTC-Fri May 18 00:34:39 2018 UTC (0.001 )  Time stamp start 1526603679272492330 end 1526603679271492330  Run 350531, LB 82, lumi 18.85
Event Veto ['NoiseBurst'], Fri May 18 00:34:53 2018 UTC-Fri May 18 00:34:53 2018 UTC (0.001 )  Time stamp start 1526603693033852415 end 1526603693032786520  Run 350531, LB 82, lumi 20.09
Event Veto ['MiniNoiseBurst'], Fri May 18 00:34:53 2018 UTC-Fri May 18 00:34:53 2018 UTC (0.002 )  Time stamp start 1526603693558490750 end 1526603693556868430  Run 350531, LB 82, lumi 30.58
Event Veto ['MiniNoiseBurst'], Fri May 18 00:35:11 2018 UTC-Fri May 18 00:35:11 2018 UTC (0.001 )  Time stamp start 1526603711676834585 end 1526603711675834585  Run 350531, LB 82, lumi 18.85
Event Veto ['MiniNoiseBurst'], Fri May 18 00:35:47 2018 UTC-Fri May 18 00:35:47 2018 UTC (0.001 )  Time stamp start 1526603747147786500 end 1526603747146786500  Run 350531, LB 83, lumi 18.83
Event Veto ['MiniNoiseBurst'], Fri May 18 00:35:53 2018 UTC-Fri May 18 00:35:53 2018 UTC (0.001 )  Time stamp start 1526603753701979605 end 1526603753700979605  Run 350531, LB 83, lumi 18.83
Event Veto ['NoiseBurst'], Fri May 18 00:36:09 2018 UTC-Fri May 18 00:36:09 2018 UTC (0.002 )  Time stamp start 1526603769543537120 end 1526603769541157265  Run 350531, LB 84, lumi 44.77
Event Veto ['NoiseBurst'], Fri May 18 00:36:09 2018 UTC-Fri May 18 00:36:09 2018 UTC (0.002 )  Time stamp start 1526603769545695330 end 1526603769544034210  Run 350531, LB 84, lumi 31.25
