Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305618 to 305618
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305618 to run 305618  lasting from Thu Aug  4 20:15:58 2016 UTC to Fri Aug  5 12:21:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:32:18 2016 UTC-Thu Aug  4 23:32:18 2016 UTC (0.001 )  Time stamp start 1470353538979840685 end 1470353538978840685  Run 305618, LB 199, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:32:39 2016 UTC-Thu Aug  4 23:32:39 2016 UTC (0.001 )  Time stamp start 1470353559423636485 end 1470353559422635460  Run 305618, LB 200, lumi 9.60
Event Veto ['NoiseBurst'], Thu Aug  4 23:32:40 2016 UTC-Thu Aug  4 23:32:40 2016 UTC (0.017 )  Time stamp start 1470353560348414585 end 1470353560331151275  Run 305618, LB 200, lumi 165.63
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:32:59 2016 UTC-Thu Aug  4 23:32:59 2016 UTC (0.001 )  Time stamp start 1470353579042695805 end 1470353579041695805  Run 305618, LB 200, lumi 9.59
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:33:03 2016 UTC-Thu Aug  4 23:33:03 2016 UTC (0.001 )  Time stamp start 1470353583937149590 end 1470353583936149340  Run 305618, LB 200, lumi 9.60
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:33:13 2016 UTC-Thu Aug  4 23:33:13 2016 UTC (0.001 )  Time stamp start 1470353593393853110 end 1470353593392853110  Run 305618, LB 200, lumi 9.59
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:33:47 2016 UTC-Thu Aug  4 23:33:47 2016 UTC (0.001 )  Time stamp start 1470353627794733650 end 1470353627793733650  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:33:52 2016 UTC-Thu Aug  4 23:33:52 2016 UTC (0.001 )  Time stamp start 1470353632787941220 end 1470353632786940845  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:33:57 2016 UTC-Thu Aug  4 23:33:57 2016 UTC (0.001 )  Time stamp start 1470353637592695375 end 1470353637591695375  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:34:11 2016 UTC-Thu Aug  4 23:34:11 2016 UTC (0.001 )  Time stamp start 1470353651086300290 end 1470353651085300165  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:34:30 2016 UTC-Thu Aug  4 23:34:30 2016 UTC (0.001 )  Time stamp start 1470353670632715085 end 1470353670631714810  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:34:40 2016 UTC-Thu Aug  4 23:34:40 2016 UTC (0.001 )  Time stamp start 1470353680365920680 end 1470353680364920680  Run 305618, LB 202, lumi 9.57
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:34:50 2016 UTC-Thu Aug  4 23:34:50 2016 UTC (0.001 )  Time stamp start 1470353690309333445 end 1470353690308333445  Run 305618, LB 203, lumi 9.55
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:03 2016 UTC-Thu Aug  4 23:35:03 2016 UTC (0.001 )  Time stamp start 1470353703447554590 end 1470353703446554590  Run 305618, LB 203, lumi 9.55
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:13 2016 UTC-Thu Aug  4 23:35:13 2016 UTC (0.001 )  Time stamp start 1470353713772241280 end 1470353713771241280  Run 305618, LB 203, lumi 9.55
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:27 2016 UTC-Thu Aug  4 23:35:27 2016 UTC (0.001 )  Time stamp start 1470353727993040600 end 1470353727992040600  Run 305618, LB 203, lumi 9.55
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:34 2016 UTC-Thu Aug  4 23:35:34 2016 UTC (0.001 )  Time stamp start 1470353734853191425 end 1470353734852191425  Run 305618, LB 203, lumi 9.55
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:42 2016 UTC-Thu Aug  4 23:35:42 2016 UTC (0.001 )  Time stamp start 1470353742214660055 end 1470353742213659805  Run 305618, LB 204, lumi 9.53
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:35:47 2016 UTC-Thu Aug  4 23:35:47 2016 UTC (0.001 )  Time stamp start 1470353747276264215 end 1470353747275264215  Run 305618, LB 204, lumi 9.53
