Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349327 to 349327
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349327 to run 349327  lasting from Tue May  1 23:00:17 2018 UTC to Wed May  2 06:30:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 04:21:31 2018 UTC-Wed May  2 04:21:31 2018 UTC (0.001 )  Time stamp start 1525234891425389450 end 1525234891424389450  Run 349327, LB 331, lumi 14.94
Event Veto ['NoiseBurst'], Wed May  2 04:22:26 2018 UTC-Wed May  2 04:22:26 2018 UTC (0.002 )  Time stamp start 1525234946508065900 end 1525234946506430630  Run 349327, LB 333, lumi 24.33
Event Veto ['NoiseBurst'], Wed May  2 04:23:07 2018 UTC-Wed May  2 04:23:07 2018 UTC (0.001 )  Time stamp start 1525234987319850680 end 1525234987318832165  Run 349327, LB 333, lumi 15.15
Event Veto ['MiniNoiseBurst'], Wed May  2 04:23:23 2018 UTC-Wed May  2 04:23:23 2018 UTC (0.001 )  Time stamp start 1525235003319642340 end 1525235003318642340  Run 349327, LB 334, lumi 14.82
Event Veto ['MiniNoiseBurst'], Wed May  2 04:23:31 2018 UTC-Wed May  2 04:23:31 2018 UTC (0.001 )  Time stamp start 1525235011867186300 end 1525235011866186300  Run 349327, LB 334, lumi 14.82
Event Veto ['MiniNoiseBurst'], Wed May  2 04:23:53 2018 UTC-Wed May  2 04:23:53 2018 UTC (0.001 )  Time stamp start 1525235033018788640 end 1525235033017788640  Run 349327, LB 334, lumi 14.82
Event Veto ['MiniNoiseBurst'], Wed May  2 04:24:00 2018 UTC-Wed May  2 04:24:00 2018 UTC (0.001 )  Time stamp start 1525235040875344290 end 1525235040874344290  Run 349327, LB 334, lumi 14.82
Event Veto ['MiniNoiseBurst'], Wed May  2 04:24:04 2018 UTC-Wed May  2 04:24:04 2018 UTC (0.001 )  Time stamp start 1525235044203800680 end 1525235044202800680  Run 349327, LB 335, lumi 14.74
Event Veto ['NoiseBurst'], Wed May  2 04:24:41 2018 UTC-Wed May  2 04:24:41 2018 UTC (0.001 )  Time stamp start 1525235081910353240 end 1525235081909334725  Run 349327, LB 335, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed May  2 04:24:43 2018 UTC-Wed May  2 04:24:43 2018 UTC (0.001 )  Time stamp start 1525235083991221475 end 1525235083990221475  Run 349327, LB 335, lumi 14.74
Event Veto ['MiniNoiseBurst'], Wed May  2 04:25:06 2018 UTC-Wed May  2 04:25:06 2018 UTC (0.001 )  Time stamp start 1525235106921400455 end 1525235106920400455  Run 349327, LB 336, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 04:25:29 2018 UTC-Wed May  2 04:25:29 2018 UTC (0.001 )  Time stamp start 1525235129504571505 end 1525235129503571505  Run 349327, LB 336, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 04:25:59 2018 UTC-Wed May  2 04:25:59 2018 UTC (0.001 )  Time stamp start 1525235159256929415 end 1525235159255929415  Run 349327, LB 336, lumi 14.68
Event Veto ['NoiseBurst'], Wed May  2 04:26:29 2018 UTC-Wed May  2 04:26:29 2018 UTC (0.001 )  Time stamp start 1525235189695283725 end 1525235189694283100  Run 349327, LB 337, lumi 14.63
Event Veto ['MiniNoiseBurst'], Wed May  2 04:26:52 2018 UTC-Wed May  2 04:26:52 2018 UTC (0.001 )  Time stamp start 1525235212196420290 end 1525235212195420290  Run 349327, LB 337, lumi 14.62
Event Veto ['NoiseBurst'], Wed May  2 04:27:25 2018 UTC-Wed May  2 04:27:25 2018 UTC (0.001 )  Time stamp start 1525235245498552755 end 1525235245497552505  Run 349327, LB 339, lumi 14.44
Event Veto ['MiniNoiseBurst'], Wed May  2 04:28:30 2018 UTC-Wed May  2 04:28:30 2018 UTC (0.001 )  Time stamp start 1525235310496025385 end 1525235310495025385  Run 349327, LB 340, lumi 14.38
Event Veto ['MiniNoiseBurst'], Wed May  2 04:29:20 2018 UTC-Wed May  2 04:29:20 2018 UTC (0.001 )  Time stamp start 1525235360371225600 end 1525235360370225600  Run 349327, LB 341, lumi 14.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:29:46 2018 UTC-Wed May  2 04:29:46 2018 UTC (0.001 )  Time stamp start 1525235386312877805 end 1525235386311877805  Run 349327, LB 341, lumi 14.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:29:47 2018 UTC-Wed May  2 04:29:47 2018 UTC (0.001 )  Time stamp start 1525235387143349700 end 1525235387142349700  Run 349327, LB 341, lumi 14.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:29:53 2018 UTC-Wed May  2 04:29:53 2018 UTC (0.001 )  Time stamp start 1525235393463051510 end 1525235393462051510  Run 349327, LB 341, lumi 14.34
Event Veto ['MiniNoiseBurst'], Wed May  2 04:30:05 2018 UTC-Wed May  2 04:30:05 2018 UTC (0.001 )  Time stamp start 1525235405645542635 end 1525235405644542635  Run 349327, LB 341, lumi 14.34
