Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355273 to 355273
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355273 to run 355273  lasting from Sun Jul  8 18:03:20 2018 UTC to Mon Jul  9 02:08:27 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:07:27 2018 UTC-Sun Jul  8 21:07:27 2018 UTC (0.001 )  Time stamp start 1531084047476315105 end 1531084047475315105  Run 355273, LB 260, lumi 16.38
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:07:37 2018 UTC-Sun Jul  8 21:07:37 2018 UTC (0.001 )  Time stamp start 1531084057264907430 end 1531084057263907430  Run 355273, LB 261, lumi 16.33
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:07:46 2018 UTC-Sun Jul  8 21:07:46 2018 UTC (0.001 )  Time stamp start 1531084066126438925 end 1531084066125438925  Run 355273, LB 261, lumi 16.33
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:08:11 2018 UTC-Sun Jul  8 21:08:11 2018 UTC (0.001 )  Time stamp start 1531084091706054760 end 1531084091705054760  Run 355273, LB 261, lumi 16.33
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:08:59 2018 UTC-Sun Jul  8 21:08:59 2018 UTC (0.001 )  Time stamp start 1531084139972210790 end 1531084139971210790  Run 355273, LB 262, lumi 16.29
Event Veto ['NoiseBurst'], Sun Jul  8 21:09:17 2018 UTC-Sun Jul  8 21:09:17 2018 UTC (0.001 )  Time stamp start 1531084157134506165 end 1531084157133505795  Run 355273, LB 262, lumi 16.29
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:09:18 2018 UTC-Sun Jul  8 21:09:18 2018 UTC (0.001 )  Time stamp start 1531084158310705840 end 1531084158309705840  Run 355273, LB 262, lumi 16.29
Event Veto ['NoiseBurst'], Sun Jul  8 21:09:57 2018 UTC-Sun Jul  8 21:09:57 2018 UTC (0.001 )  Time stamp start 1531084197106698445 end 1531084197105636870  Run 355273, LB 263, lumi 17.25
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:10:27 2018 UTC-Sun Jul  8 21:10:27 2018 UTC (0.001 )  Time stamp start 1531084227199511050 end 1531084227198511050  Run 355273, LB 263, lumi 16.25
Event Veto ['NoiseBurst'], Sun Jul  8 21:10:42 2018 UTC-Sun Jul  8 21:10:42 2018 UTC (0.001 )  Time stamp start 1531084242551584230 end 1531084242550421600  Run 355273, LB 264, lumi 18.82
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:10:51 2018 UTC-Sun Jul  8 21:10:51 2018 UTC (0.001 )  Time stamp start 1531084251240188765 end 1531084251239188765  Run 355273, LB 264, lumi 16.19
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:11:00 2018 UTC-Sun Jul  8 21:11:00 2018 UTC (0.001 )  Time stamp start 1531084260245444485 end 1531084260244444485  Run 355273, LB 264, lumi 16.19
Event Veto ['NoiseBurst'], Sun Jul  8 21:11:09 2018 UTC-Sun Jul  8 21:11:09 2018 UTC (0.001 )  Time stamp start 1531084269526203900 end 1531084269525081040  Run 355273, LB 264, lumi 18.18
