Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359872 to 359872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359872 to run 359872  lasting from Tue Sep  4 05:16:22 2018 UTC to Tue Sep  4 18:30:31 2018 UTC
Event Veto ['NoiseBurst'], Tue Sep  4 06:43:33 2018 UTC-Tue Sep  4 06:43:33 2018 UTC (0.001 )  Time stamp start 1536043413610460700 end 1536043413609460200  Run 359872, LB 93, lumi 18.16
Event Veto ['NoiseBurst'], Tue Sep  4 06:45:58 2018 UTC-Tue Sep  4 06:45:58 2018 UTC (0.001 )  Time stamp start 1536043558665269955 end 1536043558664269585  Run 359872, LB 96, lumi 18.02
Event Veto ['NoiseBurst'], Tue Sep  4 06:46:19 2018 UTC-Tue Sep  4 06:46:19 2018 UTC (0.002 )  Time stamp start 1536043579990367655 end 1536043579988476490  Run 359872, LB 96, lumi 34.07
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:48:18 2018 UTC-Tue Sep  4 06:48:18 2018 UTC (0.001 )  Time stamp start 1536043698550540645 end 1536043698549540645  Run 359872, LB 98, lumi 17.89
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:52:04 2018 UTC-Tue Sep  4 06:52:04 2018 UTC (0.001 )  Time stamp start 1536043924845967610 end 1536043924844967610  Run 359872, LB 102, lumi 16.62
Event Veto ['NoiseBurst'], Tue Sep  4 06:52:06 2018 UTC-Tue Sep  4 06:52:06 2018 UTC (0.001 )  Time stamp start 1536043926160319320 end 1536043926159318445  Run 359872, LB 102, lumi 16.63
Event Veto ['NoiseBurst'], Tue Sep  4 06:52:28 2018 UTC-Tue Sep  4 06:52:28 2018 UTC (0.001 )  Time stamp start 1536043948884932595 end 1536043948883931970  Run 359872, LB 102, lumi 16.63
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:53:09 2018 UTC-Tue Sep  4 06:53:09 2018 UTC (0.001 )  Time stamp start 1536043989383193815 end 1536043989382193815  Run 359872, LB 103, lumi 17.96
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:55:21 2018 UTC-Tue Sep  4 06:55:21 2018 UTC (0.001 )  Time stamp start 1536044121051742665 end 1536044121050742665  Run 359872, LB 105, lumi 17.99
Event Veto ['NoiseBurst'], Tue Sep  4 06:58:18 2018 UTC-Tue Sep  4 06:58:18 2018 UTC (0.001 )  Time stamp start 1536044298154683450 end 1536044298153683325  Run 359872, LB 108, lumi 17.93
