Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349526 to 349526
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349526 to run 349526  lasting from Fri May  4 18:22:56 2018 UTC to Sat May  5 02:45:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:28 2018 UTC-Fri May  4 19:35:28 2018 UTC (0.001 )  Time stamp start 1525462528393664585 end 1525462528392664585  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:30 2018 UTC-Fri May  4 19:35:30 2018 UTC (0.001 )  Time stamp start 1525462530022247485 end 1525462530021247485  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:31 2018 UTC-Fri May  4 19:35:31 2018 UTC (0.001 )  Time stamp start 1525462531899396705 end 1525462531898396705  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:32 2018 UTC-Fri May  4 19:35:32 2018 UTC (0.001 )  Time stamp start 1525462532270325335 end 1525462532269325335  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:33 2018 UTC-Fri May  4 19:35:33 2018 UTC (0.001 )  Time stamp start 1525462533390665535 end 1525462533389665535  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:35 2018 UTC-Fri May  4 19:35:35 2018 UTC (0.001 )  Time stamp start 1525462535634497840 end 1525462535633497840  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:35:54 2018 UTC-Fri May  4 19:35:54 2018 UTC (0.001 )  Time stamp start 1525462554482733770 end 1525462554481733770  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:03 2018 UTC-Fri May  4 19:36:03 2018 UTC (0.001 )  Time stamp start 1525462563095380950 end 1525462563094380950  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:04 2018 UTC-Fri May  4 19:36:04 2018 UTC (0.001 )  Time stamp start 1525462564744439875 end 1525462564743439875  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:08 2018 UTC-Fri May  4 19:36:08 2018 UTC (0.001 )  Time stamp start 1525462568508241270 end 1525462568507241270  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:12 2018 UTC-Fri May  4 19:36:12 2018 UTC (0.001 )  Time stamp start 1525462572610738585 end 1525462572609738585  Run 349526, LB 85, lumi 20.36
Event Veto ['NoiseBurst'], Fri May  4 19:36:14 2018 UTC-Fri May  4 19:36:14 2018 UTC (0.001 )  Time stamp start 1525462574867379800 end 1525462574866378830  Run 349526, LB 85, lumi 20.38
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:15 2018 UTC-Fri May  4 19:36:15 2018 UTC (0.001 )  Time stamp start 1525462575661424250 end 1525462575660424250  Run 349526, LB 85, lumi 20.36
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:50 2018 UTC-Fri May  4 19:36:50 2018 UTC (0.001 )  Time stamp start 1525462610796914965 end 1525462610795914965  Run 349526, LB 86, lumi 20.28
Event Veto ['MiniNoiseBurst'], Fri May  4 19:36:56 2018 UTC-Fri May  4 19:36:56 2018 UTC (0.001 )  Time stamp start 1525462616834108955 end 1525462616833108955  Run 349526, LB 86, lumi 20.28
Event Veto ['MiniNoiseBurst'], Fri May  4 19:37:03 2018 UTC-Fri May  4 19:37:03 2018 UTC (0.001 )  Time stamp start 1525462623337987190 end 1525462623336987190  Run 349526, LB 86, lumi 20.28
Event Veto ['MiniNoiseBurst'], Fri May  4 19:37:19 2018 UTC-Fri May  4 19:37:19 2018 UTC (0.001 )  Time stamp start 1525462639674593740 end 1525462639673593740  Run 349526, LB 86, lumi 20.28
Event Veto ['MiniNoiseBurst'], Fri May  4 19:37:21 2018 UTC-Fri May  4 19:37:21 2018 UTC (0.001 )  Time stamp start 1525462641053264180 end 1525462641052264180  Run 349526, LB 86, lumi 20.28
Event Veto ['MiniNoiseBurst'], Fri May  4 19:37:28 2018 UTC-Fri May  4 19:37:28 2018 UTC (0.001 )  Time stamp start 1525462648437571690 end 1525462648436571390  Run 349526, LB 87, lumi 20.23
Event Veto ['MiniNoiseBurst'], Fri May  4 19:37:35 2018 UTC-Fri May  4 19:37:35 2018 UTC (0.001 )  Time stamp start 1525462655236918970 end 1525462655235918970  Run 349526, LB 87, lumi 20.22
Event Veto ['MiniNoiseBurst'], Fri May  4 19:38:03 2018 UTC-Fri May  4 19:38:03 2018 UTC (0.001 )  Time stamp start 1525462683110323335 end 1525462683109323335  Run 349526, LB 87, lumi 20.22
