Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:34 2018 UTC-Sat May 12 03:00:34 2018 UTC (0.001 )  Time stamp start 1526094034197542805 end 1526094034196542805  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:35 2018 UTC-Sat May 12 03:00:35 2018 UTC (0.001 )  Time stamp start 1526094035805942040 end 1526094035804942040  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:40 2018 UTC-Sat May 12 03:00:40 2018 UTC (0.001 )  Time stamp start 1526094040421739780 end 1526094040420739780  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:46 2018 UTC-Sat May 12 03:00:46 2018 UTC (0.001 )  Time stamp start 1526094046356691480 end 1526094046355691480  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:49 2018 UTC-Sat May 12 03:00:49 2018 UTC (0.001 )  Time stamp start 1526094049678275745 end 1526094049677275745  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:53 2018 UTC-Sat May 12 03:00:53 2018 UTC (0.001 )  Time stamp start 1526094053557549390 end 1526094053556549390  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:00:58 2018 UTC-Sat May 12 03:00:58 2018 UTC (0.001 )  Time stamp start 1526094058743804575 end 1526094058742804575  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:01:17 2018 UTC-Sat May 12 03:01:17 2018 UTC (0.001 )  Time stamp start 1526094077294938255 end 1526094077293938255  Run 350121, LB 69, lumi 19.78
Event Veto ['MiniNoiseBurst'], Sat May 12 03:01:52 2018 UTC-Sat May 12 03:01:52 2018 UTC (0.001 )  Time stamp start 1526094112070412195 end 1526094112069412195  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:01:53 2018 UTC-Sat May 12 03:01:53 2018 UTC (0.001 )  Time stamp start 1526094113632264580 end 1526094113631264580  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:02 2018 UTC-Sat May 12 03:02:02 2018 UTC (0.001 )  Time stamp start 1526094122389496870 end 1526094122388496870  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:11 2018 UTC-Sat May 12 03:02:11 2018 UTC (0.001 )  Time stamp start 1526094131431135865 end 1526094131430135865  Run 350121, LB 70, lumi 19.71
