Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331975 to 331975
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331975 to run 331975  lasting from Wed Aug  9 03:25:56 2017 UTC to Wed Aug  9 19:24:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:13 2017 UTC-Wed Aug  9 04:48:13 2017 UTC (0.001 )  Time stamp start 1502254093356925570 end 1502254093355925445  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:17 2017 UTC-Wed Aug  9 04:48:17 2017 UTC (0.001 )  Time stamp start 1502254097164745410 end 1502254097163745285  Run 331975, LB 89, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:19 2017 UTC-Wed Aug  9 04:48:19 2017 UTC (0.001 )  Time stamp start 1502254099045184145 end 1502254099044183570  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:21 2017 UTC-Wed Aug  9 04:48:21 2017 UTC (0.001 )  Time stamp start 1502254101131486090 end 1502254101130485965  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:23 2017 UTC-Wed Aug  9 04:48:23 2017 UTC (0.001 )  Time stamp start 1502254103129421650 end 1502254103128421525  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:25 2017 UTC-Wed Aug  9 04:48:25 2017 UTC (0.001 )  Time stamp start 1502254105382579065 end 1502254105381579065  Run 331975, LB 89, lumi 13.80
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:27 2017 UTC-Wed Aug  9 04:48:27 2017 UTC (0.001 )  Time stamp start 1502254107370383775 end 1502254107369383775  Run 331975, LB 89, lumi 13.80
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:29 2017 UTC-Wed Aug  9 04:48:29 2017 UTC (0.001 )  Time stamp start 1502254109523318015 end 1502254109522317890  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:31 2017 UTC-Wed Aug  9 04:48:31 2017 UTC (0.001 )  Time stamp start 1502254111086652270 end 1502254111085652145  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:32 2017 UTC-Wed Aug  9 04:48:32 2017 UTC (0.001 )  Time stamp start 1502254112772268470 end 1502254112771268470  Run 331975, LB 89, lumi 13.80
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:34 2017 UTC-Wed Aug  9 04:48:34 2017 UTC (0.001 )  Time stamp start 1502254114368394505 end 1502254114367394380  Run 331975, LB 89, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:35 2017 UTC-Wed Aug  9 04:48:35 2017 UTC (0.001 )  Time stamp start 1502254115957602770 end 1502254115956602650  Run 331975, LB 89, lumi 13.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:37 2017 UTC-Wed Aug  9 04:48:37 2017 UTC (0.001 )  Time stamp start 1502254117686893920 end 1502254117685893920  Run 331975, LB 89, lumi 13.80
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:39 2017 UTC-Wed Aug  9 04:48:39 2017 UTC (0.001 )  Time stamp start 1502254119229020565 end 1502254119228019620  Run 331975, LB 89, lumi 13.82
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:40 2017 UTC-Wed Aug  9 04:48:40 2017 UTC (0.001 )  Time stamp start 1502254120911204020 end 1502254120910203150  Run 331975, LB 89, lumi 13.82
