Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360309 to 360309
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360309 to run 360309  lasting from Sat Sep  8 15:57:20 2018 UTC to Sun Sep  9 06:07:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:42:11 2018 UTC-Sat Sep  8 18:42:11 2018 UTC (0.001 )  Time stamp start 1536432131791534740 end 1536432131790534740  Run 360309, LB 207, lumi 16.44
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  8 18:47:16 2018 UTC-Sat Sep  8 18:47:16 2018 UTC (0.001 )  Time stamp start 1536432436843339320 end 1536432436842339320  Run 360309, LB 213, lumi 16.27
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:47:43 2018 UTC-Sat Sep  8 18:47:43 2018 UTC (0.001 )  Time stamp start 1536432463987493530 end 1536432463986493530  Run 360309, LB 213, lumi 16.27
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:48:24 2018 UTC-Sat Sep  8 18:48:24 2018 UTC (0.001 )  Time stamp start 1536432504250334805 end 1536432504249334805  Run 360309, LB 214, lumi 16.23
Event Veto ['NoiseBurst'], Sat Sep  8 18:48:29 2018 UTC-Sat Sep  8 18:48:29 2018 UTC (0.001 )  Time stamp start 1536432509538700040 end 1536432509537699665  Run 360309, LB 214, lumi 16.24
Event Veto ['NoiseBurst'], Sat Sep  8 18:48:39 2018 UTC-Sat Sep  8 18:48:39 2018 UTC (0.001 )  Time stamp start 1536432519903778870 end 1536432519902778500  Run 360309, LB 214, lumi 16.24
Event Veto ['NoiseBurst'], Sat Sep  8 18:49:35 2018 UTC-Sat Sep  8 18:49:35 2018 UTC (0.001 )  Time stamp start 1536432575641522165 end 1536432575640521665  Run 360309, LB 215, lumi 16.20
Event Veto ['NoiseBurst'], Sat Sep  8 18:49:42 2018 UTC-Sat Sep  8 18:49:42 2018 UTC (0.001 )  Time stamp start 1536432582724707910 end 1536432582723707460  Run 360309, LB 215, lumi 16.20
Event Veto ['NoiseBurst'], Sat Sep  8 18:50:13 2018 UTC-Sat Sep  8 18:50:13 2018 UTC (0.001 )  Time stamp start 1536432613193476015 end 1536432613191993720  Run 360309, LB 216, lumi 23.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  8 18:51:56 2018 UTC-Sat Sep  8 18:51:56 2018 UTC (0.001 )  Time stamp start 1536432716067659400 end 1536432716066659400  Run 360309, LB 217, lumi 16.16
Event Veto ['NoiseBurst'], Sat Sep  8 18:52:09 2018 UTC-Sat Sep  8 18:52:09 2018 UTC (0.001 )  Time stamp start 1536432729876062510 end 1536432729875061635  Run 360309, LB 218, lumi 16.15
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:52:51 2018 UTC-Sat Sep  8 18:52:51 2018 UTC (0.001 )  Time stamp start 1536432771546071595 end 1536432771545071595  Run 360309, LB 218, lumi 16.13
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:57:44 2018 UTC-Sat Sep  8 18:57:44 2018 UTC (0.001 )  Time stamp start 1536433064700845235 end 1536433064699845235  Run 360309, LB 223, lumi 16.02
Event Veto ['NoiseBurst'], Sat Sep  8 18:58:30 2018 UTC-Sat Sep  8 18:58:30 2018 UTC (0.001 )  Time stamp start 1536433110230294970 end 1536433110229294470  Run 360309, LB 224, lumi 15.99
Event Veto ['NoiseBurst'], Sat Sep  8 19:03:35 2018 UTC-Sat Sep  8 19:03:35 2018 UTC (0.001 )  Time stamp start 1536433415187639145 end 1536433415186558105  Run 360309, LB 229, lumi 17.12
Event Veto ['NoiseBurst'], Sat Sep  8 19:05:36 2018 UTC-Sat Sep  8 19:05:36 2018 UTC (0.001 )  Time stamp start 1536433536982375245 end 1536433536981281530  Run 360309, LB 231, lumi 17.25
Event Veto ['NoiseBurst'], Sat Sep  8 19:05:36 2018 UTC-Sat Sep  8 19:05:36 2018 UTC (0.001 )  Time stamp start 1536433536983616645 end 1536433536982588575  Run 360309, LB 231, lumi 16.22
Event Veto ['NoiseBurst'], Sat Sep  8 19:08:33 2018 UTC-Sat Sep  8 19:08:33 2018 UTC (0.001 )  Time stamp start 1536433713840421210 end 1536433713839420585  Run 360309, LB 234, lumi 15.67
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:11:25 2018 UTC-Sat Sep  8 19:11:25 2018 UTC (0.001 )  Time stamp start 1536433885744527900 end 1536433885743527900  Run 360309, LB 237, lumi 15.67
Event Veto ['NoiseBurst'], Sat Sep  8 19:11:28 2018 UTC-Sat Sep  8 19:11:28 2018 UTC (0.001 )  Time stamp start 1536433888044391660 end 1536433888043390860  Run 360309, LB 237, lumi 15.68
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:15:30 2018 UTC-Sat Sep  8 19:15:30 2018 UTC (0.001 )  Time stamp start 1536434130392982430 end 1536434130391982430  Run 360309, LB 241, lumi 15.53
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:17:25 2018 UTC-Sat Sep  8 19:17:25 2018 UTC (0.001 )  Time stamp start 1536434245144783715 end 1536434245143783715  Run 360309, LB 243, lumi 15.47
Event Veto ['NoiseBurst'], Sat Sep  8 19:19:38 2018 UTC-Sat Sep  8 19:19:38 2018 UTC (0.001 )  Time stamp start 1536434378467747285 end 1536434378466746910  Run 360309, LB 246, lumi 15.42
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:21:36 2018 UTC-Sat Sep  8 19:21:36 2018 UTC (0.001 )  Time stamp start 1536434496164209735 end 1536434496163209735  Run 360309, LB 248, lumi 15.32
Event Veto ['NoiseBurst'], Sat Sep  8 19:23:44 2018 UTC-Sat Sep  8 19:23:44 2018 UTC (0.001 )  Time stamp start 1536434624986698015 end 1536434624985697145  Run 360309, LB 250, lumi 15.32
Event Veto ['NoiseBurst'], Sat Sep  8 19:27:34 2018 UTC-Sat Sep  8 19:27:34 2018 UTC (0.001 )  Time stamp start 1536434854381236100 end 1536434854380235350  Run 360309, LB 254, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:27:35 2018 UTC-Sat Sep  8 19:27:35 2018 UTC (0.001 )  Time stamp start 1536434855428776295 end 1536434855427776295  Run 360309, LB 254, lumi 15.22
Event Veto ['NoiseBurst'], Sat Sep  8 19:29:47 2018 UTC-Sat Sep  8 19:29:47 2018 UTC (0.001 )  Time stamp start 1536434987608902825 end 1536434987607833585  Run 360309, LB 257, lumi 15.42
Event Veto ['NoiseBurst'], Sat Sep  8 19:30:55 2018 UTC-Sat Sep  8 19:30:55 2018 UTC (0.001 )  Time stamp start 1536435055715705500 end 1536435055714704600  Run 360309, LB 258, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:35:56 2018 UTC-Sat Sep  8 19:35:56 2018 UTC (0.001 )  Time stamp start 1536435356971501900 end 1536435356970501900  Run 360309, LB 263, lumi 15.19
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:37:10 2018 UTC-Sat Sep  8 19:37:10 2018 UTC (0.001 )  Time stamp start 1536435430778738355 end 1536435430777738355  Run 360309, LB 264, lumi 15.16
Event Veto ['NoiseBurst'], Sat Sep  8 19:39:48 2018 UTC-Sat Sep  8 19:39:48 2018 UTC (0.001 )  Time stamp start 1536435588168058555 end 1536435588167058055  Run 360309, LB 267, lumi 15.10
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:43:25 2018 UTC-Sat Sep  8 19:43:25 2018 UTC (0.001 )  Time stamp start 1536435805217714735 end 1536435805216714735  Run 360309, LB 270, lumi 15.02
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:44:04 2018 UTC-Sat Sep  8 19:44:04 2018 UTC (0.001 )  Time stamp start 1536435844444100805 end 1536435844443100805  Run 360309, LB 271, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:46:36 2018 UTC-Sat Sep  8 19:46:36 2018 UTC (0.001 )  Time stamp start 1536435996628281265 end 1536435996627281265  Run 360309, LB 273, lumi 14.99
Event Veto ['NoiseBurst'], Sat Sep  8 19:48:05 2018 UTC-Sat Sep  8 19:48:05 2018 UTC (0.001 )  Time stamp start 1536436085220875310 end 1536436085219874810  Run 360309, LB 275, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:49:28 2018 UTC-Sat Sep  8 19:49:28 2018 UTC (0.001 )  Time stamp start 1536436168836932790 end 1536436168835932790  Run 360309, LB 276, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  8 19:52:00 2018 UTC-Sat Sep  8 19:52:00 2018 UTC (0.001 )  Time stamp start 1536436320914987720 end 1536436320913987720  Run 360309, LB 279, lumi 14.83
Event Veto ['NoiseBurst'], Sat Sep  8 19:54:51 2018 UTC-Sat Sep  8 19:54:51 2018 UTC (0.002 )  Time stamp start 1536436491032422930 end 1536436491030344460  Run 360309, LB 282, lumi 30.68
Event Veto ['MiniNoiseBurst'], Sat Sep  8 19:56:05 2018 UTC-Sat Sep  8 19:56:05 2018 UTC (0.001 )  Time stamp start 1536436565024467500 end 1536436565023467500  Run 360309, LB 283, lumi 14.74
Event Veto ['NoiseBurst'], Sat Sep  8 19:56:12 2018 UTC-Sat Sep  8 19:56:12 2018 UTC (0.001 )  Time stamp start 1536436572285970600 end 1536436572284970205  Run 360309, LB 283, lumi 14.74
Event Veto ['MiniNoiseBurst'], Sat Sep  8 20:00:39 2018 UTC-Sat Sep  8 20:00:39 2018 UTC (0.001 )  Time stamp start 1536436839382174820 end 1536436839381174820  Run 360309, LB 288, lumi 14.05
Event Veto ['MiniNoiseBurst'], Sat Sep  8 20:01:17 2018 UTC-Sat Sep  8 20:01:17 2018 UTC (0.001 )  Time stamp start 1536436877600355650 end 1536436877599355650  Run 360309, LB 288, lumi 14.05
Event Veto ['MiniNoiseBurst'], Sat Sep  8 20:01:36 2018 UTC-Sat Sep  8 20:01:36 2018 UTC (0.001 )  Time stamp start 1536436896379754365 end 1536436896378754365  Run 360309, LB 288, lumi 14.05
Event Veto ['NoiseBurst'], Sat Sep  8 20:02:59 2018 UTC-Sat Sep  8 20:02:59 2018 UTC (0.001 )  Time stamp start 1536436979574093540 end 1536436979573092870  Run 360309, LB 290, lumi 14.00
Event Veto ['MiniNoiseBurst'], Sat Sep  8 20:03:58 2018 UTC-Sat Sep  8 20:03:58 2018 UTC (0.001 )  Time stamp start 1536437038988143055 end 1536437038987143055  Run 360309, LB 291, lumi 13.98
Event Veto ['MiniNoiseBurst'], Sat Sep  8 20:05:14 2018 UTC-Sat Sep  8 20:05:14 2018 UTC (0.001 )  Time stamp start 1536437114972941230 end 1536437114971941230  Run 360309, LB 292, lumi 13.99
