Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334678 to 334678
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334678 to run 334678  lasting from Sat Sep  2 01:40:53 2017 UTC to Sat Sep  2 08:15:10 2017 UTC
Event Veto ['DataCorruption'], Sat Sep  2 01:57:06 2017 UTC-Sat Sep  2 01:57:07 2017 UTC (0.759 )  Time stamp start 1504317427536052490 end 1504317426776992940  Run 334678, LB 19, lumi 0.12
Event Veto ['DataCorruption'], Sat Sep  2 01:57:07 2017 UTC-Sat Sep  2 01:57:08 2017 UTC (1.029 )  Time stamp start 1504317428824897100 end 1504317427796199170  Run 334678, LB 19, lumi 0.17
Event Veto ['DataCorruption'], Sat Sep  2 01:57:09 2017 UTC-Sat Sep  2 01:57:11 2017 UTC (1.913 )  Time stamp start 1504317431276866790 end 1504317429363868800  Run 334678, LB 19, lumi 0.31
Event Veto ['DataCorruption'], Sat Sep  2 01:57:11 2017 UTC-Sat Sep  2 01:57:12 2017 UTC (1.011 )  Time stamp start 1504317432665762135 end 1504317431654553815  Run 334678, LB 19, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:57:12 2017 UTC-Sat Sep  2 01:57:13 2017 UTC (0.572 )  Time stamp start 1504317433255800545 end 1504317432683382965  Run 334678, LB 19, lumi 0.09
Event Veto ['DataCorruption'], Sat Sep  2 01:57:13 2017 UTC-Sat Sep  2 01:57:14 2017 UTC (1.005 )  Time stamp start 1504317434713251615 end 1504317433708425230  Run 334678, LB 19, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:57:14 2017 UTC-Sat Sep  2 01:57:15 2017 UTC (1.043 )  Time stamp start 1504317435821053545 end 1504317434777759225  Run 334678, LB 19, lumi 0.17
Event Veto ['DataCorruption'], Sat Sep  2 01:57:16 2017 UTC-Sat Sep  2 01:57:16 2017 UTC (0.643 )  Time stamp start 1504317436683092830 end 1504317436039612845  Run 334678, LB 19, lumi 0.10
Event Veto ['DataCorruption'], Sat Sep  2 01:57:16 2017 UTC-Sat Sep  2 01:57:18 2017 UTC (1.637 )  Time stamp start 1504317438371310245 end 1504317436734138565  Run 334678, LB 19, lumi 0.26
Event Veto ['DataCorruption'], Sat Sep  2 01:57:19 2017 UTC-Sat Sep  2 01:57:20 2017 UTC (1.005 )  Time stamp start 1504317440563276700 end 1504317439558047085  Run 334678, LB 19, lumi 0.16
