Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303291 to 303291
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303291 to run 303291  lasting from Mon Jul  4 10:20:26 2016 UTC to Mon Jul  4 17:57:04 2016 UTC
Event Veto ['NoiseBurst'], Mon Jul  4 11:32:43 2016 UTC-Mon Jul  4 11:32:43 2016 UTC (0.010 )  Time stamp start 1467631963521625960 end 1467631963511623935  Run 303291, LB 84, lumi 95.49
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:32:56 2016 UTC-Mon Jul  4 11:32:56 2016 UTC (0.001 )  Time stamp start 1467631976631237355 end 1467631976630237230  Run 303291, LB 84, lumi 9.55
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:33:08 2016 UTC-Mon Jul  4 11:33:08 2016 UTC (0.001 )  Time stamp start 1467631988394517260 end 1467631988393517135  Run 303291, LB 84, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:33:15 2016 UTC-Mon Jul  4 11:33:15 2016 UTC (0.001 )  Time stamp start 1467631995596246285 end 1467631995595245710  Run 303291, LB 84, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:33:27 2016 UTC-Mon Jul  4 11:33:27 2016 UTC (0.001 )  Time stamp start 1467632007493053390 end 1467632007492052770  Run 303291, LB 84, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:33:34 2016 UTC-Mon Jul  4 11:33:34 2016 UTC (0.001 )  Time stamp start 1467632014011774835 end 1467632014010774410  Run 303291, LB 84, lumi 9.55
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:33:46 2016 UTC-Mon Jul  4 11:33:46 2016 UTC (0.001 )  Time stamp start 1467632026008746085 end 1467632026007745960  Run 303291, LB 85, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:34:26 2016 UTC-Mon Jul  4 11:34:26 2016 UTC (0.001 )  Time stamp start 1467632066707828555 end 1467632066706828430  Run 303291, LB 86, lumi 9.54
Event Veto ['NoiseBurst'], Mon Jul  4 11:34:27 2016 UTC-Mon Jul  4 11:34:27 2016 UTC (0.010 )  Time stamp start 1467632067070700545 end 1467632067060245615  Run 303291, LB 86, lumi 99.72
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:34:34 2016 UTC-Mon Jul  4 11:34:34 2016 UTC (0.001 )  Time stamp start 1467632074065001810 end 1467632074064001810  Run 303291, LB 86, lumi 9.54
