Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349335 to 349335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349335 to run 349335  lasting from Wed May  2 08:16:23 2018 UTC to Wed May  2 12:55:30 2018 UTC
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268832069175 end 1525256268831066905  Run 349335, LB 167, lumi 14.80
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268837098045 end 1525256268836078085  Run 349335, LB 167, lumi 15.06
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268844663610 end 1525256268843662735  Run 349335, LB 167, lumi 14.78
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268851092665 end 1525256268850087700  Run 349335, LB 167, lumi 14.84
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268855861625 end 1525256268854501185  Run 349335, LB 167, lumi 20.08
Event Veto ['NoiseBurst'], Wed May  2 10:17:48 2018 UTC-Wed May  2 10:17:48 2018 UTC (0.001 )  Time stamp start 1525256268859474170 end 1525256268858420575  Run 349335, LB 167, lumi 15.55
Event Veto ['MiniNoiseBurst'], Wed May  2 10:18:13 2018 UTC-Wed May  2 10:18:13 2018 UTC (0.001 )  Time stamp start 1525256293483930645 end 1525256293482930645  Run 349335, LB 167, lumi 14.76
Event Veto ['MiniNoiseBurst'], Wed May  2 10:18:40 2018 UTC-Wed May  2 10:18:40 2018 UTC (0.001 )  Time stamp start 1525256320923987410 end 1525256320922987410  Run 349335, LB 168, lumi 14.73
Event Veto ['NoiseBurst'], Wed May  2 10:18:50 2018 UTC-Wed May  2 10:18:50 2018 UTC (0.001 )  Time stamp start 1525256330477505785 end 1525256330476505360  Run 349335, LB 168, lumi 14.74
Event Veto ['NoiseBurst'], Wed May  2 10:19:20 2018 UTC-Wed May  2 10:19:20 2018 UTC (0.003 )  Time stamp start 1525256360089853695 end 1525256360087179230  Run 349335, LB 168, lumi 39.39
Event Veto ['MiniNoiseBurst'], Wed May  2 10:19:38 2018 UTC-Wed May  2 10:19:38 2018 UTC (0.001 )  Time stamp start 1525256378021442195 end 1525256378020442195  Run 349335, LB 169, lumi 14.71
Event Veto ['MiniNoiseBurst'], Wed May  2 10:20:31 2018 UTC-Wed May  2 10:20:31 2018 UTC (0.001 )  Time stamp start 1525256431988881735 end 1525256431987881735  Run 349335, LB 172, lumi 14.66
Event Veto ['MiniNoiseBurst'], Wed May  2 10:22:01 2018 UTC-Wed May  2 10:22:01 2018 UTC (0.001 )  Time stamp start 1525256521108281170 end 1525256521107281170  Run 349335, LB 173, lumi 14.63
Event Veto ['MiniNoiseBurst'], Wed May  2 10:22:09 2018 UTC-Wed May  2 10:22:09 2018 UTC (0.001 )  Time stamp start 1525256529138084040 end 1525256529137084040  Run 349335, LB 173, lumi 14.63
Event Veto ['MiniNoiseBurst'], Wed May  2 10:22:25 2018 UTC-Wed May  2 10:22:25 2018 UTC (0.001 )  Time stamp start 1525256545281011350 end 1525256545280011350  Run 349335, LB 174, lumi 14.55
Event Veto ['MiniNoiseBurst'], Wed May  2 10:22:31 2018 UTC-Wed May  2 10:22:31 2018 UTC (0.001 )  Time stamp start 1525256551649086845 end 1525256551648086845  Run 349335, LB 174, lumi 14.55
Event Veto ['MiniNoiseBurst'], Wed May  2 10:23:13 2018 UTC-Wed May  2 10:23:13 2018 UTC (0.001 )  Time stamp start 1525256593306651300 end 1525256593305651300  Run 349335, LB 176, lumi 14.53
Event Veto ['MiniNoiseBurst'], Wed May  2 10:23:33 2018 UTC-Wed May  2 10:23:33 2018 UTC (0.001 )  Time stamp start 1525256613105187500 end 1525256613104187500  Run 349335, LB 177, lumi 14.52
Event Veto ['MiniNoiseBurst'], Wed May  2 10:24:58 2018 UTC-Wed May  2 10:24:58 2018 UTC (0.001 )  Time stamp start 1525256698381715495 end 1525256698380715495  Run 349335, LB 179, lumi 14.45
Event Veto ['MiniNoiseBurst'], Wed May  2 10:25:11 2018 UTC-Wed May  2 10:25:11 2018 UTC (0.001 )  Time stamp start 1525256711175438890 end 1525256711174438890  Run 349335, LB 179, lumi 14.45
Event Veto ['MiniNoiseBurst'], Wed May  2 10:25:11 2018 UTC-Wed May  2 10:25:11 2018 UTC (0.001 )  Time stamp start 1525256711252550345 end 1525256711251550345  Run 349335, LB 179, lumi 14.45
Event Veto ['MiniNoiseBurst'], Wed May  2 10:25:12 2018 UTC-Wed May  2 10:25:12 2018 UTC (0.001 )  Time stamp start 1525256712651207065 end 1525256712650207065  Run 349335, LB 179, lumi 14.45
Event Veto ['MiniNoiseBurst'], Wed May  2 10:25:21 2018 UTC-Wed May  2 10:25:21 2018 UTC (0.001 )  Time stamp start 1525256721733626635 end 1525256721732626635  Run 349335, LB 179, lumi 14.45
