Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357409 to 357409
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357409 to run 357409  lasting from Thu Aug  2 21:25:56 2018 UTC to Fri Aug  3 20:38:29 2018 UTC
Event Veto ['NoiseBurst'], Fri Aug  3 08:44:12 2018 UTC-Fri Aug  3 08:44:12 2018 UTC (0.001 )  Time stamp start 1533285852878283785 end 1533285852877283160  Run 357409, LB 719, lumi 14.80
Event Veto ['NoiseBurst'], Fri Aug  3 08:45:16 2018 UTC-Fri Aug  3 08:45:16 2018 UTC (0.001 )  Time stamp start 1533285916777304220 end 1533285916776303720  Run 357409, LB 720, lumi 14.75
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:47:56 2018 UTC-Fri Aug  3 08:47:56 2018 UTC (0.001 )  Time stamp start 1533286076667063190 end 1533286076666063190  Run 357409, LB 724, lumi 14.60
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  3 08:51:27 2018 UTC-Fri Aug  3 08:51:27 2018 UTC (0.001 )  Time stamp start 1533286287526647700 end 1533286287525647700  Run 357409, LB 727, lumi 14.50
Event Veto ['NoiseBurst'], Fri Aug  3 08:59:49 2018 UTC-Fri Aug  3 08:59:49 2018 UTC (0.008 )  Time stamp start 1533286789351500060 end 1533286789343063815  Run 357409, LB 736, lumi 120.12
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:59:54 2018 UTC-Fri Aug  3 08:59:54 2018 UTC (0.001 )  Time stamp start 1533286794517918680 end 1533286794516918680  Run 357409, LB 736, lumi 14.24
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  3 09:02:28 2018 UTC-Fri Aug  3 09:02:28 2018 UTC (0.001 )  Time stamp start 1533286948178465930 end 1533286948177465930  Run 357409, LB 739, lumi 14.18
Event Veto ['NoiseBurst'], Fri Aug  3 09:07:46 2018 UTC-Fri Aug  3 09:07:46 2018 UTC (0.002 )  Time stamp start 1533287266826555770 end 1533287266824399580  Run 357409, LB 744, lumi 30.25
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:07:50 2018 UTC-Fri Aug  3 09:07:50 2018 UTC (0.001 )  Time stamp start 1533287270393486215 end 1533287270392486215  Run 357409, LB 744, lumi 14.03
Event Veto ['NoiseBurst'], Fri Aug  3 09:12:09 2018 UTC-Fri Aug  3 09:12:09 2018 UTC (0.002 )  Time stamp start 1533287529988205835 end 1533287529985766700  Run 357409, LB 749, lumi 33.78
Event Veto ['NoiseBurst'], Fri Aug  3 09:12:09 2018 UTC-Fri Aug  3 09:12:09 2018 UTC (0.002 )  Time stamp start 1533287529991528250 end 1533287529989877635  Run 357409, LB 749, lumi 22.86
Event Veto ['NoiseBurst'], Fri Aug  3 09:15:02 2018 UTC-Fri Aug  3 09:15:02 2018 UTC (0.001 )  Time stamp start 1533287702606140620 end 1533287702605139745  Run 357409, LB 751, lumi 13.81
