Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302925 to 302925
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302925 to run 302925  lasting from Tue Jun 28 12:47:31 2016 UTC to Tue Jun 28 18:36:01 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:19:11 2016 UTC-Tue Jun 28 13:19:11 2016 UTC (0.001 )  Time stamp start 1467119951537720820 end 1467119951536720445  Run 302925, LB 39, lumi 7.75
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:19:26 2016 UTC-Tue Jun 28 13:19:26 2016 UTC (0.001 )  Time stamp start 1467119966230227485 end 1467119966229227485  Run 302925, LB 39, lumi 7.75
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:19:53 2016 UTC-Tue Jun 28 13:19:53 2016 UTC (0.001 )  Time stamp start 1467119993730837935 end 1467119993729837565  Run 302925, LB 39, lumi 7.75
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:20:02 2016 UTC-Tue Jun 28 13:20:02 2016 UTC (0.001 )  Time stamp start 1467120002697410795 end 1467120002696410795  Run 302925, LB 40, lumi 7.75
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:20:47 2016 UTC-Tue Jun 28 13:20:47 2016 UTC (0.001 )  Time stamp start 1467120047485756300 end 1467120047484755850  Run 302925, LB 40, lumi 7.75
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:21:09 2016 UTC-Tue Jun 28 13:21:09 2016 UTC (0.001 )  Time stamp start 1467120069951140370 end 1467120069950140370  Run 302925, LB 41, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:21:18 2016 UTC-Tue Jun 28 13:21:18 2016 UTC (0.001 )  Time stamp start 1467120078914441360 end 1467120078913441185  Run 302925, LB 41, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:21:35 2016 UTC-Tue Jun 28 13:21:35 2016 UTC (0.001 )  Time stamp start 1467120095286262300 end 1467120095285262050  Run 302925, LB 41, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:22:33 2016 UTC-Tue Jun 28 13:22:33 2016 UTC (0.001 )  Time stamp start 1467120153387018985 end 1467120153386018610  Run 302925, LB 42, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:22:42 2016 UTC-Tue Jun 28 13:22:42 2016 UTC (0.001 )  Time stamp start 1467120162467410975 end 1467120162466410825  Run 302925, LB 42, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:22:51 2016 UTC-Tue Jun 28 13:22:51 2016 UTC (0.001 )  Time stamp start 1467120171552652515 end 1467120171551652515  Run 302925, LB 42, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:23:31 2016 UTC-Tue Jun 28 13:23:31 2016 UTC (0.001 )  Time stamp start 1467120211718386465 end 1467120211717385315  Run 302925, LB 43, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:23:40 2016 UTC-Tue Jun 28 13:23:40 2016 UTC (0.001 )  Time stamp start 1467120220800438375 end 1467120220799437825  Run 302925, LB 43, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:23:59 2016 UTC-Tue Jun 28 13:23:59 2016 UTC (0.001 )  Time stamp start 1467120239002439525 end 1467120239001439400  Run 302925, LB 44, lumi 7.72
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:24:43 2016 UTC-Tue Jun 28 13:24:43 2016 UTC (0.001 )  Time stamp start 1467120283034517415 end 1467120283033517165  Run 302925, LB 44, lumi 7.73
Event Veto ['NoiseBurst'], Tue Jun 28 13:24:44 2016 UTC-Tue Jun 28 13:24:44 2016 UTC (0.010 )  Time stamp start 1467120284538826370 end 1467120284528825745  Run 302925, LB 44, lumi 77.25
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:24:58 2016 UTC-Tue Jun 28 13:24:58 2016 UTC (0.001 )  Time stamp start 1467120298739349545 end 1467120298738349295  Run 302925, LB 45, lumi 7.72
