Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 327265 to 327265
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 327265 to run 327265  lasting from Mon Jun 19 16:45:53 2017 UTC to Tue Jun 20 10:09:16 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:03:21 2017 UTC-Mon Jun 19 18:03:21 2017 UTC (0.001 )  Time stamp start 1497895401392787455 end 1497895401391787455  Run 327265, LB 85, lumi 10.87
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:03:33 2017 UTC-Mon Jun 19 18:03:33 2017 UTC (0.001 )  Time stamp start 1497895413454606605 end 1497895413453606605  Run 327265, LB 85, lumi 10.87
Event Veto ['NoiseBurst'], Mon Jun 19 18:03:44 2017 UTC-Mon Jun 19 18:03:44 2017 UTC (0.001 )  Time stamp start 1497895424485311950 end 1497895424484294335  Run 327265, LB 85, lumi 11.06
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:03:49 2017 UTC-Mon Jun 19 18:03:49 2017 UTC (0.001 )  Time stamp start 1497895429673810315 end 1497895429672810315  Run 327265, LB 85, lumi 10.87
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:04:07 2017 UTC-Mon Jun 19 18:04:07 2017 UTC (0.001 )  Time stamp start 1497895447537746345 end 1497895447536746345  Run 327265, LB 86, lumi 10.85
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:05:02 2017 UTC-Mon Jun 19 18:05:02 2017 UTC (0.001 )  Time stamp start 1497895502311236000 end 1497895502310236000  Run 327265, LB 87, lumi 10.86
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:05:06 2017 UTC-Mon Jun 19 18:05:06 2017 UTC (0.001 )  Time stamp start 1497895506694821970 end 1497895506693821970  Run 327265, LB 87, lumi 10.86
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:05:14 2017 UTC-Mon Jun 19 18:05:14 2017 UTC (0.001 )  Time stamp start 1497895514326985005 end 1497895514325985005  Run 327265, LB 87, lumi 10.86
Event Veto ['NoiseBurst'], Mon Jun 19 18:06:01 2017 UTC-Mon Jun 19 18:06:01 2017 UTC (0.001 )  Time stamp start 1497895561261819775 end 1497895561260819280  Run 327265, LB 88, lumi 10.80
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:06:02 2017 UTC-Mon Jun 19 18:06:02 2017 UTC (0.001 )  Time stamp start 1497895562285924190 end 1497895562284924190  Run 327265, LB 88, lumi 10.80
Event Veto ['NoiseBurst'], Mon Jun 19 18:06:07 2017 UTC-Mon Jun 19 18:06:07 2017 UTC (0.001 )  Time stamp start 1497895567099816375 end 1497895567098815625  Run 327265, LB 88, lumi 10.81
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:06:13 2017 UTC-Mon Jun 19 18:06:13 2017 UTC (0.001 )  Time stamp start 1497895573123619275 end 1497895573122619275  Run 327265, LB 88, lumi 10.80
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:06:29 2017 UTC-Mon Jun 19 18:06:29 2017 UTC (0.001 )  Time stamp start 1497895589669757090 end 1497895589668757090  Run 327265, LB 89, lumi 10.82
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:06:31 2017 UTC-Mon Jun 19 18:06:31 2017 UTC (0.001 )  Time stamp start 1497895591267149550 end 1497895591266149550  Run 327265, LB 89, lumi 10.82
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:06:38 2017 UTC-Mon Jun 19 18:06:38 2017 UTC (0.001 )  Time stamp start 1497895598728427320 end 1497895598727427320  Run 327265, LB 89, lumi 10.82
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:07:02 2017 UTC-Mon Jun 19 18:07:02 2017 UTC (0.001 )  Time stamp start 1497895622447635635 end 1497895622446635635  Run 327265, LB 89, lumi 10.82
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:07:35 2017 UTC-Mon Jun 19 18:07:35 2017 UTC (0.001 )  Time stamp start 1497895655255534065 end 1497895655254534065  Run 327265, LB 90, lumi 10.79
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:07:43 2017 UTC-Mon Jun 19 18:07:43 2017 UTC (0.001 )  Time stamp start 1497895663403519750 end 1497895663402519750  Run 327265, LB 90, lumi 10.79
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:08:44 2017 UTC-Mon Jun 19 18:08:44 2017 UTC (0.001 )  Time stamp start 1497895724094606595 end 1497895724093606595  Run 327265, LB 91, lumi 10.78
Event Veto ['NoiseBurst'], Mon Jun 19 18:08:48 2017 UTC-Mon Jun 19 18:08:48 2017 UTC (0.001 )  Time stamp start 1497895728829308150 end 1497895728828293755  Run 327265, LB 91, lumi 10.94
