Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Jun  2 11:02:33 2018 UTC-Sat Jun  2 11:02:33 2018 UTC (0.001 )  Time stamp start 1527937353211262255 end 1527937353210262255  Run 351698, LB 87, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:02:35 2018 UTC-Sat Jun  2 11:02:35 2018 UTC (0.001 )  Time stamp start 1527937355849568670 end 1527937355848568670  Run 351698, LB 87, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:03:19 2018 UTC-Sat Jun  2 11:03:19 2018 UTC (0.001 )  Time stamp start 1527937399172801630 end 1527937399171801630  Run 351698, LB 88, lumi 19.34
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:03:34 2018 UTC-Sat Jun  2 11:03:34 2018 UTC (0.001 )  Time stamp start 1527937414318709965 end 1527937414317709965  Run 351698, LB 88, lumi 19.34
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:03:34 2018 UTC-Sat Jun  2 11:03:34 2018 UTC (0.001 )  Time stamp start 1527937414851794490 end 1527937414850794490  Run 351698, LB 88, lumi 19.34
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:03:40 2018 UTC-Sat Jun  2 11:03:40 2018 UTC (0.001 )  Time stamp start 1527937420991782150 end 1527937420990782150  Run 351698, LB 88, lumi 19.34
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:04:20 2018 UTC-Sat Jun  2 11:04:20 2018 UTC (0.001 )  Time stamp start 1527937460260842855 end 1527937460259842855  Run 351698, LB 89, lumi 19.29
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:04:21 2018 UTC-Sat Jun  2 11:04:21 2018 UTC (0.001 )  Time stamp start 1527937461332963655 end 1527937461331605265  Run 351698, LB 89, lumi 26.20
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.001 )  Time stamp start 1527937462421068400 end 1527937462419974260  Run 351698, LB 89, lumi 21.10
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.005 )  Time stamp start 1527937462425620315 end 1527937462421074465  Run 351698, LB 89, lumi 87.67
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.002 )  Time stamp start 1527937462427942230 end 1527937462425863310  Run 351698, LB 89, lumi 40.10
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.001 )  Time stamp start 1527937462429019705 end 1527937462428019055  Run 351698, LB 89, lumi 19.30
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.002 )  Time stamp start 1527937462434451280 end 1527937462432198130  Run 351698, LB 89, lumi 43.46
Event Veto ['NoiseBurst'], Sat Jun  2 11:04:22 2018 UTC-Sat Jun  2 11:04:22 2018 UTC (0.001 )  Time stamp start 1527937462520771010 end 1527937462519534025  Run 351698, LB 89, lumi 23.86
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:04:29 2018 UTC-Sat Jun  2 11:04:29 2018 UTC (0.001 )  Time stamp start 1527937469167381965 end 1527937469166381965  Run 351698, LB 89, lumi 19.29
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:04:33 2018 UTC-Sat Jun  2 11:04:33 2018 UTC (0.001 )  Time stamp start 1527937473965972510 end 1527937473964972510  Run 351698, LB 89, lumi 19.29
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:05:00 2018 UTC-Sat Jun  2 11:05:00 2018 UTC (0.001 )  Time stamp start 1527937500761412305 end 1527937500760412305  Run 351698, LB 89, lumi 19.29
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:05:26 2018 UTC-Sat Jun  2 11:05:26 2018 UTC (0.001 )  Time stamp start 1527937526425299140 end 1527937526424299140  Run 351698, LB 90, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:05:54 2018 UTC-Sat Jun  2 11:05:54 2018 UTC (0.001 )  Time stamp start 1527937554216946965 end 1527937554215946965  Run 351698, LB 90, lumi 15.21
