Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337335 to 337335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337335 to run 337335  lasting from Fri Oct  6 11:09:41 2017 UTC to Fri Oct  6 17:51:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:54:48 2017 UTC-Fri Oct  6 12:54:48 2017 UTC (0.001 )  Time stamp start 1507294488667916230 end 1507294488666916230  Run 337335, LB 118, lumi 15.07
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:55:05 2017 UTC-Fri Oct  6 12:55:05 2017 UTC (0.001 )  Time stamp start 1507294505947952710 end 1507294505946952710  Run 337335, LB 119, lumi 15.04
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:55:43 2017 UTC-Fri Oct  6 12:55:43 2017 UTC (0.001 )  Time stamp start 1507294543463677160 end 1507294543462677160  Run 337335, LB 119, lumi 15.04
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:55:54 2017 UTC-Fri Oct  6 12:55:54 2017 UTC (0.001 )  Time stamp start 1507294554064866125 end 1507294554063866125  Run 337335, LB 120, lumi 15.06
Event Veto ['NoiseBurst'], Fri Oct  6 12:56:27 2017 UTC-Fri Oct  6 12:56:27 2017 UTC (0.001 )  Time stamp start 1507294587609160115 end 1507294587608159415  Run 337335, LB 121, lumi 15.06
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:57:30 2017 UTC-Fri Oct  6 12:57:30 2017 UTC (0.001 )  Time stamp start 1507294650769823420 end 1507294650768823420  Run 337335, LB 122, lumi 15.04
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:58:50 2017 UTC-Fri Oct  6 12:58:50 2017 UTC (0.001 )  Time stamp start 1507294730441901945 end 1507294730440901945  Run 337335, LB 124, lumi 15.02
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:00:04 2017 UTC-Fri Oct  6 13:00:04 2017 UTC (0.001 )  Time stamp start 1507294804247493795 end 1507294804246493795  Run 337335, LB 125, lumi 15.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:00:40 2017 UTC-Fri Oct  6 13:00:40 2017 UTC (0.001 )  Time stamp start 1507294840102107995 end 1507294840101107995  Run 337335, LB 126, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:00:48 2017 UTC-Fri Oct  6 13:00:48 2017 UTC (0.001 )  Time stamp start 1507294848404421115 end 1507294848403290750  Run 337335, LB 126, lumi 16.90
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:01:06 2017 UTC-Fri Oct  6 13:01:06 2017 UTC (0.001 )  Time stamp start 1507294866760670045 end 1507294866759670045  Run 337335, LB 126, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:01:13 2017 UTC-Fri Oct  6 13:01:13 2017 UTC (0.001 )  Time stamp start 1507294873658143350 end 1507294873657143350  Run 337335, LB 126, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:24 2017 UTC-Fri Oct  6 13:01:24 2017 UTC (0.001 )  Time stamp start 1507294884267292470 end 1507294884266292470  Run 337335, LB 126, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:26 2017 UTC-Fri Oct  6 13:01:26 2017 UTC (0.001 )  Time stamp start 1507294886049227735 end 1507294886048227735  Run 337335, LB 126, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:27 2017 UTC-Fri Oct  6 13:01:27 2017 UTC (0.001 )  Time stamp start 1507294887707353560 end 1507294887706353560  Run 337335, LB 126, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:30 2017 UTC-Fri Oct  6 13:01:30 2017 UTC (0.001 )  Time stamp start 1507294890290273235 end 1507294890289083510  Run 337335, LB 126, lumi 17.79
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:33 2017 UTC-Fri Oct  6 13:01:33 2017 UTC (0.001 )  Time stamp start 1507294893642489585 end 1507294893641489585  Run 337335, LB 126, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:01:37 2017 UTC-Fri Oct  6 13:01:37 2017 UTC (0.001 )  Time stamp start 1507294897630013920 end 1507294897629013570  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:39 2017 UTC-Fri Oct  6 13:01:39 2017 UTC (0.001 )  Time stamp start 1507294899203905925 end 1507294899202905925  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:41 2017 UTC-Fri Oct  6 13:01:41 2017 UTC (0.001 )  Time stamp start 1507294901713476215 end 1507294901712476215  Run 337335, LB 127, lumi 14.92
