Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349451 to 349451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349451 to run 349451  lasting from Wed May  2 20:10:09 2018 UTC to Thu May  3 11:54:15 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 21:42:58 2018 UTC-Wed May  2 21:42:58 2018 UTC (0.001 )  Time stamp start 1525297378987916620 end 1525297378986916620  Run 349451, LB 103, lumi 17.04
Event Veto ['NoiseBurst'], Wed May  2 21:43:02 2018 UTC-Wed May  2 21:43:02 2018 UTC (0.001 )  Time stamp start 1525297382120235010 end 1525297382119113600  Run 349451, LB 103, lumi 19.11
Event Veto ['MiniNoiseBurst'], Wed May  2 21:43:11 2018 UTC-Wed May  2 21:43:11 2018 UTC (0.001 )  Time stamp start 1525297391838800030 end 1525297391837800030  Run 349451, LB 103, lumi 17.04
Event Veto ['MiniNoiseBurst'], Wed May  2 21:43:28 2018 UTC-Wed May  2 21:43:28 2018 UTC (0.001 )  Time stamp start 1525297408684391430 end 1525297408683391430  Run 349451, LB 104, lumi 16.97
Event Veto ['DataCorruption'], Wed May  2 21:43:31 2018 UTC-Wed May  2 21:43:31 2018 UTC (0.500 )  Time stamp start 1525297411569380490 end 1525297411069157930  Run 349451, LB 104, lumi 8486.62
Event Veto ['MiniNoiseBurst'], Wed May  2 21:43:45 2018 UTC-Wed May  2 21:43:45 2018 UTC (0.001 )  Time stamp start 1525297425019584015 end 1525297425018584015  Run 349451, LB 104, lumi 16.97
Event Veto ['MiniNoiseBurst'], Wed May  2 21:44:01 2018 UTC-Wed May  2 21:44:01 2018 UTC (0.001 )  Time stamp start 1525297441015795225 end 1525297441014795225  Run 349451, LB 104, lumi 16.97
Event Veto ['NoiseBurst'], Wed May  2 21:44:06 2018 UTC-Wed May  2 21:44:06 2018 UTC (0.001 )  Time stamp start 1525297446160220035 end 1525297446159052965  Run 349451, LB 104, lumi 19.80
Event Veto ['MiniNoiseBurst'], Wed May  2 21:44:32 2018 UTC-Wed May  2 21:44:32 2018 UTC (0.001 )  Time stamp start 1525297472715105630 end 1525297472714105630  Run 349451, LB 105, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed May  2 21:44:37 2018 UTC-Wed May  2 21:44:37 2018 UTC (0.001 )  Time stamp start 1525297477116667000 end 1525297477115667000  Run 349451, LB 105, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed May  2 21:44:58 2018 UTC-Wed May  2 21:44:58 2018 UTC (0.001 )  Time stamp start 1525297498557620010 end 1525297498556620010  Run 349451, LB 105, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed May  2 21:45:04 2018 UTC-Wed May  2 21:45:04 2018 UTC (0.001 )  Time stamp start 1525297504406018615 end 1525297504405018615  Run 349451, LB 105, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed May  2 21:45:04 2018 UTC-Wed May  2 21:45:04 2018 UTC (0.001 )  Time stamp start 1525297504951741210 end 1525297504950740910  Run 349451, LB 105, lumi 16.89
Event Veto ['NoiseBurst'], Wed May  2 21:45:18 2018 UTC-Wed May  2 21:45:18 2018 UTC (0.003 )  Time stamp start 1525297518892068660 end 1525297518888909000  Run 349451, LB 106, lumi 53.09
Event Veto ['MiniNoiseBurst'], Wed May  2 21:45:20 2018 UTC-Wed May  2 21:45:20 2018 UTC (0.001 )  Time stamp start 1525297520735411655 end 1525297520734411480  Run 349451, LB 106, lumi 16.80
