Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307710 to 307710
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307710 to run 307710  lasting from Sat Sep  3 08:23:36 2016 UTC to Sat Sep  3 11:51:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:42 2016 UTC-Sat Sep  3 09:14:42 2016 UTC (0.010 )  Time stamp start 1472894082705352925 end 1472894082695352800  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:46 2016 UTC-Sat Sep  3 09:14:46 2016 UTC (0.015 )  Time stamp start 1472894086441247915 end 1472894086426006635  Run 307710, LB 57, lumi 126.12
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:47 2016 UTC-Sat Sep  3 09:14:47 2016 UTC (0.010 )  Time stamp start 1472894087280735390 end 1472894087270472880  Run 307710, LB 57, lumi 84.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:14:49 2016 UTC-Sat Sep  3 09:14:49 2016 UTC (0.010 )  Time stamp start 1472894089801762795 end 1472894089791762795  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:53 2016 UTC-Sat Sep  3 09:14:53 2016 UTC (0.010 )  Time stamp start 1472894093611286995 end 1472894093601286870  Run 307710, LB 57, lumi 82.75
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:57 2016 UTC-Sat Sep  3 09:14:57 2016 UTC (0.010 )  Time stamp start 1472894097633741910 end 1472894097623741335  Run 307710, LB 57, lumi 82.76
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:59 2016 UTC-Sat Sep  3 09:14:59 2016 UTC (0.010 )  Time stamp start 1472894099034230470 end 1472894099024106965  Run 307710, LB 57, lumi 83.77
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:15:00 2016 UTC-Sat Sep  3 09:15:01 2016 UTC (0.010 )  Time stamp start 1472894101002973805 end 1472894100992972905  Run 307710, LB 57, lumi 82.76
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:15:04 2016 UTC-Sat Sep  3 09:15:04 2016 UTC (0.010 )  Time stamp start 1472894104457998445 end 1472894104447997445  Run 307710, LB 57, lumi 82.76
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:15:07 2016 UTC-Sat Sep  3 09:15:07 2016 UTC (0.010 )  Time stamp start 1472894107957301790 end 1472894107947301790  Run 307710, LB 58, lumi 85.69
