Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349582 to 349582
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349582 to run 349582  lasting from Sat May  5 14:43:19 2018 UTC to Sat May  5 17:46:20 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:46 2018 UTC-Sat May  5 16:08:46 2018 UTC (0.001 )  Time stamp start 1525536526185039065 end 1525536526184039065  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:48 2018 UTC-Sat May  5 16:08:48 2018 UTC (0.001 )  Time stamp start 1525536528891536320 end 1525536528890536320  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:50 2018 UTC-Sat May  5 16:08:50 2018 UTC (0.001 )  Time stamp start 1525536530834165465 end 1525536530833165465  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:52 2018 UTC-Sat May  5 16:08:52 2018 UTC (0.001 )  Time stamp start 1525536532873983075 end 1525536532872983075  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:08:57 2018 UTC-Sat May  5 16:08:57 2018 UTC (0.001 )  Time stamp start 1525536537744596780 end 1525536537743596780  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:09 2018 UTC-Sat May  5 16:09:09 2018 UTC (0.001 )  Time stamp start 1525536549375254000 end 1525536549374254000  Run 349582, LB 125, lumi 19.90
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:27 2018 UTC-Sat May  5 16:09:27 2018 UTC (0.001 )  Time stamp start 1525536567419822885 end 1525536567418822585  Run 349582, LB 125, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:36 2018 UTC-Sat May  5 16:09:36 2018 UTC (0.001 )  Time stamp start 1525536576878647135 end 1525536576877647135  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:37 2018 UTC-Sat May  5 16:09:37 2018 UTC (0.001 )  Time stamp start 1525536577982987020 end 1525536577981987020  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:43 2018 UTC-Sat May  5 16:09:43 2018 UTC (0.001 )  Time stamp start 1525536583572468415 end 1525536583571468415  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:44 2018 UTC-Sat May  5 16:09:44 2018 UTC (0.001 )  Time stamp start 1525536584877742985 end 1525536584876742985  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:47 2018 UTC-Sat May  5 16:09:47 2018 UTC (0.001 )  Time stamp start 1525536587650251440 end 1525536587649251440  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:48 2018 UTC-Sat May  5 16:09:48 2018 UTC (0.001 )  Time stamp start 1525536588103551645 end 1525536588102551645  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:54 2018 UTC-Sat May  5 16:09:54 2018 UTC (0.001 )  Time stamp start 1525536594966223605 end 1525536594965223605  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:55 2018 UTC-Sat May  5 16:09:55 2018 UTC (0.001 )  Time stamp start 1525536595884577190 end 1525536595883577190  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:09:59 2018 UTC-Sat May  5 16:09:59 2018 UTC (0.002 )  Time stamp start 1525536599167274185 end 1525536599165523245  Run 349582, LB 126, lumi 33.32
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:04 2018 UTC-Sat May  5 16:10:04 2018 UTC (0.001 )  Time stamp start 1525536604621072490 end 1525536604620072490  Run 349582, LB 126, lumi 19.03
