Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306278 to 306278
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306278 to run 306278  lasting from Sat Aug 13 13:41:29 2016 UTC to Sun Aug 14 07:04:50 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:37 2016 UTC-Sat Aug 13 14:38:37 2016 UTC (0.001 )  Time stamp start 1471099117251246780 end 1471099117250246780  Run 306278, LB 62, lumi 8.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:49 2016 UTC-Sat Aug 13 14:38:49 2016 UTC (0.001 )  Time stamp start 1471099129851045185 end 1471099129850045060  Run 306278, LB 62, lumi 8.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:38:57 2016 UTC-Sat Aug 13 14:38:57 2016 UTC (0.001 )  Time stamp start 1471099137479119785 end 1471099137478119785  Run 306278, LB 62, lumi 8.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:04 2016 UTC-Sat Aug 13 14:39:04 2016 UTC (0.001 )  Time stamp start 1471099144003087000 end 1471099144002086550  Run 306278, LB 62, lumi 8.83
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:10 2016 UTC-Sat Aug 13 14:39:10 2016 UTC (0.001 )  Time stamp start 1471099150558329665 end 1471099150557329665  Run 306278, LB 62, lumi 8.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:16 2016 UTC-Sat Aug 13 14:39:16 2016 UTC (0.001 )  Time stamp start 1471099156446477045 end 1471099156445475625  Run 306278, LB 63, lumi 8.97
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:22 2016 UTC-Sat Aug 13 14:39:22 2016 UTC (0.001 )  Time stamp start 1471099162370718945 end 1471099162369718545  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:28 2016 UTC-Sat Aug 13 14:39:28 2016 UTC (0.001 )  Time stamp start 1471099168126712535 end 1471099168125712535  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:34 2016 UTC-Sat Aug 13 14:39:34 2016 UTC (0.001 )  Time stamp start 1471099174069561720 end 1471099174068561720  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:40 2016 UTC-Sat Aug 13 14:39:40 2016 UTC (0.001 )  Time stamp start 1471099180051553955 end 1471099180050553830  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:46 2016 UTC-Sat Aug 13 14:39:46 2016 UTC (0.001 )  Time stamp start 1471099186727901395 end 1471099186726901395  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:53 2016 UTC-Sat Aug 13 14:39:53 2016 UTC (0.001 )  Time stamp start 1471099193178501155 end 1471099193177500810  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:39:59 2016 UTC-Sat Aug 13 14:39:59 2016 UTC (0.001 )  Time stamp start 1471099199311904755 end 1471099199310904385  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:11 2016 UTC-Sat Aug 13 14:40:11 2016 UTC (0.001 )  Time stamp start 1471099211128132835 end 1471099211127132585  Run 306278, LB 63, lumi 8.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:18 2016 UTC-Sat Aug 13 14:40:18 2016 UTC (0.001 )  Time stamp start 1471099218558574325 end 1471099218557574325  Run 306278, LB 64, lumi 8.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:27 2016 UTC-Sat Aug 13 14:40:27 2016 UTC (0.001 )  Time stamp start 1471099227038918295 end 1471099227037917970  Run 306278, LB 64, lumi 8.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:39 2016 UTC-Sat Aug 13 14:40:39 2016 UTC (0.001 )  Time stamp start 1471099239639322000 end 1471099239638322000  Run 306278, LB 64, lumi 8.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:51 2016 UTC-Sat Aug 13 14:40:51 2016 UTC (0.001 )  Time stamp start 1471099251371285540 end 1471099251370285540  Run 306278, LB 64, lumi 8.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:40:56 2016 UTC-Sat Aug 13 14:40:56 2016 UTC (0.001 )  Time stamp start 1471099256602450925 end 1471099256601450925  Run 306278, LB 64, lumi 8.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:02 2016 UTC-Sat Aug 13 14:41:02 2016 UTC (0.001 )  Time stamp start 1471099262089674075 end 1471099262088672805  Run 306278, LB 64, lumi 8.63
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:07 2016 UTC-Sat Aug 13 14:41:07 2016 UTC (0.001 )  Time stamp start 1471099267758547795 end 1471099267757547795  Run 306278, LB 64, lumi 8.62
Event Veto ['NoiseBurst'], Sat Aug 13 14:41:11 2016 UTC-Sat Aug 13 14:41:11 2016 UTC (0.010 )  Time stamp start 1471099271659203430 end 1471099271649087310  Run 306278, LB 65, lumi 105.97
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:19 2016 UTC-Sat Aug 13 14:41:19 2016 UTC (0.001 )  Time stamp start 1471099279265025810 end 1471099279264025635  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:25 2016 UTC-Sat Aug 13 14:41:25 2016 UTC (0.001 )  Time stamp start 1471099285358824625 end 1471099285357823525  Run 306278, LB 65, lumi 10.49
Event Veto ['NoiseBurst'], Sat Aug 13 14:41:29 2016 UTC-Sat Aug 13 14:41:29 2016 UTC (0.010 )  Time stamp start 1471099289382421590 end 1471099289372401555  Run 306278, LB 65, lumi 104.96
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:35 2016 UTC-Sat Aug 13 14:41:35 2016 UTC (0.001 )  Time stamp start 1471099295704568795 end 1471099295703568795  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:40 2016 UTC-Sat Aug 13 14:41:40 2016 UTC (0.001 )  Time stamp start 1471099300622606335 end 1471099300621605310  Run 306278, LB 65, lumi 10.49
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:45 2016 UTC-Sat Aug 13 14:41:45 2016 UTC (0.001 )  Time stamp start 1471099305696874730 end 1471099305695874730  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:50 2016 UTC-Sat Aug 13 14:41:50 2016 UTC (0.001 )  Time stamp start 1471099310678407990 end 1471099310677407990  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:41:55 2016 UTC-Sat Aug 13 14:41:55 2016 UTC (0.001 )  Time stamp start 1471099315564746465 end 1471099315563746465  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:00 2016 UTC-Sat Aug 13 14:42:00 2016 UTC (0.001 )  Time stamp start 1471099320531363670 end 1471099320530363670  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:10 2016 UTC-Sat Aug 13 14:42:10 2016 UTC (0.001 )  Time stamp start 1471099330608157925 end 1471099330607157925  Run 306278, LB 65, lumi 10.48
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:15 2016 UTC-Sat Aug 13 14:42:15 2016 UTC (0.001 )  Time stamp start 1471099335602065100 end 1471099335601064855  Run 306278, LB 66, lumi 10.81
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:20 2016 UTC-Sat Aug 13 14:42:20 2016 UTC (0.001 )  Time stamp start 1471099340619723810 end 1471099340618723810  Run 306278, LB 66, lumi 10.81
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:25 2016 UTC-Sat Aug 13 14:42:25 2016 UTC (0.001 )  Time stamp start 1471099345684348445 end 1471099345683348445  Run 306278, LB 66, lumi 10.81
Event Veto ['NoiseBurst'], Sat Aug 13 14:42:26 2016 UTC-Sat Aug 13 14:42:26 2016 UTC (0.010 )  Time stamp start 1471099346346641320 end 1471099346336472430  Run 306278, LB 66, lumi 109.88
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:30 2016 UTC-Sat Aug 13 14:42:30 2016 UTC (0.001 )  Time stamp start 1471099350612376165 end 1471099350611374670  Run 306278, LB 66, lumi 10.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:40 2016 UTC-Sat Aug 13 14:42:40 2016 UTC (0.001 )  Time stamp start 1471099360921178895 end 1471099360920177520  Run 306278, LB 66, lumi 10.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:45 2016 UTC-Sat Aug 13 14:42:45 2016 UTC (0.001 )  Time stamp start 1471099365820538035 end 1471099365819538035  Run 306278, LB 66, lumi 10.81
Event Veto ['NoiseBurst'], Sat Aug 13 14:42:48 2016 UTC-Sat Aug 13 14:42:48 2016 UTC (0.010 )  Time stamp start 1471099368177739935 end 1471099368167739810  Run 306278, LB 66, lumi 108.06
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:42:50 2016 UTC-Sat Aug 13 14:42:50 2016 UTC (0.001 )  Time stamp start 1471099370929320190 end 1471099370928318845  Run 306278, LB 66, lumi 10.82
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:43:11 2016 UTC-Sat Aug 13 14:43:11 2016 UTC (0.001 )  Time stamp start 1471099391112370740 end 1471099391111370290  Run 306278, LB 66, lumi 10.81
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:43:20 2016 UTC-Sat Aug 13 14:43:20 2016 UTC (0.001 )  Time stamp start 1471099400905467450 end 1471099400904467225  Run 306278, LB 67, lumi 10.79
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:43:25 2016 UTC-Sat Aug 13 14:43:25 2016 UTC (0.001 )  Time stamp start 1471099405835206910 end 1471099405834205540  Run 306278, LB 67, lumi 10.80
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:43:50 2016 UTC-Sat Aug 13 14:43:50 2016 UTC (0.001 )  Time stamp start 1471099430546781015 end 1471099430545781015  Run 306278, LB 67, lumi 10.79
Event Veto ['NoiseBurst'], Sat Aug 13 14:43:53 2016 UTC-Sat Aug 13 14:43:53 2016 UTC (0.010 )  Time stamp start 1471099433464122530 end 1471099433454121905  Run 306278, LB 67, lumi 107.87
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:43:55 2016 UTC-Sat Aug 13 14:43:55 2016 UTC (0.001 )  Time stamp start 1471099435784395765 end 1471099435783395765  Run 306278, LB 67, lumi 10.79
