Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339758 to 339758
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339758 to run 339758  lasting from Wed Nov  1 16:06:06 2017 UTC to Thu Nov  2 10:52:17 2017 UTC
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205052552555 end 1509562205051224250  Run 339758, LB 174, lumi 20.03
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205054608045 end 1509562205053137150  Run 339758, LB 174, lumi 22.18
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.020 )  Time stamp start 1509562205075737630 end 1509562205055251125  Run 339758, LB 174, lumi 308.95
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205078643070 end 1509562205077305735  Run 339758, LB 174, lumi 20.17
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205081721715 end 1509562205080525580  Run 339758, LB 174, lumi 18.04
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.002 )  Time stamp start 1509562205085771895 end 1509562205084196330  Run 339758, LB 174, lumi 23.76
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205089373930 end 1509562205088261630  Run 339758, LB 174, lumi 16.77
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205095592255 end 1509562205094500135  Run 339758, LB 174, lumi 16.47
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.002 )  Time stamp start 1509562205104511870 end 1509562205102829740  Run 339758, LB 174, lumi 25.37
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205113352740 end 1509562205112276590  Run 339758, LB 174, lumi 16.23
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.002 )  Time stamp start 1509562205119158780 end 1509562205117655150  Run 339758, LB 174, lumi 22.68
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205123051840 end 1509562205122049845  Run 339758, LB 174, lumi 15.11
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205128650590 end 1509562205127413605  Run 339758, LB 174, lumi 18.65
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205134499440 end 1509562205133498690  Run 339758, LB 174, lumi 15.09
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205142900355 end 1509562205141893970  Run 339758, LB 174, lumi 15.18
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205149598830 end 1509562205148507685  Run 339758, LB 174, lumi 16.45
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205154011145 end 1509562205152957750  Run 339758, LB 174, lumi 15.89
