Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334317 to 334317
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334317 to run 334317  lasting from Sun Aug 27 08:17:39 2017 UTC to Sun Aug 27 13:06:07 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:52:38 2017 UTC-Sun Aug 27 09:52:38 2017 UTC (0.001 )  Time stamp start 1503827558593020305 end 1503827558592019930  Run 334317, LB 107, lumi 6.99
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:53:38 2017 UTC-Sun Aug 27 09:53:38 2017 UTC (0.001 )  Time stamp start 1503827618721504905 end 1503827618720504110  Run 334317, LB 108, lumi 6.99
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:53:55 2017 UTC-Sun Aug 27 09:53:55 2017 UTC (0.001 )  Time stamp start 1503827635650237745 end 1503827635649237745  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:54:05 2017 UTC-Sun Aug 27 09:54:05 2017 UTC (0.001 )  Time stamp start 1503827645791427945 end 1503827645790427570  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:54:20 2017 UTC-Sun Aug 27 09:54:20 2017 UTC (0.001 )  Time stamp start 1503827660078749175 end 1503827660077748625  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:03 2017 UTC-Sun Aug 27 09:55:03 2017 UTC (0.001 )  Time stamp start 1503827703368684685 end 1503827703367684435  Run 334317, LB 110, lumi 6.96
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:16 2017 UTC-Sun Aug 27 09:55:16 2017 UTC (0.001 )  Time stamp start 1503827716348674490 end 1503827716347674490  Run 334317, LB 111, lumi 6.95
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:29 2017 UTC-Sun Aug 27 09:55:29 2017 UTC (0.001 )  Time stamp start 1503827729525054160 end 1503827729524054160  Run 334317, LB 111, lumi 6.95
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:56:48 2017 UTC-Sun Aug 27 09:56:48 2017 UTC (0.001 )  Time stamp start 1503827808290561250 end 1503827808289561250  Run 334317, LB 113, lumi 6.93
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:57:09 2017 UTC-Sun Aug 27 09:57:09 2017 UTC (0.001 )  Time stamp start 1503827829081410920 end 1503827829080410550  Run 334317, LB 113, lumi 6.94
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:58:14 2017 UTC-Sun Aug 27 09:58:14 2017 UTC (0.001 )  Time stamp start 1503827894658526215 end 1503827894657525290  Run 334317, LB 114, lumi 6.93
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:58:28 2017 UTC-Sun Aug 27 09:58:28 2017 UTC (0.001 )  Time stamp start 1503827908962892415 end 1503827908961892415  Run 334317, LB 114, lumi 6.92
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:58:53 2017 UTC-Sun Aug 27 09:58:53 2017 UTC (0.001 )  Time stamp start 1503827933652678260 end 1503827933651678260  Run 334317, LB 115, lumi 6.91
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:59:10 2017 UTC-Sun Aug 27 09:59:10 2017 UTC (0.001 )  Time stamp start 1503827950185853975 end 1503827950184853350  Run 334317, LB 115, lumi 6.91
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:59:24 2017 UTC-Sun Aug 27 09:59:24 2017 UTC (0.001 )  Time stamp start 1503827964050268125 end 1503827964049267455  Run 334317, LB 115, lumi 6.92
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:00:29 2017 UTC-Sun Aug 27 10:00:29 2017 UTC (0.001 )  Time stamp start 1503828029757934120 end 1503828029756934120  Run 334317, LB 117, lumi 6.90
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:00:43 2017 UTC-Sun Aug 27 10:00:43 2017 UTC (0.001 )  Time stamp start 1503828043648525215 end 1503828043647524470  Run 334317, LB 117, lumi 6.90
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:00:57 2017 UTC-Sun Aug 27 10:00:57 2017 UTC (0.001 )  Time stamp start 1503828057644989760 end 1503828057643988965  Run 334317, LB 118, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:01 2017 UTC-Sun Aug 27 10:01:01 2017 UTC (0.001 )  Time stamp start 1503828061198687935 end 1503828061197687935  Run 334317, LB 118, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:02 2017 UTC-Sun Aug 27 10:01:02 2017 UTC (0.001 )  Time stamp start 1503828062299231795 end 1503828062298231795  Run 334317, LB 118, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:23 2017 UTC-Sun Aug 27 10:01:23 2017 UTC (0.001 )  Time stamp start 1503828083400810995 end 1503828083399810220  Run 334317, LB 118, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:37 2017 UTC-Sun Aug 27 10:01:37 2017 UTC (0.001 )  Time stamp start 1503828097054440355 end 1503828097053440355  Run 334317, LB 118, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:50 2017 UTC-Sun Aug 27 10:01:50 2017 UTC (0.001 )  Time stamp start 1503828110405598035 end 1503828110404598035  Run 334317, LB 119, lumi 6.87
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:01:57 2017 UTC-Sun Aug 27 10:01:57 2017 UTC (0.001 )  Time stamp start 1503828117735237455 end 1503828117734237455  Run 334317, LB 119, lumi 6.87
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:03 2017 UTC-Sun Aug 27 10:02:03 2017 UTC (0.001 )  Time stamp start 1503828123497018765 end 1503828123496018220  Run 334317, LB 119, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:16 2017 UTC-Sun Aug 27 10:02:16 2017 UTC (0.001 )  Time stamp start 1503828136382154845 end 1503828136381154220  Run 334317, LB 119, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:29 2017 UTC-Sun Aug 27 10:02:29 2017 UTC (0.001 )  Time stamp start 1503828149922477355 end 1503828149921476730  Run 334317, LB 119, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:42 2017 UTC-Sun Aug 27 10:02:42 2017 UTC (0.000 )  Time stamp start 1503828162822798875 end 1503828162822798500  Run 334317, LB 119, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:42 2017 UTC-Sun Aug 27 10:02:42 2017 UTC (0.001 )  Time stamp start 1503828162823799250 end 1503828162822798875  Run 334317, LB 119, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:43 2017 UTC-Sun Aug 27 10:02:43 2017 UTC (0.001 )  Time stamp start 1503828163457535505 end 1503828163456535505  Run 334317, LB 119, lumi 6.87
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:02:56 2017 UTC-Sun Aug 27 10:02:56 2017 UTC (0.001 )  Time stamp start 1503828176163285645 end 1503828176162285645  Run 334317, LB 120, lumi 6.86
Event Veto ['NoiseBurst'], Sun Aug 27 10:03:01 2017 UTC-Sun Aug 27 10:03:01 2017 UTC (0.001 )  Time stamp start 1503828181929111695 end 1503828181928111195  Run 334317, LB 120, lumi 6.87
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:03:13 2017 UTC-Sun Aug 27 10:03:13 2017 UTC (0.001 )  Time stamp start 1503828193280843085 end 1503828193279843085  Run 334317, LB 120, lumi 6.86
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:04:09 2017 UTC-Sun Aug 27 10:04:09 2017 UTC (0.001 )  Time stamp start 1503828249694612735 end 1503828249693612735  Run 334317, LB 121, lumi 6.85
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:04:33 2017 UTC-Sun Aug 27 10:04:33 2017 UTC (0.001 )  Time stamp start 1503828273654096270 end 1503828273653096270  Run 334317, LB 121, lumi 6.85
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:04:50 2017 UTC-Sun Aug 27 10:04:50 2017 UTC (0.001 )  Time stamp start 1503828290265582855 end 1503828290264582855  Run 334317, LB 122, lumi 6.84
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:05:15 2017 UTC-Sun Aug 27 10:05:15 2017 UTC (0.001 )  Time stamp start 1503828315129931755 end 1503828315128930960  Run 334317, LB 123, lumi 6.84
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:05:26 2017 UTC-Sun Aug 27 10:05:26 2017 UTC (0.001 )  Time stamp start 1503828326581439635 end 1503828326580439635  Run 334317, LB 123, lumi 6.83
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:05:56 2017 UTC-Sun Aug 27 10:05:56 2017 UTC (0.001 )  Time stamp start 1503828356628205015 end 1503828356627205015  Run 334317, LB 124, lumi 6.83
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:07:59 2017 UTC-Sun Aug 27 10:07:59 2017 UTC (0.001 )  Time stamp start 1503828479989663550 end 1503828479988662625  Run 334317, LB 129, lumi 6.81
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:08:43 2017 UTC-Sun Aug 27 10:08:43 2017 UTC (0.001 )  Time stamp start 1503828523788251200 end 1503828523787250900  Run 334317, LB 130, lumi 6.79
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:08:57 2017 UTC-Sun Aug 27 10:08:57 2017 UTC (0.001 )  Time stamp start 1503828537759432135 end 1503828537758432010  Run 334317, LB 131, lumi 6.79
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:09:39 2017 UTC-Sun Aug 27 10:09:39 2017 UTC (0.001 )  Time stamp start 1503828579354964975 end 1503828579353964975  Run 334317, LB 131, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:10:12 2017 UTC-Sun Aug 27 10:10:12 2017 UTC (0.001 )  Time stamp start 1503828612967512920 end 1503828612966512920  Run 334317, LB 132, lumi 6.77
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:10:19 2017 UTC-Sun Aug 27 10:10:19 2017 UTC (0.001 )  Time stamp start 1503828619937519820 end 1503828619936519395  Run 334317, LB 132, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:10:34 2017 UTC-Sun Aug 27 10:10:34 2017 UTC (0.001 )  Time stamp start 1503828634486208505 end 1503828634485208505  Run 334317, LB 132, lumi 6.77
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:10:42 2017 UTC-Sun Aug 27 10:10:42 2017 UTC (0.001 )  Time stamp start 1503828642596096550 end 1503828642595096550  Run 334317, LB 132, lumi 6.77
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:10:43 2017 UTC-Sun Aug 27 10:10:43 2017 UTC (0.001 )  Time stamp start 1503828643300755760 end 1503828643299755760  Run 334317, LB 132, lumi 6.77
Event Veto ['MiniNoiseBurst'], Sun Aug 27 10:11:00 2017 UTC-Sun Aug 27 10:11:00 2017 UTC (0.001 )  Time stamp start 1503828660305887935 end 1503828660304887935  Run 334317, LB 133, lumi 6.77
