Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339957 to 339957
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339957 to run 339957  lasting from Fri Nov  3 10:55:13 2017 UTC to Sat Nov  4 13:33:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:03:55 2017 UTC-Fri Nov  3 14:03:55 2017 UTC (0.001 )  Time stamp start 1509717835679721895 end 1509717835678721895  Run 339957, LB 225, lumi 14.96
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:04:12 2017 UTC-Fri Nov  3 14:04:12 2017 UTC (0.001 )  Time stamp start 1509717852874002450 end 1509717852873002450  Run 339957, LB 225, lumi 14.96
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:05:57 2017 UTC-Fri Nov  3 14:05:57 2017 UTC (0.001 )  Time stamp start 1509717957924115650 end 1509717957922649295  Run 339957, LB 227, lumi 21.90
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:06:53 2017 UTC-Fri Nov  3 14:06:53 2017 UTC (0.001 )  Time stamp start 1509718013987510660 end 1509718013986510660  Run 339957, LB 228, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:08:19 2017 UTC-Fri Nov  3 14:08:19 2017 UTC (0.001 )  Time stamp start 1509718099319546455 end 1509718099318546455  Run 339957, LB 230, lumi 14.88
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:08:27 2017 UTC-Fri Nov  3 14:08:27 2017 UTC (0.001 )  Time stamp start 1509718107805524910 end 1509718107804524910  Run 339957, LB 230, lumi 14.88
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:08:37 2017 UTC-Fri Nov  3 14:08:37 2017 UTC (0.001 )  Time stamp start 1509718117899325250 end 1509718117898325250  Run 339957, LB 231, lumi 14.84
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Nov  3 14:08:54 2017 UTC-Fri Nov  3 14:08:54 2017 UTC (0.001 )  Time stamp start 1509718134470621335 end 1509718134469621335  Run 339957, LB 231, lumi 14.84
Event Veto ['NoiseBurst'], Fri Nov  3 14:09:08 2017 UTC-Fri Nov  3 14:09:08 2017 UTC (0.001 )  Time stamp start 1509718148665456940 end 1509718148664029730  Run 339957, LB 231, lumi 21.18
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:10:07 2017 UTC-Fri Nov  3 14:10:07 2017 UTC (0.001 )  Time stamp start 1509718207170616650 end 1509718207169616650  Run 339957, LB 233, lumi 14.97
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:10:53 2017 UTC-Fri Nov  3 14:10:53 2017 UTC (0.001 )  Time stamp start 1509718253281598680 end 1509718253280598680  Run 339957, LB 234, lumi 14.94
