Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305727 to 305727
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305727 to run 305727  lasting from Sun Aug  7 01:31:39 2016 UTC to Sun Aug  7 05:36:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:05:54 2016 UTC-Sun Aug  7 02:05:54 2016 UTC (0.001 )  Time stamp start 1470535554550428690 end 1470535554549428690  Run 305727, LB 43, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:06:00 2016 UTC-Sun Aug  7 02:06:00 2016 UTC (0.001 )  Time stamp start 1470535560203444885 end 1470535560202444885  Run 305727, LB 43, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:06:05 2016 UTC-Sun Aug  7 02:06:05 2016 UTC (0.001 )  Time stamp start 1470535565729843760 end 1470535565728843760  Run 305727, LB 43, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:06:38 2016 UTC-Sun Aug  7 02:06:38 2016 UTC (0.001 )  Time stamp start 1470535598361904075 end 1470535598360904075  Run 305727, LB 44, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:06:49 2016 UTC-Sun Aug  7 02:06:49 2016 UTC (0.001 )  Time stamp start 1470535609098271275 end 1470535609097269830  Run 305727, LB 44, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:07:00 2016 UTC-Sun Aug  7 02:07:00 2016 UTC (0.001 )  Time stamp start 1470535620205609850 end 1470535620204609850  Run 305727, LB 44, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:07:11 2016 UTC-Sun Aug  7 02:07:11 2016 UTC (0.001 )  Time stamp start 1470535631200994175 end 1470535631199994175  Run 305727, LB 44, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:07:22 2016 UTC-Sun Aug  7 02:07:22 2016 UTC (0.001 )  Time stamp start 1470535642137318530 end 1470535642136318530  Run 305727, LB 45, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:08:23 2016 UTC-Sun Aug  7 02:08:23 2016 UTC (0.001 )  Time stamp start 1470535703327679495 end 1470535703326679250  Run 305727, LB 46, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:09:19 2016 UTC-Sun Aug  7 02:09:19 2016 UTC (0.001 )  Time stamp start 1470535759489413490 end 1470535759488413490  Run 305727, LB 47, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:09:29 2016 UTC-Sun Aug  7 02:09:29 2016 UTC (0.001 )  Time stamp start 1470535769949718820 end 1470535769948718820  Run 305727, LB 47, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:09:51 2016 UTC-Sun Aug  7 02:09:51 2016 UTC (0.001 )  Time stamp start 1470535791973702750 end 1470535791972702750  Run 305727, LB 47, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:10:02 2016 UTC-Sun Aug  7 02:10:02 2016 UTC (0.001 )  Time stamp start 1470535802284203760 end 1470535802283203310  Run 305727, LB 47, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:10:34 2016 UTC-Sun Aug  7 02:10:34 2016 UTC (0.001 )  Time stamp start 1470535834721485245 end 1470535834720485245  Run 305727, LB 48, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:10:55 2016 UTC-Sun Aug  7 02:10:55 2016 UTC (0.001 )  Time stamp start 1470535855683125320 end 1470535855682125070  Run 305727, LB 48, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:11:06 2016 UTC-Sun Aug  7 02:11:06 2016 UTC (0.001 )  Time stamp start 1470535866303095100 end 1470535866302095100  Run 305727, LB 48, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:11:17 2016 UTC-Sun Aug  7 02:11:17 2016 UTC (0.001 )  Time stamp start 1470535877271389085 end 1470535877270388710  Run 305727, LB 49, lumi 5.28
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:12:54 2016 UTC-Sun Aug  7 02:12:54 2016 UTC (0.001 )  Time stamp start 1470535974743820895 end 1470535974742820895  Run 305727, LB 50, lumi 5.27
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:13:05 2016 UTC-Sun Aug  7 02:13:05 2016 UTC (0.001 )  Time stamp start 1470535985598131970 end 1470535985597131970  Run 305727, LB 50, lumi 5.27
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:13:38 2016 UTC-Sun Aug  7 02:13:38 2016 UTC (0.001 )  Time stamp start 1470536018538870735 end 1470536018537870735  Run 305727, LB 51, lumi 5.27
Event Veto ['NoiseBurst'], Sun Aug  7 02:14:16 2016 UTC-Sun Aug  7 02:14:16 2016 UTC (0.010 )  Time stamp start 1470536056302656505 end 1470536056292506875  Run 305727, LB 51, lumi 53.50
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:14:20 2016 UTC-Sun Aug  7 02:14:20 2016 UTC (0.001 )  Time stamp start 1470536060590620425 end 1470536060589620425  Run 305727, LB 52, lumi 5.27
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:15:17 2016 UTC-Sun Aug  7 02:15:17 2016 UTC (0.001 )  Time stamp start 1470536117566208955 end 1470536117565208955  Run 305727, LB 53, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:15:28 2016 UTC-Sun Aug  7 02:15:28 2016 UTC (0.001 )  Time stamp start 1470536128681733195 end 1470536128680732895  Run 305727, LB 53, lumi 5.27
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:15:39 2016 UTC-Sun Aug  7 02:15:39 2016 UTC (0.001 )  Time stamp start 1470536139157533980 end 1470536139156533980  Run 305727, LB 53, lumi 5.26
