Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 363129 to 363129
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 363129 to run 363129  lasting from Mon Oct  8 00:08:17 2018 UTC to Mon Oct  8 12:20:22 2018 UTC
Event Veto ['NoiseBurst'], Mon Oct  8 01:40:52 2018 UTC-Mon Oct  8 01:40:52 2018 UTC (0.010 )  Time stamp start 1538962852469547485 end 1538962852459622555  Run 363129, LB 99, lumi 176.48
Event Veto ['NoiseBurst'], Mon Oct  8 01:40:52 2018 UTC-Mon Oct  8 01:40:52 2018 UTC (0.001 )  Time stamp start 1538962852470856700 end 1538962852469783595  Run 363129, LB 99, lumi 19.08
Event Veto ['NoiseBurst'], Mon Oct  8 01:40:52 2018 UTC-Mon Oct  8 01:40:52 2018 UTC (0.002 )  Time stamp start 1538962852622371595 end 1538962852620750195  Run 363129, LB 99, lumi 28.83
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:41:37 2018 UTC-Mon Oct  8 01:41:37 2018 UTC (0.001 )  Time stamp start 1538962897646083945 end 1538962897645083945  Run 363129, LB 100, lumi 17.74
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:43:17 2018 UTC-Mon Oct  8 01:43:17 2018 UTC (0.001 )  Time stamp start 1538962997237220875 end 1538962997236220875  Run 363129, LB 101, lumi 17.72
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:43:37 2018 UTC-Mon Oct  8 01:43:37 2018 UTC (0.001 )  Time stamp start 1538963017424156055 end 1538963017423156055  Run 363129, LB 101, lumi 17.72
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:43:50 2018 UTC-Mon Oct  8 01:43:50 2018 UTC (0.001 )  Time stamp start 1538963030104682210 end 1538963030103682210  Run 363129, LB 102, lumi 17.67
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:44:14 2018 UTC-Mon Oct  8 01:44:14 2018 UTC (0.001 )  Time stamp start 1538963054485530805 end 1538963054484530805  Run 363129, LB 102, lumi 17.67
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:44:37 2018 UTC-Mon Oct  8 01:44:37 2018 UTC (0.001 )  Time stamp start 1538963077685832475 end 1538963077684832475  Run 363129, LB 102, lumi 17.67
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:45:43 2018 UTC-Mon Oct  8 01:45:43 2018 UTC (0.001 )  Time stamp start 1538963143097330745 end 1538963143096330745  Run 363129, LB 104, lumi 17.57
