Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311321 to 311321
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311321 to run 311321  lasting from Sun Oct 23 20:48:42 2016 UTC to Mon Oct 24 13:46:58 2016 UTC
Event Veto ['NoiseBurst'], Sun Oct 23 22:24:01 2016 UTC-Sun Oct 23 22:24:01 2016 UTC (0.010 )  Time stamp start 1477261441407705265 end 1477261441397680235  Run 311321, LB 99, lumi 27.72
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:02 2016 UTC-Sun Oct 23 22:24:02 2016 UTC (0.001 )  Time stamp start 1477261442537731995 end 1477261442536731995  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:03 2016 UTC-Sun Oct 23 22:24:03 2016 UTC (0.001 )  Time stamp start 1477261443066852005 end 1477261443065851830  Run 311321, LB 99, lumi 2.77
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:03 2016 UTC-Sun Oct 23 22:24:03 2016 UTC (0.001 )  Time stamp start 1477261443194933955 end 1477261443193933955  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:03 2016 UTC-Sun Oct 23 22:24:03 2016 UTC (0.001 )  Time stamp start 1477261443301653260 end 1477261443300653260  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:04 2016 UTC-Sun Oct 23 22:24:04 2016 UTC (0.001 )  Time stamp start 1477261444399624090 end 1477261444398624090  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:04 2016 UTC-Sun Oct 23 22:24:04 2016 UTC (0.001 )  Time stamp start 1477261444607908775 end 1477261444606908775  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:05 2016 UTC-Sun Oct 23 22:24:05 2016 UTC (0.001 )  Time stamp start 1477261445124059860 end 1477261445123059860  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:05 2016 UTC-Sun Oct 23 22:24:05 2016 UTC (0.001 )  Time stamp start 1477261445248392890 end 1477261445247392765  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:05 2016 UTC-Sun Oct 23 22:24:05 2016 UTC (0.001 )  Time stamp start 1477261445505256340 end 1477261445504256340  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:05 2016 UTC-Sun Oct 23 22:24:05 2016 UTC (0.001 )  Time stamp start 1477261445765154975 end 1477261445764154650  Run 311321, LB 99, lumi 2.77
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:06 2016 UTC-Sun Oct 23 22:24:06 2016 UTC (0.001 )  Time stamp start 1477261446184315375 end 1477261446183315375  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:06 2016 UTC-Sun Oct 23 22:24:06 2016 UTC (0.001 )  Time stamp start 1477261446358243565 end 1477261446357243565  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:06 2016 UTC-Sun Oct 23 22:24:06 2016 UTC (0.001 )  Time stamp start 1477261446576486865 end 1477261446575486865  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:06 2016 UTC-Sun Oct 23 22:24:06 2016 UTC (0.001 )  Time stamp start 1477261446777378295 end 1477261446776378295  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:09 2016 UTC-Sun Oct 23 22:24:09 2016 UTC (0.000 )  Time stamp start 1477261449156752750 end 1477261449156752450  Run 311321, LB 99, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:09 2016 UTC-Sun Oct 23 22:24:09 2016 UTC (0.001 )  Time stamp start 1477261449157752750 end 1477261449156752750  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:09 2016 UTC-Sun Oct 23 22:24:09 2016 UTC (0.001 )  Time stamp start 1477261449311894855 end 1477261449310894855  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:10 2016 UTC-Sun Oct 23 22:24:10 2016 UTC (0.001 )  Time stamp start 1477261450395769685 end 1477261450394769685  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:10 2016 UTC-Sun Oct 23 22:24:10 2016 UTC (0.001 )  Time stamp start 1477261450821554310 end 1477261450820554310  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:11 2016 UTC-Sun Oct 23 22:24:11 2016 UTC (0.001 )  Time stamp start 1477261451935964085 end 1477261451934964085  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:13 2016 UTC-Sun Oct 23 22:24:13 2016 UTC (0.001 )  Time stamp start 1477261453091144165 end 1477261453090144165  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:14 2016 UTC-Sun Oct 23 22:24:14 2016 UTC (0.001 )  Time stamp start 1477261454349518635 end 1477261454348517985  Run 311321, LB 99, lumi 2.77
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:15 2016 UTC-Sun Oct 23 22:24:15 2016 UTC (0.001 )  Time stamp start 1477261455060915150 end 1477261455059915150  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:15 2016 UTC-Sun Oct 23 22:24:15 2016 UTC (0.001 )  Time stamp start 1477261455566236195 end 1477261455565236195  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:16 2016 UTC-Sun Oct 23 22:24:16 2016 UTC (0.001 )  Time stamp start 1477261456665975930 end 1477261456664975930  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:17 2016 UTC-Sun Oct 23 22:24:17 2016 UTC (0.001 )  Time stamp start 1477261457130184720 end 1477261457129184595  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:17 2016 UTC-Sun Oct 23 22:24:17 2016 UTC (0.001 )  Time stamp start 1477261457848552300 end 1477261457847552300  Run 311321, LB 99, lumi 2.76
