Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338498 to 338498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338498 to run 338498  lasting from Wed Oct 18 09:58:38 2017 UTC to Wed Oct 18 19:17:53 2017 UTC
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086518731865 end 1508321086517731040  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086524859905 end 1508321086523739670  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086530749365 end 1508321086529748565  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086536811085 end 1508321086535810535  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086542747405 end 1508321086541746705  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086548895730 end 1508321086547717730  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086554751980 end 1508321086553751280  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086560762050 end 1508321086559761255  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086566756155 end 1508321086565755230  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086572832720 end 1508321086571831900  Run 338498, LB 10, lumi 0.00
