Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311287 to 311287
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311287 to run 311287  lasting from Sun Oct 23 02:42:08 2016 UTC to Sun Oct 23 19:40:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:42 2016 UTC-Sun Oct 23 03:34:42 2016 UTC (0.001 )  Time stamp start 1477193682421506970 end 1477193682420506970  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:42 2016 UTC-Sun Oct 23 03:34:42 2016 UTC (0.010 )  Time stamp start 1477193682661945460 end 1477193682651919660  Run 311287, LB 63, lumi 121.01
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:43 2016 UTC-Sun Oct 23 03:34:43 2016 UTC (0.001 )  Time stamp start 1477193683445033685 end 1477193683444033685  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:44 2016 UTC-Sun Oct 23 03:34:44 2016 UTC (0.000 )  Time stamp start 1477193684650525895 end 1477193684650525320  Run 311287, LB 63, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:44 2016 UTC-Sun Oct 23 03:34:44 2016 UTC (0.001 )  Time stamp start 1477193684651525895 end 1477193684650525895  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:45 2016 UTC-Sun Oct 23 03:34:45 2016 UTC (0.001 )  Time stamp start 1477193685881455260 end 1477193685880455260  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:46 2016 UTC-Sun Oct 23 03:34:46 2016 UTC (0.001 )  Time stamp start 1477193686171590850 end 1477193686170590850  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:48 2016 UTC-Sun Oct 23 03:34:48 2016 UTC (0.001 )  Time stamp start 1477193688939210050 end 1477193688938210050  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:49 2016 UTC-Sun Oct 23 03:34:49 2016 UTC (0.000 )  Time stamp start 1477193689844068750 end 1477193689844068575  Run 311287, LB 64, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:49 2016 UTC-Sun Oct 23 03:34:49 2016 UTC (0.001 )  Time stamp start 1477193689845068750 end 1477193689844068750  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:51 2016 UTC-Sun Oct 23 03:34:51 2016 UTC (0.001 )  Time stamp start 1477193691664893865 end 1477193691663893740  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:55 2016 UTC-Sun Oct 23 03:34:55 2016 UTC (0.001 )  Time stamp start 1477193695818144505 end 1477193695817144505  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:56 2016 UTC-Sun Oct 23 03:34:56 2016 UTC (0.001 )  Time stamp start 1477193696928190405 end 1477193696927190405  Run 311287, LB 64, lumi 12.29
