Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336998 to 336998
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336998 to run 336998  lasting from Sun Oct  1 22:36:38 2017 UTC to Mon Oct  2 03:36:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:06 2017 UTC-Mon Oct  2 00:08:06 2017 UTC (0.001 )  Time stamp start 1506902886626354870 end 1506902886625353670  Run 336998, LB 105, lumi 14.69
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:10 2017 UTC-Mon Oct  2 00:08:10 2017 UTC (0.001 )  Time stamp start 1506902890363808885 end 1506902890362808885  Run 336998, LB 105, lumi 14.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:14 2017 UTC-Mon Oct  2 00:08:14 2017 UTC (0.001 )  Time stamp start 1506902894405346725 end 1506902894404346550  Run 336998, LB 105, lumi 14.68
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:19 2017 UTC-Mon Oct  2 00:08:19 2017 UTC (0.001 )  Time stamp start 1506902899408652910 end 1506902899407652410  Run 336998, LB 105, lumi 14.68
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:22 2017 UTC-Mon Oct  2 00:08:22 2017 UTC (0.001 )  Time stamp start 1506902902196775350 end 1506902902195775350  Run 336998, LB 105, lumi 14.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:23 2017 UTC-Mon Oct  2 00:08:23 2017 UTC (0.001 )  Time stamp start 1506902903461323790 end 1506902903460323790  Run 336998, LB 105, lumi 14.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:26 2017 UTC-Mon Oct  2 00:08:26 2017 UTC (0.001 )  Time stamp start 1506902906852518255 end 1506902906851518255  Run 336998, LB 105, lumi 14.67
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:32 2017 UTC-Mon Oct  2 00:08:32 2017 UTC (0.001 )  Time stamp start 1506902912449449640 end 1506902912448449215  Run 336998, LB 105, lumi 14.68
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:36 2017 UTC-Mon Oct  2 00:08:36 2017 UTC (0.001 )  Time stamp start 1506902916419057565 end 1506902916418057140  Run 336998, LB 105, lumi 14.68
Event Veto ['NoiseBurst'], Mon Oct  2 00:08:42 2017 UTC-Mon Oct  2 00:08:42 2017 UTC (0.001 )  Time stamp start 1506902922255888465 end 1506902922254887965  Run 336998, LB 105, lumi 14.68
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:43 2017 UTC-Mon Oct  2 00:08:43 2017 UTC (0.001 )  Time stamp start 1506902923328806945 end 1506902923327806945  Run 336998, LB 105, lumi 14.67
