Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338897 to 338897
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338897 to run 338897  lasting from Sat Oct 21 23:29:34 2017 UTC to Sun Oct 22 11:06:38 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:13:15 2017 UTC-Sun Oct 22 00:13:15 2017 UTC (0.001 )  Time stamp start 1508631195112256260 end 1508631195111256260  Run 338897, LB 55, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:13:47 2017 UTC-Sun Oct 22 00:13:47 2017 UTC (0.001 )  Time stamp start 1508631227496086065 end 1508631227494733285  Run 338897, LB 55, lumi 20.40
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:14:32 2017 UTC-Sun Oct 22 00:14:32 2017 UTC (0.001 )  Time stamp start 1508631272180108455 end 1508631272179108455  Run 338897, LB 56, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:14:46 2017 UTC-Sun Oct 22 00:14:46 2017 UTC (0.001 )  Time stamp start 1508631286487622115 end 1508631286486622115  Run 338897, LB 57, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:14:48 2017 UTC-Sun Oct 22 00:14:48 2017 UTC (0.002 )  Time stamp start 1508631288933022375 end 1508631288931149620  Run 338897, LB 57, lumi 28.50
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:15:07 2017 UTC-Sun Oct 22 00:15:07 2017 UTC (0.001 )  Time stamp start 1508631307975724145 end 1508631307974724145  Run 338897, LB 57, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:15:18 2017 UTC-Sun Oct 22 00:15:18 2017 UTC (0.001 )  Time stamp start 1508631318550435800 end 1508631318549435800  Run 338897, LB 58, lumi 15.28
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:15:28 2017 UTC-Sun Oct 22 00:15:28 2017 UTC (0.001 )  Time stamp start 1508631328898838100 end 1508631328897838100  Run 338897, LB 58, lumi 15.28
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:15:32 2017 UTC-Sun Oct 22 00:15:32 2017 UTC (0.001 )  Time stamp start 1508631332686916530 end 1508631332685916530  Run 338897, LB 58, lumi 15.28
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:16:00 2017 UTC-Sun Oct 22 00:16:00 2017 UTC (0.001 )  Time stamp start 1508631360976207500 end 1508631360975207500  Run 338897, LB 58, lumi 15.28
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:16:35 2017 UTC-Sun Oct 22 00:16:35 2017 UTC (0.001 )  Time stamp start 1508631395704740595 end 1508631395703657380  Run 338897, LB 59, lumi 16.59
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:16:44 2017 UTC-Sun Oct 22 00:16:44 2017 UTC (0.001 )  Time stamp start 1508631404916853130 end 1508631404915853130  Run 338897, LB 59, lumi 15.32
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:16:45 2017 UTC-Sun Oct 22 00:16:45 2017 UTC (0.001 )  Time stamp start 1508631405141613215 end 1508631405140613215  Run 338897, LB 59, lumi 15.32
