Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337156 to 337156
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337156 to run 337156  lasting from Tue Oct  3 23:54:09 2017 UTC to Wed Oct  4 05:21:39 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:15:51 2017 UTC-Wed Oct  4 03:15:51 2017 UTC (0.001 )  Time stamp start 1507086951026631640 end 1507086951025631515  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:51 2017 UTC-Wed Oct  4 03:15:51 2017 UTC (0.001 )  Time stamp start 1507086951694318065 end 1507086951693318065  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:54 2017 UTC-Wed Oct  4 03:15:54 2017 UTC (0.001 )  Time stamp start 1507086954537584325 end 1507086954536583205  Run 337156, LB 211, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:56 2017 UTC-Wed Oct  4 03:15:56 2017 UTC (0.001 )  Time stamp start 1507086956591901900 end 1507086956590901325  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:57 2017 UTC-Wed Oct  4 03:15:57 2017 UTC (0.001 )  Time stamp start 1507086957914409025 end 1507086957913409025  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:58 2017 UTC-Wed Oct  4 03:15:58 2017 UTC (0.001 )  Time stamp start 1507086958651275940 end 1507086958650274615  Run 337156, LB 211, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:01 2017 UTC-Wed Oct  4 03:16:01 2017 UTC (0.001 )  Time stamp start 1507086961291847485 end 1507086961290846135  Run 337156, LB 211, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:03 2017 UTC-Wed Oct  4 03:16:03 2017 UTC (0.001 )  Time stamp start 1507086963637591015 end 1507086963636590715  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:05 2017 UTC-Wed Oct  4 03:16:05 2017 UTC (0.001 )  Time stamp start 1507086965688444925 end 1507086965687444500  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:07 2017 UTC-Wed Oct  4 03:16:07 2017 UTC (0.001 )  Time stamp start 1507086967688868255 end 1507086967687868255  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:10 2017 UTC-Wed Oct  4 03:16:10 2017 UTC (0.001 )  Time stamp start 1507086970045430875 end 1507086970044430625  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:12 2017 UTC-Wed Oct  4 03:16:12 2017 UTC (0.001 )  Time stamp start 1507086972197401900 end 1507086972196401475  Run 337156, LB 211, lumi 14.93
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:14 2017 UTC-Wed Oct  4 03:16:14 2017 UTC (0.001 )  Time stamp start 1507086974239959465 end 1507086974238959465  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:17 2017 UTC-Wed Oct  4 03:16:17 2017 UTC (0.001 )  Time stamp start 1507086977028942525 end 1507086977027942200  Run 337156, LB 211, lumi 14.93
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:19 2017 UTC-Wed Oct  4 03:16:19 2017 UTC (0.001 )  Time stamp start 1507086979010611305 end 1507086979009611305  Run 337156, LB 211, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:21 2017 UTC-Wed Oct  4 03:16:21 2017 UTC (0.001 )  Time stamp start 1507086981109891880 end 1507086981108891880  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:23 2017 UTC-Wed Oct  4 03:16:23 2017 UTC (0.001 )  Time stamp start 1507086983405380180 end 1507086983404379455  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:25 2017 UTC-Wed Oct  4 03:16:25 2017 UTC (0.001 )  Time stamp start 1507086985817220040 end 1507086985816218870  Run 337156, LB 211, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:28 2017 UTC-Wed Oct  4 03:16:28 2017 UTC (0.001 )  Time stamp start 1507086988527581200 end 1507086988526580305  Run 337156, LB 211, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:30 2017 UTC-Wed Oct  4 03:16:30 2017 UTC (0.001 )  Time stamp start 1507086990834007380 end 1507086990833006805  Run 337156, LB 211, lumi 14.93
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:33 2017 UTC-Wed Oct  4 03:16:33 2017 UTC (0.001 )  Time stamp start 1507086993185060005 end 1507086993184060005  Run 337156, LB 211, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:35 2017 UTC-Wed Oct  4 03:16:35 2017 UTC (0.001 )  Time stamp start 1507086995364335545 end 1507086995363335545  Run 337156, LB 212, lumi 15.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:37 2017 UTC-Wed Oct  4 03:16:37 2017 UTC (0.001 )  Time stamp start 1507086997796964360 end 1507086997795964360  Run 337156, LB 212, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:38 2017 UTC-Wed Oct  4 03:16:38 2017 UTC (0.001 )  Time stamp start 1507086998371021865 end 1507086998370021865  Run 337156, LB 212, lumi 15.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:40 2017 UTC-Wed Oct  4 03:16:40 2017 UTC (0.001 )  Time stamp start 1507087000157211755 end 1507087000156211580  Run 337156, LB 212, lumi 15.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:16:42 2017 UTC-Wed Oct  4 03:16:42 2017 UTC (0.001 )  Time stamp start 1507087002352243065 end 1507087002351243065  Run 337156, LB 212, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:44 2017 UTC-Wed Oct  4 03:16:44 2017 UTC (0.001 )  Time stamp start 1507087004336369220 end 1507087004335368020  Run 337156, LB 212, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:46 2017 UTC-Wed Oct  4 03:16:46 2017 UTC (0.001 )  Time stamp start 1507087006703537725 end 1507087006702537550  Run 337156, LB 212, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:49 2017 UTC-Wed Oct  4 03:16:49 2017 UTC (0.001 )  Time stamp start 1507087009187815245 end 1507087009186813875  Run 337156, LB 212, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:16:51 2017 UTC-Wed Oct  4 03:16:51 2017 UTC (0.001 )  Time stamp start 1507087011252271725 end 1507087011251271080  Run 337156, LB 212, lumi 15.01
